v,t,income,age,N
1,1990,359117.7409,35.7856523,72729
2,1990,320336.8351,36.77170606,37934
6,1990,268243.9743,40.62659211,550496
16,1990,279188.9799,38.38183056,2701
17,1990,289564.8555,38.43353268,450
18,1990,276396.895,39.71031566,269
24,1990,282709.0355,38.57413451,7384
25,1990,268200.8981,39.75944329,2340
28,1990,273478.7093,38.60877072,5802
29,1990,263027.8361,39.03104563,7888
34,1990,237897.773,41.71177022,10264
35,1990,273983.7334,38.03297134,51925
36,1990,293472.4398,37.07409487,758
37,1990,277294.433,35.93177761,3384
38,1990,243225.8405,40.5842306,14088
44,1990,245336.4461,40.93544459,1080
45,1990,244060.6623,41.83602679,9398
47,1990,263348.2774,39.44525698,3852
49,1990,236850.52,42.72709893,776
56,1990,239186.6807,39.40267441,19291
57,1990,215315.8929,45.38218715,43
59,1990,261478.9919,38.55304228,1261
62,1990,238301.9435,40.28538813,122
68,1990,213656.5395,42.36694497,508
72,1990,206375.9716,44.84242788,1175
74,1990,271319.8308,37.46092012,4487
80,1990,264847.018,38.90601333,2012
82,1990,244162.2286,38.23148131,1069
83,1990,283006.3262,36.75233263,7124
84,1990,277934.2908,38.65421055,1591
85,1990,277485.563,35.96580009,1538
86,1990,257636.2909,39.69557895,4650
87,1990,257307.9731,39.83449747,5275
89,1990,269051.6446,40.15315045,428
92,1990,273864.4406,37.66735859,1983
93,1990,255732.6293,37.64260473,100217
95,1990,221473.1379,43.96321783,2039
96,1990,268652.7706,39.4141117,4382
101,1990,289835.1322,35.67560907,1182
102,1990,248905.2472,39.06468871,8246
103,1990,268389.7106,37.21000603,2531
104,1990,289090.911,35.39488505,2755
105,1990,260910.6771,38.51606476,8023
106,1990,248686.1909,38.86918579,13017
107,1990,251427.0942,37.12628122,3010
108,1990,268775.7629,38.11806318,561
109,1990,260148.3042,38.29855663,2462
110,1990,284966.4475,37.15851406,3343
111,1990,256091.0356,36.91189618,24840
113,1990,289321.444,36.73369441,2341
114,1990,249631.8884,38.76429703,9056
119,1990,254683.7897,38.48978244,1471
120,1990,267316.4346,36.7932931,29078
122,1990,304200.4961,36.65469015,10126
123,1990,269980.2543,38.12562376,27092
124,1990,268054.5669,37.77754992,26074
125,1990,353467.4531,34.38040587,1962
127,1990,272069.9283,39.59697956,619
128,1990,263149.6584,36.99596964,32419
129,1990,245273.4778,38.42215558,2740
131,1990,274183.3804,36.23444043,43182
132,1990,271209.1011,36.38173781,49600
133,1990,315112.6877,34.42786775,1149
136,1990,268019.3498,37.02609142,123085
137,1990,255022.1194,38.1639827,2479
138,1990,245666.5164,38.75913753,2271
139,1990,219326.1486,37.95679012,74
140,1990,272121.6579,38.35303284,15308
141,1990,291940.6865,38.88939202,2615
142,1990,206233.9615,44.72488584,47
144,1990,259625.1431,41.8216285,491
145,1990,312379.4086,34.15918517,23219
146,1990,286699.79,37.40013911,5581
147,1990,261038.3857,36.57591689,102009
154,1990,230193.2648,40.1473681,1026
232,1990,253337.0236,37.98865607,11684
235,1990,255732.703,37.69931776,106736
238,1990,258140.7357,37.38051159,5869
157,1990,254111.337,37.45017931,27202
158,1990,257804.0741,37.28860921,18803
159,1990,250039.0367,38.07052011,8652
160,1990,253891.3072,38.37821679,5929
200,1990,321319.3666,37.95663101,24081
204,1990,265795.2069,37.84297005,36437
206,1990,251475.264,39.67960441,7083
207,1990,231375.2342,41.19479451,10509
208,1990,241369.9723,40.0268687,5563
209,1990,251395.1629,40.87073367,5200
212,1990,246541.577,40.26992317,3764
231,1990,263891.6972,38.47354222,24374
219,1990,259289.4469,40.47426121,6861
221,1990,256059.7548,37.6981781,29844
222,1990,244975.0572,38.85553294,11332
225,1990,261877.6206,37.19732571,26160
130,1990,270570.6308,36.31846737,909
236,1990,250185.8602,38.64217092,13561
233,1990,252881.1179,38.03647478,20820
234,1990,242275.0448,38.99444648,10142
224,1990,250964.2952,39.43730966,7761
217,1990,255789.5092,39.44653446,5715
201,1990,325729.075,34.77019267,114852
90,1990,256438.8733,39.12291403,5360
165,1990,287975.6399,36.84844104,29665
216,1990,255456.752,38.39506758,9450
48,1990,248874.542,41.02178209,5204
46,1990,273332.1542,38.75090645,5458
121,1990,268939.1256,36.38480472,68596
214,1990,248668.5266,39.38805434,25103
1,1991,366415.3431,36.0433398,74215
2,1991,327203.7092,36.96340675,38637
6,1991,274860.0973,40.52540337,551599
16,1991,287762.4972,38.7100945,2681
17,1991,281230.4774,37.71772653,453
18,1991,274156.1719,39.61070149,272
24,1991,286493.4738,38.9535402,7591
25,1991,265703.9993,39.99216729,2421
28,1991,280610.9317,38.91402228,5878
29,1991,271097.0127,39.36074058,7915
34,1991,245652.2158,41.86706315,10390
35,1991,281199.0887,38.14241783,52564
36,1991,303793.3676,37.39692063,771
37,1991,282691.9311,36.1387505,3402
38,1991,251509.0605,40.67021699,14125
44,1991,248444.409,40.99804597,1095
45,1991,247403.935,41.93603904,9552
47,1991,272037.8742,39.41673023,3902
49,1991,240223.8809,42.8361032,788
56,1991,251345.35,39.58778018,19417
57,1991,276536.7506,45.22158439,42
59,1991,272650.0935,38.4784069,1257
62,1991,248941.6099,40.30666667,126
68,1991,223619.4419,41.91498083,504
72,1991,218398.0525,45.01896331,1194
74,1991,280005.3468,37.613509,4567
80,1991,272969.3241,39.13416121,2026
82,1991,258272.6604,38.06244965,1072
83,1991,293990.3684,37.03582029,7212
84,1991,289968.6667,38.76942764,1629
85,1991,294231.7892,35.96163055,1599
86,1991,266943.0145,39.91056582,4725
