ov_id,reference,good,moderate,poor,bad
1,1.8,2.2,2.9,4.3,8.6
2,2.7,3.3,4.3,6.4,12.9
6,0.9,1.2,1.5,2.3,4.6
16,1.6,1.9,2.5,3.8,7.5
17,1.7,2.1,2.8,4.2,8.4
18,1.9,2.3,3.1,4.6,9.3
24,1.2,1.4,1.8,2.7,5.4
25,1.8,2.2,2.8,4.3,8.5
28,0.8,0.9,1.2,1.8,3.6
29,0.8,0.9,1.2,1.8,3.7
34,1.1,1.4,1.9,2.8,5.6
35,3.4,4.2,5.6,8.4,16.8
36,2,2.5,3.3,5,10
37,1.3,1.7,2.2,3.4,6.7
38,1.3,1.6,2.1,3.1,6.3
44,0.8,1,1.3,1.9,3.8
45,1,1.3,1.6,2.4,4.8
46,0.8,1,1.3,2,3.9
47,1.8,2.3,2.9,4.3,8.6
48,1.3,1.6,2,3,6.1
49,1.6,2,2.5,3.8,7.5
56,0.6,0.8,1,1.5,3.1
57,0.6,0.8,1,1.5,3.1
59,3.2,3.9,5.1,7.6,15.2
62,1.6,1.9,2.4,3.7,7.3
68,1.3,1.6,2.2,3.3,6.5
72,1.2,1.5,2.1,3.1,6.2
74,4.8,6,8,12.1,24.1
80,1.2,1.5,2,2.9,5.9
82,6.5,8.1,10.8,16.1,32.3
83,3,3.6,4.7,7,14
84,1.8,2.2,2.8,4.3,8.5
85,2.4,2.8,3.7,5.5,11
86,1.1,1.3,1.6,2.5,4.9
87,1,1.3,1.7,2.6,5.2
89,1.1,1.4,1.9,2.8,5.6
90,0.9,1.1,1.4,2.2,4.3
92,2.1,2.5,3.2,4.8,9.6
93,4.5,5.4,7,10.5,21.1
95,0.8,0.9,1.2,1.8,3.7
96,0.9,1.1,1.4,2.1,4.1
101,0.8,1,1.3,1.9,3.9
102,0.6,0.8,1,1.5,3.1
103,0.7,0.9,1.2,1.9,3.7
104,1.2,1.5,2,2.9,5.9
105,1.5,1.9,2.6,3.8,7.7
106,4.9,6.1,8.2,12.2,24.5
107,3.3,4.9,7.5,11.3,22.5
108,2.2,2.8,3.7,5.6,11.1
109,4,5,6.6,9.9,19.8
110,1.6,2,2.6,4,7.9
111,3.3,4.9,7.5,11.3,22.5
113,0.8,1,1.4,2.1,4.2
114,0.7,0.9,1.2,1.8,3.5
119,3,4.5,6.8,10.2,20.5
120,3.3,4.9,7.5,11.3,22.5
121,3.3,4.9,7.5,11.3,22.5
122,0.9,1.1,1.5,2.2,4.4
123,2.3,2.8,3.6,5.4,10.9
124,3.1,3.7,4.8,7.2,14.4
125,1.5,1.8,2.3,3.4,6.9
127,1.2,1.5,1.9,2.8,5.7
128,1.5,1.8,2.3,3.5,7
129,1.6,1.9,2.5,3.7,7.5
130,1.6,1.9,2.4,3.7,7.3
131,3,3.7,4.7,7.1,14.2
132,5.4,6.5,8.4,12.6,25.1
133,3,4.5,6.8,10.2,20.5
136,6.8,8.2,10.6,15.9,31.9
137,6,7.2,9.4,14.1,28.1
138,1,1.2,1.6,2.3,4.7
139,0.9,1.1,1.4,2.1,4.2
140,0.7,0.9,1.1,1.7,3.3
141,0.8,1,1.3,2,4
142,1.5,1.8,2.4,3.6,7.1
144,1,1.2,1.5,2.3,4.5
145,1,1.2,1.5,2.2,4.5
146,2.7,3.2,4.2,6.3,12.6
147,0.8,0.9,1.2,1.8,3.6
154,1.2,1.4,1.8,2.7,5.5
157,1.8,2.1,2.7,4.1,8.2
158,4.8,5.8,7.5,11.2,22.4
159,2,2.4,3.1,4.6,9.3
160,2.5,3,3.9,5.8,11.6
165,1.6,1.9,2.5,3.8,7.5
200,0.7,0.9,1.2,1.8,3.5
201,0.8,1.1,1.3,2,4
204,0.8,1,1.3,1.9,3.8
205,0.6,0.7,0.9,1.4,2.8
206,0.8,1,1.4,2.1,4.2
207,1.4,1.7,2.3,3.5,6.9
208,1,1.3,1.7,2.5,5
209,1.2,1.5,2,3,5.9
212,1,1.3,1.7,2.6,5.2
214,0.8,1.1,1.4,2.1,4.2
216,0.6,0.7,1,1.5,3
217,0.8,1,1.4,2.1,4.2
219,0.7,0.9,1.2,1.7,3.5
221,2,3,4,6,12
222,1.2,1.4,1.9,2.8,5.6
224,0.8,1,1.2,1.9,3.7
225,0.9,1.1,1.4,2.2,4.3
231,0.8,1,1.3,1.9,3.8
232,1.1,1.4,1.8,2.7,5.3
233,1.3,1.5,2,2.9,5.9
234,1.4,1.7,2.2,3.3,6.7
235,2.1,2.5,3.2,4.8,9.7
236,1.4,1.7,2.2,3.4,6.7
238,4.7,5.7,7.4,11.1,22.1
