ov_id,station_id
DKCOAST1 ,DKMONCW93220004 
DKCOAST1 ,DKMONCW93220017 
DKCOAST1 ,DKMONCW93220067 
DKCOAST1 ,DKMONCW93220063 
DKCOAST1 ,DKMONCW93220087 
DKCOAST1 ,DKMONCW93220073 
DKCOAST1 ,DKMONCW93220091 
DKCOAST1 ,DKMONCW93220043 
DKCOAST1 ,DKMONCW93220112 
DKCOAST1 ,DKMONCW93220113 
DKCOAST1 ,DKMONCW93220114 
DKCOAST2 ,DKMONCW93220011 
DKCOAST2 ,DKMONCW93220027 
DKCOAST2 ,DKMONCW93220107 
DKCOAST2 ,DKMONCW93220059 
DKCOAST2 ,DKMONCW93220079 
DKCOAST2 ,DKMONCW93220068 
DKCOAST2 ,DKMONCW93220077 
DKCOAST2 ,DKMONCW93220105 
DKCOAST2 ,DKMONCW93220097 
DKCOAST2 ,DKMONCW93220029 
DKCOAST6 ,DKMONCW97100006 
DKCOAST6 ,DKMONCW97210004 
DKCOAST6 ,DKMONCW97200035 
DKCOAST6 ,DKMONCW97200036 
DKCOAST6 ,DKMONCW97220011 
DKCOAST6 ,DKMONCW97210033 
DKCOAST6 ,DKMONCW97230018 
DKCOAST6 ,DKMONCW97230016 
DKCOAST6 ,DKMONCW97200061 
DKCOAST6 ,DKMONCW97230017 
DKCOAST6 ,DKMONCW97220010 
DKCOAST6 ,DKMONCW97120110 
DKCOAST6 ,DKMONCW97120111 
DKCOAST6 ,DKMONCW97200045 
DKCOAST6 ,DKMONCW97230007 
DKCOAST6 ,DKMONCW97210020 
DKCOAST11,DKMONCW97200053 
DKCOAST11,DKMONCW97200057 
DKCOAST11,DKMONCW97200066 
DKCOAST11,DKMONCW97200068 
DKCOAST16,DKMONCW96140001 
DKCOAST16,DKMONCW96140028 
DKCOAST16,DKMONCW96140038 
DKCOAST16,DKMONCW96140037 
DKCOAST16,DKMONCW96140031 
DKCOAST16,DKMONCW96140046 
DKCOAST17,DKMONCW96220230 
DKCOAST17,DKMONCW96220323 
DKCOAST17,DKMONCW96220429 
DKCOAST18,DKMONCW96220002 
DKCOAST18,DKMONCW96220340 
DKCOAST18,DKMONCW96220346 
DKCOAST18,DKMONCW96220347 
DKCOAST18,DKMONCW96220428 
DKCOAST18,DKMONCW96220444 
DKCOAST24,DKMONCW93210005 
DKCOAST24,DKMONCW93210013 
DKCOAST24,DKMONCW93210090 
DKCOAST24,DKMONCW93210066 
DKCOAST24,DKMONCW93210080 
DKCOAST24,DKMONCW93210093 
DKCOAST24,DKMONCW93210061 
DKCOAST24,DKMONCW93210095 
DKCOAST24,DKMONCW93210097 
DKCOAST24,DKMONCW93210057 
DKCOAST25,DKMONCW96210002 
DKCOAST25,DKMONCW96210032 
DKCOAST25,DKMONCW96210038 
DKCOAST25,DKMONCW96210034 
DKCOAST25,DKMONCW96210031 
DKCOAST25,DKMONCW96210033 
DKCOAST25,DKMONCW96210050 
DKCOAST25,DKMONCW96210003 
DKCOAST28,DKMONCW94120003 
DKCOAST28,DKMONCW94010003 
DKCOAST28,DKMONCW94110001 
DKCOAST28,DKMONCW94110002 
DKCOAST28,DKMONCW94120005 
DKCOAST28,DKMONCW94110039 
DKCOAST28,DKMONCW94120008 
DKCOAST28,DKMONCW94110035 
DKCOAST28,DKMONCW94120068 
DKCOAST28,DKMONCW94120057 
DKCOAST28,DKMONCW94120062 
DKCOAST28,DKMONCW94120064 
DKCOAST28,DKMONCW94110030 
DKCOAST28,DKMONCW94110031 
DKCOAST28,DKMONCW94110037 
DKCOAST28,DKMONCW94110020 
DKCOAST28,DKMONCW94120070 
DKCOAST28,DKMONCW94110038 
DKCOAST29,DKMONCW96110002 
DKCOAST29,DKMONCW96110011 
DKCOAST29,DKMONCW96110054 
DKCOAST29,DKMONCW96110030 
DKCOAST29,DKMONCW96110045 
DKCOAST29,DKMONCW96110051 
DKCOAST29,DKMONCW96110046 
DKCOAST29,DKMONCW96110042 
DKCOAST29,DKMONCW96110053 
DKCOAST29,DKMONCW96100071 
DKCOAST29,DKMONCW96100097 
DKCOAST29,DKMONCW96110056 
DKCOAST29,DKMONCW96110055 
DKCOAST34,DKMONCW96260020 
DKCOAST34,DKMONCW96200326 
DKCOAST34,DKMONCW96260230 
DKCOAST34,DKMONCW96200347 
DKCOAST34,DKMONCW96260236 
DKCOAST34,DKMONCW96200346 
DKCOAST34,DKMONCW96260234 
DKCOAST34,DKMONCW96260235 
DKCOAST35,DKMONCW96220079 
DKCOAST35,DKMONCW96220321 
DKCOAST35,DKMONCW96220381 
DKCOAST35,DKMONCW96220366 
DKCOAST35,DKMONCW96220368 
DKCOAST35,DKMONCW96220375 
DKCOAST35,DKMONCW96220225 
DKCOAST35,DKMONCW96220326 
DKCOAST35,DKMONCW96220328 
DKCOAST36,DKMONCW96220004 
DKCOAST36,DKMONCW96220407 
DKCOAST36,DKMONCW96220401 
DKCOAST36,DKMONCW96220409 
DKCOAST36,DKMONCW96220427 
DKCOAST36,DKMONCW96220439 
DKCOAST36,DKMONCW96220434 
DKCOAST37,DKMONCW96220171 
DKCOAST37,DKMONCW96220356 
DKCOAST37,DKMONCW96220367 
DKCOAST37,DKMONCW96220400 
