VandområdeID ,MålestationsID 
DKLAKE1 ,DKMONLW1000007 
DKLAKE3 ,DKMONLW1000060 
DKLAKE5 ,DKMONLW2000989 
DKLAKE8 ,DKMONLW1000002 
DKLAKE9 ,DKMONLW1000024 
DKLAKE12 ,DKMONLW15000004 
DKLAKE14 ,DKMONLW1000035 
DKLAKE16 ,DKMONLW1000122 
DKLAKE18 ,DKMONLW2000004 
DKLAKE19 ,DKMONLW2000003 
DKLAKE20 ,DKMONLW1000006 
DKLAKE21 ,DKMONLW1000517 
DKLAKE23 ,DKMONLW15000053 
DKLAKE24 ,DKMONLW1000003 
DKLAKE26 ,DKMONLW1000027 
DKLAKE28 ,DKMONLW1000057 
DKLAKE29 ,DKMONLW1000058 
DKLAKE30 ,DKMONLW1000056 
DKLAKE32 ,DKMONLW30000015 
DKLAKE33 ,DKMONLW40000014 
DKLAKE34 ,DKMONLW36000004 
DKLAKE35 ,DKMONLW40000187 
DKLAKE36 ,DKMONLW30000002 
DKLAKE37 ,DKMONLW30000658 
DKLAKE38 ,DKMONLW30000659 
DKLAKE39 ,DKMONLW30000001 
DKLAKE41 ,DKMONLW31000002 
DKLAKE42 ,DKMONLW30000035 
DKLAKE43 ,DKMONLW30000004 
DKLAKE44 ,DKMONLW30000485 
DKLAKE46 ,DKMONLW30000121 
DKLAKE48 ,DKMONLW30000032 
DKLAKE49 ,DKMONLW30000005 
DKLAKE50 ,DKMONLW38000009 
DKLAKE51 ,DKMONLW38000010 
DKLAKE52 ,DKMONLW38000016 
DKLAKE53 ,DKMONLW31000048 
DKLAKE54 ,DKMONLW38000084 
DKLAKE56 ,DKMONLW38000083 
DKLAKE58 ,DKMONLW31000009 
DKLAKE59 ,DKMONLW40000015 
DKLAKE63 ,DKMONLW30000031 
DKLAKE65 ,DKMONLW35000001 
DKLAKE67 ,DKMONLW40000016 
DKLAKE69 ,DKMONLW30000182 
DKLAKE71 ,DKMONLW37000026 
DKLAKE74 ,DKMONLW30000036 
DKLAKE75 ,DKMONLW35000003 
DKLAKE77 ,DKMONLW35000199 
DKLAKE78 ,DKMONLW30000034 
DKLAKE84 ,DKMONLW39000022 
DKLAKE85 ,DKMONLW36000006 
DKLAKE89 ,DKMONLW30000038 
DKLAKE90 ,DKMONLW37000030 
DKLAKE91 ,DKMONLW38000108 
DKLAKE92 ,DKMONLW30000144 
DKLAKE93 ,DKMONLW41000001 
DKLAKE99 ,DKMONLW34000460 
DKLAKE101,DKMONLW34000015 
DKLAKE102,DKMONLW34000081 
DKLAKE105,DKMONLW37000097 
DKLAKE106,DKMONLW32000011 
DKLAKE107,DKMONLW41000036 
DKLAKE109,DKMONLW41000608 
DKLAKE110,DKMONLW37000048 
DKLAKE111,DKMONLW32000010 
DKLAKE113,DKMONLW37000015 
DKLAKE114,DKMONLW41000002 
DKLAKE115,DKMONLW37000040 
DKLAKE117,DKMONLW32000873 
DKLAKE121,DKMONLW41000025 
DKLAKE123,DKMONLW41000003 
DKLAKE124,DKMONLW32000890 
DKLAKE125,DKMONLW34000010 
DKLAKE126,DKMONLW32000976 
DKLAKE128,DKMONLW41000045 
DKLAKE129,DKMONLW41000005 
DKLAKE135,DKMONLW41000047 
DKLAKE136,DKMONLW41000600 
DKLAKE137,DKMONLW41000006 
DKLAKE139,DKMONLW41000033 
DKLAKE140,DKMONLW37000025 
DKLAKE141,DKMONLW33000005 
DKLAKE143,DKMONLW41000008 
DKLAKE144,DKMONLW34000012 
DKLAKE146,DKMONLW42000257 
DKLAKE147,DKMONLW37000679 
DKLAKE148,DKMONLW34000014 
DKLAKE149,DKMONLW37000042 
DKLAKE155,DKMONLW34000436 
DKLAKE156,DKMONLW41000009 
DKLAKE157,DKMONLW37000126 
DKLAKE159,DKMONLW41000055 
DKLAKE161,DKMONLW37000722 
DKLAKE163,DKMONLW46000103 
DKLAKE166,DKMONLW46000154 
DKLAKE167,DKMONLW46000505 
DKLAKE169,DKMONLW46000012 
DKLAKE173,DKMONLW46000670 
DKLAKE175,DKMONLW43000442 
