ObservationsstedNr,X_UTM32,Y_UTM32
1000001,507910,6176686
1000002,475629,6323602
1000003,476989,6324372
1000004,507910,6176686
1000006,476336,6325428
1000007,475988,6324288
1000008,507910,6176686
1000009,564078,6382769
1000010,507910,6176686
1000011,494360,6331253
1000012,494249,6329242
1000013,507910,6176686
1000014,463257,6307842
1000015,507910,6176686
1000016,507910,6176686
1000017,507910,6176686
1000018,507910,6176686
1000019,507910,6176686
1000020,507910,6176686
1000021,459829,6300432
1000022,507910,6176686
1000023,507910,6176686
1000024,497409,6333732
1000025,507910,6176686
1000026,507910,6176686
1000027,473039,6319052
1000028,507910,6176686
1000029,487720,6326560
1000030,507910,6176686
1000031,498029,6323552
1000032,502559,6329632
1000033,547266,6369146
1000034,495656,6331838
1000035,476201,6320965
1000036,502669,6325312
1000037,507910,6176686
1000041,476319,6320842
1000042,507910,6176686
1000043,507910,6176686
1000044,476319,6320842
1000045,507910,6176686
1000046,507910,6176686
1000047,507910,6176686
1000048,507910,6176686
1000049,507910,6176686
1000050,507910,6176686
1000051,507910,6176686
1000052,507910,6176686
1000053,507910,6176686
1000054,458199,6303482
1000055,467409,6314272
1000056,464399,6311352
1000057,516374,6333103
1000058,515851,6333030
1000059,507910,6176686
1000060,473859,6322872
1000061,459079,6306482
1000062,478279,6327232
1000063,507910,6176686
1000064,478569,6327212
1000065,507910,6176686
1000066,475059,6324742
1000083,502669,6325312
1000084,507910,6176686
1000085,507910,6176686
1000086,507910,6176686
1000087,507910,6176686
1000088,507910,6176686
1000089,507910,6176686
1000092,476003,6324052
1000093,477224,6320473
1000094,473039,6319052
1000095,502559,6329632
1000096,507910,6176686
1000097,507910,6176686
1000098,507910,6176686
1000099,507910,6176686
1000100,507910,6176686
1000101,507910,6176686
1000104,475854,6321127
1000105,475972,6320690
1000106,476906,6320904
1000107,507910,6176686
1000108,502681,6329400
1000109,477350,6322042
1000112,507910,6176686
1000113,507910,6176686
1000114,507910,6176686
1000115,507910,6176686
1000116,507910,6176686
1000117,507910,6176686
1000121,502559,6329632
1000122,513206,6332924
1000123,513206,6332924
1000124,513206,6332924
1000125,498029,6323552
1000126,498029,6323552
1000127,459829,6300432
1000128,580432,6387441
1000129,580432,6387441
1000130,515802,6333219
1000131,515802,6333219
1000132,586864,6394274
1000133,586864,6394274
1000134,550370,6365050
1000135,550370,6365050
1000136,552167,6353721
1000137,552167,6353721
1000138,557337,6346192
1000139,557337,6346192
1000140,458199,6303482
1000141,458199,6303482
1000142,487720,6326560
1000143,476989,6324372
1000144,476989,6324372
1000145,487720,6326560
