VandområdeID ,MålestationsID 
DKRIVER7253 ,DKMONRW10000006 
DKRIVER7890 ,DKMONRW10000008 
DKRIVER8130 ,DKMONRW10000009 
DKRIVER6501 ,DKMONRW10000010 
DKRIVER6663 ,DKMONRW10000011 
DKRIVER429,DKMONRW10000013 
DKRIVER5016 ,DKMONRW10000014 
DKRIVER3620 ,DKMONRW10000016 
DKRIVER4303 ,DKMONRW10000026 
DKRIVER3880 ,DKMONRW10000027 
DKRIVER192,DKMONRW10000029 
DKRIVER7653 ,DKMONRW10000030 
DKRIVER4396 ,DKMONRW10000031 
DKRIVER7296 ,DKMONRW10000036 
DKRIVER6910 ,DKMONRW10000037 
DKRIVER136,DKMONRW10000038 
DKRIVER3004 ,DKMONRW10000040 
DKRIVER6669 ,DKMONRW10000041 
DKRIVER8311 ,DKMONRW10000042 
DKRIVER2464 ,DKMONRW10000156 
DKRIVER5376 ,DKMONRW10000157 
DKRIVER6100 ,DKMONRW10000254 
DKRIVER6100 ,DKMONRW10000256 
DKRIVER1355 ,DKMONRW10000257 
DKRIVER1355 ,DKMONRW10000258 
DKRIVER1355 ,DKMONRW10000259 
DKRIVER6100 ,DKMONRW10000260 
DKRIVER1355 ,DKMONRW10000261 
DKRIVER1355 ,DKMONRW10000263 
DKRIVER1355 ,DKMONRW10000267 
DKRIVER5533 ,DKMONRW10000269 
DKRIVER5330 ,DKMONRW10000271 
DKRIVER6633 ,DKMONRW10000274 
DKRIVER2494 ,DKMONRW10000278 
DKRIVER5330 ,DKMONRW10000280 
DKRIVER8485 ,DKMONRW10000281 
DKRIVER574,DKMONRW10000283 
DKRIVER7718 ,DKMONRW10000286 
DKRIVER1539 ,DKMONRW10000287 
DKRIVER5582 ,DKMONRW10000289 
DKRIVER5582 ,DKMONRW10000291 
DKRIVER1539 ,DKMONRW10000292 
DKRIVER1539 ,DKMONRW10000294 
DKRIVER5533 ,DKMONRW10000298 
DKRIVER3518 ,DKMONRW10000300 
DKRIVER3518 ,DKMONRW10000301 
DKRIVER1355 ,DKMONRW10000303 
DKRIVER7246 ,DKMONRW10000305 
DKRIVER1355 ,DKMONRW10000306 
DKRIVER1829 ,DKMONRW10000308 
DKRIVER7383 ,DKMONRW10000314 
