ObservationsstedNr,X_UTM32,Y_UTM32
1000039,473745,6321459
1000040,470616,6322773
1000067,461099,6312038
1000068,462643,6311452
1000069,465293,6315028
1000070,464141,6315397
1000071,477899,6328486
1000072,474895,6329653
1000073,475808,6329474
1000074,478781,6327873
1000075,478560,6327929
1000076,475966,6317320
1000077,474568,6318107
1000078,470397,6321494
1000079,491288,6329911
1000080,479596,6320180
1000081,473521,6317647
1000082,460264,6310685
1000091,470946,6321180
1000102,546960,6357788
1000103,521071,6332576
1000110,524974,6332232
1000111,560168,6378337
1000118,553980,6377654
1000119,574515,6379088
1000120,560287,6382658
1000153,543694,6359557
1000219,471534,6320682
2000005,589140,6370966
2000006,589544,6356059
2000010,589884,6364802
2000011,590018,6343010
2000012,580757,6373194
2000014,584458,6383122
2000015,581585,6368821
2000100,588653,6364689
2000101,586843,6376282
2000102,578833,6367112
2000105,578183,6375288
2000106,591328,6349324
2000107,586656,6337385
3000002,566325,6381281
3000003,567978,6368100
3000005,573398,6368739
3000006,576831,6373840
3000007,568200,6362289
3000010,576206,6367638
3000123,565067,6371583
3000124,572471,6370357
3000125,574688,6365347
4000002,554373,6373897
4000003,554698,6368212
4000004,553823,6375308
4000005,553818,6375172
4000008,556116,6366328
4000009,557926,6363181
4000010,549845,6365434
4000011,560863,6355183
4000012,555003,6357118
4000013,553899,6375509
4000074,558460,6364599
4000075,556292,6366094
4000338,554798,6371160
5000003,586866,6341490
5000004,583450,6344168
5000005,573525,6351858
5000006,574362,6349062
5000072,574732,6347193
6000001,550828,6347707
6000002,542812,6333325
6000003,535431,6340918
6000005,535236,6341421
6000006,569295,6337163
6000008,554489,6348717
6000009,566471,6339553
6000010,545095,6333648
6000011,544177,6337141
6000093,547075,6349353
6000101,545255,6354316
6000103,554170,6348362
6000105,562779,6342333
6000306,561966,6341446
7000001,561818,6338993
7000002,554124,6327050
7000003,555364,6335640
7000004,572022,6325613
7000006,551139,6330170
7000007,565194,6327713
7000063,554826,6330711
7000064,558608,6330473
7000065,562628,6338372
8000001,581892,6329753
8000005,583385,6331404
9000001,487169,6319234
9000002,535870,6333313
9000015,483902,6320971
9000021,529650,6322586
9000022,499269,6325515
9000028,490443,6326425
9000030,494311,6327424
9000031,497041,6328243
9000032,470304,6295778
9000033,468554,6294791
9000034,500514,6320223
9000035,480798,6313219
9000036,479900,6315133
9000037,499090,6330239
9000038,497400,6328403
9000039,466513,6287071
9000040,465479,6288445
9000041,468326,6287399
9000042,466786,6287704
9000044,496679,6328726
9000045,481621,6323156
9000046,482246,6322670
9000047,468252,6289750
9000048,461301,6284003
9000049,462402,6286334
9000050,460214,6283127
9000051,467029,6290407
9000052,489614,6323234
9000053,489559,6323230
9000054,463316,6285610
9000055,464037,6286402
9000056,463058,6282746
9000057,463523,6284602
9000058,487791,6321675
9000059,488472,6321499
9000060,471119,6298995
9000061,476371,6306127
9000062,468416,6277987
9000063,487045,6319274
9000064,484998,6317129
9000065,490090,6325720
9000066,488715,6326080
9000067,484957,6324946
9000068,485487,6326556
9000069,485766,6325764
9000070,487332,6321271
9000071,487164,6320396
9000072,485934,6323600
9000073,485849,6324958
9000074,486673,6326352
9000075,477354,6307469
9000076,477020,6309011
9000077,476908,6306368
9000078,496911,6327758
9000079,484657,6319700
9000080,475767,6305205
9000081,475352,6303408
9000082,476159,6303314
9000083,498575,6322003
9000084,485884,6326861
9000085,481074,6325785
9000086,501322,6331116
9000087,499973,6331476
9000088,481969,6324793
9000089,466157,6284375
9000090,468231,6288809
9000091,487874,6316763
9000092,485775,6317279
9000093,486927,6318524
9000094,460414,6283483
9000095,461121,6285496
9000096,497363,6325013
9000097,482882,6321715
9000098,469337,6295284
9000099,482762,6322727
9000100,482113,6325593
9000101,487146,6319231
9000102,482073,6324608
9000103,483043,6321948
9000104,477150,6304518
9000105,473576,6279007
9000106,479592,6311991
9000107,499184,6322007
9000108,495930,6321543
9000109,495922,6321590
9000110,495866,6321529
9000111,499270,6326612
9000112,498193,6327269
9000113,497261,6328137
9000114,499215,6328378
9000115,501419,6327372
9000116,501492,6327703
9000117,468429,6291427
9000118,465779,6292345
9000119,467427,6293424
9000120,465470,6290634
9000121,472752,6297306
9000122,471433,6297400
9000123,472826,6299504
9000124,491432,6323070
9000125,492231,6323866
9000126,491456,6322996
9000127,490521,6321882
9000128,491746,6320692
9000150,476794,6302939
9000151,538851,6327773
9000157,462986,6283636
9000167,525546,6329607
9000168,515822,6322342
9000171,509779,6322592
9000172,530426,6328161
9000173,503870,6328200
9000175,472223,6298952
9000176,490244,6322212
9000201,508060,6323295
9000202,507910,6176686
9000208,493329,6318002
9000370,487612,6319050
9000541,501145,6329705
9000557,502818,6331410
9001146,501500,6330838
