v,Q,ln y,D age,ln PSL,ln PAL,SL,D lake,N
1,3.0,1.9857163660077064,0,0.0,-0.9026983531843642,0.0,0,99015.0
2,3.0,1.9052024860449803,0,0.0,-0.5158548697466401,0.0,0,49150.0
6,3.0,1.906166603521959,0,0.0,-2.2883473658819415,0.0,0,628477.0
16,2.0,1.7259281560116466,1,-0.3110717020879888,-0.3938657434068783,0.0137037423017822,0,2747.0
17,1.0,1.8209800375017333,0,-0.4483373803855828,-0.17210922674641163,0.026360111331108802,0,461.0
18,2.0,1.7182489489165624,1,0.0,-0.4634129488996177,0.017789887294684198,0,275.0
24,3.0,1.704300471019473,1,0.0,-0.7687765549098529,0.0,0,9766.0
25,3.0,1.6386141941735326,1,0.0,-0.5498286387983089,0.0,0,2989.0
28,3.0,1.6891099236123162,1,0.0,-0.6993403218768595,0.0,0,8010.0
29,1.0,1.6610518213075731,0,-0.35914593599918965,-0.6579419451224748,0.038907308074859,0,9300.0
34,0.0,1.5455735291516595,1,-1.0666464870808492,-0.33162630546528804,0.122222690456568,0,10414.0
35,3.0,1.7386372817841467,0,0.0,-0.4320605520237782,0.0,0,66233.0
36,1.0,1.9149909783968337,0,-0.346224319654422,-0.27870496622239227,0.0247263562706104,0,1120.0
37,3.0,1.7754575732417728,0,0.0,-0.21753619486035208,0.0,0,4015.0
38,3.0,1.5867959339462447,0,0.0,-0.34755734322875853,0.0,0,15820.0
44,1.0,1.7505763817663114,1,-0.6380856346471204,-0.35533717569749024,0.0666477173471988,0,1064.0
45,3.0,1.5670543295363042,1,0.0,-0.3265167728431734,0.0,0,11364.0
46,2.0,1.7522399426285247,1,-1.186578236108456,-0.3333630788853025,0.066786127218972,0,7099.0
47,2.0,1.7169379333574435,1,-1.5937772805834722,-0.40721169528599827,0.034830250770458905,0,4827.0
48,1.0,1.6384716832443502,1,-0.8149315611155854,-0.3696376675627044,0.12120670222515101,0,6245.0
49,3.0,1.6039302712270367,1,0.0,-0.15989768553367753,0.0,0,933.0
56,3.0,1.5687440603576683,1,0.0,-0.5261580701269696,0.0,0,20097.0
57,3.0,1.578751470975619,1,0.0,0.0,0.0,0,33.0
59,3.0,1.7815077094118046,0,0.0,-0.14224308927852178,0.0,0,1264.0
62,2.0,1.7953500169969892,1,0.0,-0.221582729103965,0.0175189851354878,0,129.0
68,3.0,1.4548808791527197,1,0.0,-0.27118573172237376,0.0,0,543.0
72,1.0,1.4198161284477957,1,-0.43475263929719526,-0.37380100374880065,0.023617188354993,0,1152.0
74,3.0,1.7627951632734273,0,0.0,-0.5776110174660208,0.0,0,5525.0
80,3.0,1.777548133961822,0,0.0,-0.18543810233724753,0.0,0,2431.0
82,3.0,1.8417194983099179,0,0.0,-0.16797461734547633,0.0,0,983.0
83,3.0,1.7753922204893235,0,0.0,-0.3831424977047439,0.0,0,9531.0
84,3.0,1.743152882131112,1,0.0,-0.2126006865866353,0.0,0,2291.0
85,3.0,1.6683237907150845,0,0.0,-0.1941919133302761,0.0,0,1987.0
86,2.0,1.6519779648505846,1,-0.9221282256113572,-1.3704074435594995,0.016700908318916803,0,5749.0
87,3.0,1.691212879620493,1,0.0,-0.3459471815245734,0.0,0,6005.0
89,2.0,1.8006433888928195,0,-0.9167844345332056,-0.6613229082353718,0.012209338796248,0,528.0
90,3.0,1.7235743692878172,0,0.0,-0.38678735315178514,0.0,0,6288.0
92,3.0,1.7133420401185369,1,0.0,-0.21381824373782748,0.0,0,2441.0
93,3.0,1.6832582879020106,0,0.0,-0.45781753560050525,0.0,0,123802.0
95,3.0,1.4901283927624007,1,0.0,-0.4697061801998317,0.0,0,1843.0
96,3.0000000000000004,1.726681899223814,1,0.0,-0.289360315307241,0.0,0,5038.0
101,2.9999999999999996,1.8496590877373607,0,0.0,-0.5791152355222545,0.0,0,1506.0
102,3.0,1.6275968316341654,0,0.0,-0.7850219337275165,0.0,0,10044.0
103,3.0,1.6727252928089023,0,0.0,-0.18993069660248696,0.0,0,2686.0
104,3.0,1.7869272225740158,0,0.0,-0.3298002078098779,0.0,0,3921.0
105,3.0,1.713729356199359,0,0.0,-0.35502347446147614,0.0,0,10021.0
106,3.0,1.6603892662732405,0,0.0,-0.42467660795749906,0.0,0,15667.0
107,3.0000000000000004,1.637460119326953,0,0.0,-0.391314805649604,0.0,0,3237.0
108,3.0000000000000004,1.7861744731267009,0,0.0,-0.23147280720157978,0.0,0,630.0
109,2.9999999999999996,1.7646006551273892,0,0.0,-0.2038077316072136,0.0,0,2926.0
110,3.0,1.7837806878350841,1,0.0,-0.45314559518541536,0.0,0,4254.0
111,3.0,1.6348725514902704,0,0.0,-0.30886143117555254,0.0,0,27414.0
