,coastal,lakes,streams,total
1990,2059.476722824388,1333.5855303566177,1830.6223172969098,5223.684570477915
1991,1975.160421417474,1361.9538837000816,1893.6655667402013,5230.779871857757
1992,2032.895187607995,1395.0806188429135,1935.0096796669006,5362.985486117809
1993,2077.950643394333,1384.6607096911034,1949.8697169751208,5412.481070060558
1994,2150.493474352968,1433.2052979757789,2046.3525014170589,5630.051273745806
1995,2131.7411738506075,1463.4668060423896,2085.0263265935073,5680.2343064865045
1996,2170.2855446875005,1464.0106621585162,2106.0850833065238,5740.38129015254
1997,2184.387949062677,1448.4346148572017,2126.1174404820968,5758.940004401975
1998,2191.0294135625845,1454.5620346641972,2159.1218443829994,5804.713292609781
1999,2181.8593359463202,1461.251851027885,2138.660362337328,5781.771549311534
2000,2169.433248765858,1497.576160950931,2122.510336703333,5789.519746420122
2001,2156.655400199135,1520.6902039850322,2088.127202631908,5765.472806816075
2002,2117.4378834215518,1509.0791692905918,2074.2813986969936,5700.798451409137
2003,2004.30367562365,1485.7172634305985,2048.337269692447,5538.358208746696
2004,2060.933840759135,1521.1648048303707,2059.0347799989254,5641.13342558843
2005,2110.5632341866285,1502.7259173069456,2108.3415137272987,5721.630665220873
2006,2251.0365198987124,1532.6322855289618,2162.695220451866,5946.36402587954
2007,2238.4742975360546,1511.526749880794,2205.585399283519,5955.586446700368
2008,2292.8380153086714,1468.2312033055916,2156.2916636641303,5917.360882278394
2009,2237.641400319233,1392.883538830831,2128.4212634625846,5758.946202612648
2010,2132.3269008313086,1401.8340529743523,2161.8650321885298,5696.025985994191
2011,2101.815652404689,1400.3926561094736,2140.3353257137564,5642.543634227919
2012,2072.276971846628,1470.1060046820237,2127.873927693681,5670.256904222333
2013,2135.892008469258,1486.5259537071313,2129.8599748422844,5752.2779370186745
2014,2177.453677898007,1497.514998904554,2130.6521010592714,5805.620777861832
2015,2322.879777664093,1567.1001884845418,2209.146469835527,6099.1264359841625
2016,2356.4142599301,1588.202868719833,2222.467578715812,6167.084707365745
2017,2516.601584500157,1603.5620961554202,2267.8372422249467,6388.000922880524
2018,2497.8639966985706,1630.2941795085742,2267.308076791169,6395.466252998313
2019,2518.9303914533198,1671.35010926237,2288.7924129510584,6479.072913666748
2020,2839.4294658737767,1727.6336941286415,2323.558125796862,6890.62128579928
