driver,coastal,coastal,coastal,lakes,lakes,lakes,streams,streams,streams,ln y,ln y,ln y,D age,D age,D age,N,N,N
j,coastal,lakes,streams,coastal,lakes,streams,coastal,lakes,streams,coastal,lakes,streams,coastal,lakes,streams,coastal,lakes,streams
1990,2965.497166,1421.638781,1977.123596,2178.171505,1909.931717,1977.123596,2178.171505,1421.638781,2616.847548,1713.822107,1099.088098,1516.766063,2042.887482,1360.05985,1886.767508,1791.74411,1180.57117,1663.11176
1991,2804.687446,1421.638781,1977.123596,2178.171505,1925.200648,1977.123596,2178.171505,1421.638781,2669.145429,1720.00401,1102.625182,1520.388314,2043.14109,1360.414291,1887.113708,1812.814642,1193.013479,1678.894911
1992,2852.947741,1421.638781,1977.123596,2178.171505,1951.106711,1977.123596,2178.171505,1421.638781,2698.072801,1722.828036,1103.990279,1520.794391,2043.14109,1360.414291,1887.113708,1832.383254,1204.960179,1694.469871
1993,2893.493996,1421.638781,1977.123596,2178.171505,1924.221944,1977.123596,2178.171505,1421.638781,2699.487731,1722.060945,1103.486867,1519.599644,2043.121825,1360.414291,1887.113708,1847.845852,1214.499492,1706.693858
1994,2862.249952,1421.638781,1977.123596,2178.171505,1906.4911,1977.123596,2178.171505,1421.638781,2712.755357,1786.894805,1144.579557,1574.286555,2044.116634,1361.105599,1887.749208,1862.236572,1223.03336,1717.775776
1995,2776.767031,1421.638781,1977.123596,2178.171505,1906.234782,1977.123596,2178.171505,1421.638781,2708.0519,1808.773595,1158.878127,1592.697595,2044.116634,1361.105599,1887.749208,1878.827951,1233.167201,1731.501637
1996,2785.14777,1421.638781,1977.123596,2178.171505,1876.886467,1977.123596,2178.171505,1421.638781,2694.277201,1822.47817,1168.015555,1604.932587,2043.121825,1360.414291,1887.113708,1894.412067,1242.955262,1745.035656
1997,2749.883607,1421.638781,1977.123596,2178.171505,1818.678973,1977.123596,2178.171505,1421.638781,2665.233734,1844.882993,1182.603614,1625.146142,2044.116634,1361.105599,1887.749208,1909.752123,1252.646142,1758.298778
1998,2687.772351,1421.638781,1977.123596,2178.171505,1778.893612,1977.123596,2178.171505,1421.638781,2636.394615,1876.139083,1204.481285,1656.27704,2044.116634,1361.105599,1887.749208,1925.067396,1261.731758,1770.428101
1999,2651.681783,1421.638781,1977.123596,2178.171505,1764.842409,1977.123596,2178.171505,1421.638781,2579.726061,1882.030275,1209.26941,1665.039693,2044.097369,1361.105599,1887.749208,1940.864598,1271.459663,1782.810561
2000,2586.76164,1421.638781,1977.123596,2178.171505,1769.836828,1977.123596,2178.171505,1421.638781,2507.508195,1907.389105,1227.545121,1693.923792,2044.145894,1361.105599,1887.749208,1951.054172,1277.576759,1790.309961
2001,2527.808548,1421.638781,1977.123596,2178.171505,1765.181096,1977.123596,2178.171505,1421.638781,2421.859387,1932.669531,1244.347002,1717.239184,2044.12851,1361.105599,1887.749208,1961.37687,1283.648069,1797.769809
2002,2468.211974,1421.638781,1977.123596,2178.171505,1739.708712,1977.123596,2178.171505,1421.638781,2389.560055,1934.278214,1246.070259,1721.265713,2044.165159,1361.105599,1887.749208,1972.689714,1290.194448,1805.875713
2003,2334.110574,1421.638781,1977.123596,2178.171505,1713.590152,1977.123596,2178.171505,1421.638781,2361.892827,1925.358663,1240.42674,1711.615065,2044.618728,1361.279358,1888.126435,1983.175482,1296.092371,1812.835005
2004,2341.68332,1421.638781,1977.123596,2178.171505,1715.02222,1977.123596,2178.171505,1421.638781,2321.072516,1958.479229,1262.17079,1741.58788,2044.618728,1361.279358,1888.126435,1996.031004,1303.619642,1821.602468
2005,2335.571374,1421.638781,1977.123596,2178.171505,1648.958186,1977.123596,2178.171505,1421.638781,2313.430909,1992.316118,1284.546105,1772.912265,2047.3842,1362.675197,1890.957616,2012.504849,1313.884578,1835.030541
2006,2405.58517,1421.638781,1977.123596,2178.171505,1627.440978,1977.123596,2178.171505,1421.638781,2298.594234,2040.530626,1316.410732,1816.609719,2048.349048,1362.675197,1891.441531,2028.8662,1324.135226,1848.180601
2007,2310.619831,1421.638781,1977.123596,2178.171505,1549.933271,1977.123596,2178.171505,1421.638781,2264.679256,2096.776294,1353.202744,1868.81701,2050.865972,1364.207895,1892.330716,2042.316116,1332.247462,1858.209346
2008,2411.387413,1421.638781,1977.123596,2178.171505,1529.547297,1977.123596,2178.171505,1421.638781,2252.874089,2045.5732,1320.567133,1824.066146,2052.944298,1365.25132,1893.077794,2056.12556,1340.986164,1868.975747
2009,2395.697286,1421.638781,1977.123596,2178.171505,1476.266492,1977.123596,2178.171505,1421.638781,2262.867821,1993.068505,1288.07126,1780.694463,2052.944298,1365.25132,1893.077794,2071.476261,1351.079491,1882.0669
2010,2208.83825,1421.638781,1977.123596,2178.171505,1441.826398,1977.123596,2178.171505,1421.638781,2229.778096,2036.706443,1319.295966,1827.857707,2052.944298,1365.25132,1893.077794,2081.177524,1357.367661,1890.378204
2011,2194.233609,1421.638781,1977.123596,2178.171505,1452.751255,1977.123596,2178.171505,1421.638781,2224.057461,2004.986875,1298.190645,1796.455968,2056.689952,1368.130324,1900.077025,2091.370784,1364.205802,1900.116928
2012,2140.179222,1421.638781,1977.123596,2178.171505,1506.53434,1977.123596,2178.171505,1421.638781,2184.879719,2003.443118,1298.531371,1798.720269,2075.987348,1378.479434,1914.054178,2099.224229,1369.431343,1906.856301
2013,2159.303272,1421.638781,1977.123596,2178.171505,1495.369898,1977.123596,2178.171505,1421.638781,2144.665685,2021.066588,1312.769915,1820.033331,2084.449509,1379.33661,1917.459196,2113.050902,1378.162259,1918.34199
2014,2158.05308,1421.638781,1977.123596,2178.171505,1473.94998,1977.123596,2178.171505,1421.638781,2098.547721,2043.170646,1329.355752,1846.745675,2090.091242,1382.333051,1922.155585,2124.367296,1385.695052,1928.118714
2015,2208.509927,1421.638781,1977.123596,2178.171505,1477.316425,1977.123596,2178.171505,1421.638781,2081.17776,2099.88347,1369.670611,1905.736172,2107.653648,1391.557468,1936.113572,2137.303169,1394.054049,1939.608077
2016,2186.293606,1421.638781,1977.123596,2178.171505,1462.899249,1977.123596,2178.171505,1421.638781,2045.943386,2126.384212,1387.533725,1931.563394,2119.71316,1397.125914,1942.013079,2151.40964,1403.540764,1952.483617
2017,2245.576746,1421.638781,1977.123596,2178.171505,1429.562139,1977.123596,2178.171505,1421.638781,2019.874618,2157.618512,1407.691633,1957.05818,2164.432564,1414.29935,1969.353585,2163.481777,1411.737241,1963.310521
2018,2178.171505,1421.638781,1977.123596,2178.171505,1421.638781,1977.123596,2178.171505,1421.638781,1977.123596,2178.171505,1421.638781,1977.123596,2178.171505,1421.638781,1977.123596,2178.171505,1421.638781,1977.123596
2019,2144.322464,1421.638781,1977.123596,2178.171505,1424.668589,1977.123596,2178.171505,1421.638781,1952.861842,2198.405229,1435.369275,1996.877317,2195.949295,1430.624866,1986.706815,2192.861233,1431.540322,1990.936672
2020,2347.602347,1421.638781,1977.123596,2178.171505,1432.616402,1977.123596,2178.171505,1421.638781,1930.183891,2226.9086,1454.493107,2024.126651,2217.943044,1442.306132,1999.553821,2207.550961,1441.441862,2004.749748
g (absolute),-617.8948196,0,0,0,-477.3153145,0,0,0,-686.6636574,513.0864931,355.4050093,507.3605881,175.0555613,82.2462822,112.7863136,415.8068519,260.8706925,341.6379883
g (%),-20.83612915,0,0,0,-24.99122405,0,0,0,-26.24010932,29.93814183,32.3363532,33.45015428,8.569026086,6.047254628,5.977753653,23.2068212,22.09698992,20.54209444
g yearly (%),-0.775808839,0,0,0,-0.953970773,0,0,0,-1.009388098,0.876782481,0.938296747,0.966500222,0.274429102,0.195907005,0.19371744,0.698072682,0.667704413,0.624705991
