,CWP,CWP,CWP
,coastal,lakes,streams
1990,1570.037692386254,1219.1476585684577,1699.018004138822
1991,1716.092255520195,1213.2696429449866,1701.911119474249
1992,1968.0826967930914,1181.22332045134,1719.5248863895426
1993,1595.5675087261022,1114.9024482505577,1709.2874022490428
1994,1894.6584383766706,1361.1750109216123,1784.6840755001083
1995,1856.100075169659,1301.7841580665809,1756.6869818070813
1996,1808.1797054293108,1205.6209387837787,1825.0141516073227
1997,1903.09423214955,1409.7089768056442,1875.409055495896
1998,1860.4364229796893,1212.094608974838,1923.8363890030987
1999,1965.882023987556,1249.6549082265558,1849.9202198579721
2000,1796.3977522557693,1232.0206216925797,1753.486766827831
2001,1850.062855144998,1287.0169064518634,1758.942918227409
2002,1887.1318823390477,1552.666214281248,1692.4179967821592
2003,1777.0706499846856,1265.2895106905598,1619.082015349015
2004,2017.3974793648738,1212.6584563291347,1779.3400025039005
2005,1402.370048396293,1200.4403408054122,1707.457772177391
2006,2112.6108856395695,1399.5873904535429,1714.1753938046882
2007,1960.9811778051594,1344.759232439034,1826.5803840175352
2008,2075.5981638983662,1239.7098903612093,1720.1150883562502
2009,1822.4397672280945,1129.0444301295947,1709.2514696801559
2010,1984.101872598618,1104.4276626612552,1808.3994609455017
2011,2081.3447947967793,1209.2484748200668,1794.4083022680768
2012,1136.292656129153,1232.3482131104986,1718.7982895987966
2013,1949.5061700187541,1401.5680165079254,1798.8058771250307
2014,1837.0695258584894,1405.9055716305602,1755.3390801301337
2015,1870.081030327017,1296.195799465539,1831.262309790679
2016,2330.1756902335205,1364.861597311062,1874.3612940375099
2017,1490.2368484518402,1437.4267112220527,1927.8867150683304
2018,1860.8248137402854,1474.1565477975785,1922.0411904289226
2019,2497.8756308574193,1484.562367419778,1837.2045807110783
2020,2684.660823223033,1299.1158979509823,1820.2113217352178
