j,t,v,Q,ln y,D age,ln PSL,ln PAL,SL,D lakes,N
coastal,1989,1,0.802157966,,,,,,,
coastal,1989,2,2.2,,,,,,,
coastal,1989,6,1.600095627,,,,,,,
coastal,1989,16,0.87990349,,,,,,,
coastal,1989,17,1.636423267,,,,,,,
coastal,1989,18,1.33688332,,,,,,,
coastal,1989,24,0.671192985,,,,,,,
coastal,1989,25,0.408044498,,,,,,,
coastal,1989,28,0.796441715,,,,,,,
coastal,1989,29,0.766794427,,,,,,,
coastal,1989,34,1.182429724,,,,,,,
coastal,1989,35,0.634378088,,,,,,,
coastal,1989,36,1.620635879,,,,,,,
coastal,1989,37,1.378333546,,,,,,,
coastal,1989,38,1.290317204,,,,,,,
coastal,1989,44,0.649745749,,,,,,,
coastal,1989,45,0.91977475,,,,,,,
coastal,1989,46,1.307197135,,,,,,,
coastal,1989,47,1.730371261,,,,,,,
coastal,1989,48,2.193859999,,,,,,,
coastal,1989,49,0.952743443,,,,,,,
coastal,1989,56,0.737962876,,,,,,,
coastal,1989,57,0.737962876,,,,,,,
coastal,1989,59,0.280874942,,,,,,,
coastal,1989,62,0.751631376,,,,,,,
coastal,1989,68,1.92541634,,,,,,,
coastal,1989,72,1.460177516,,,,,,,
coastal,1989,74,1.540640974,,,,,,,
coastal,1989,80,0.886450034,,,,,,,
coastal,1989,82,0.720493337,,,,,,,
coastal,1989,83,0.955684752,,,,,,,
coastal,1989,84,1.099320411,,,,,,,
coastal,1989,85,1.58188179,,,,,,,
coastal,1989,86,0.8,,,,,,,
coastal,1989,87,0.911633193,,,,,,,
coastal,1989,89,0.833304115,,,,,,,
coastal,1989,90,0.8,,,,,,,
coastal,1989,92,1,,,,,,,
coastal,1989,93,1.8,,,,,,,
coastal,1989,95,0.771414264,,,,,,,
coastal,1989,96,0.91977475,,,,,,,
coastal,1989,101,0,,,,,,,
coastal,1989,102,0.040851351,,,,,,,
coastal,1989,103,0,,,,,,,
coastal,1989,104,0.93011009,,,,,,,
coastal,1989,105,0.6,,,,,,,
coastal,1989,106,0.435129506,,,,,,,
coastal,1989,107,2.034983951,,,,,,,
coastal,1989,108,0.598598289,,,,,,,
coastal,1989,109,1.620748482,,,,,,,
coastal,1989,110,0.298764917,,,,,,,
coastal,1989,111,1.259341875,,,,,,,
coastal,1989,113,0.195004038,,,,,,,
coastal,1989,114,0.468737003,,,,,,,
coastal,1989,119,1.755253786,,,,,,,
coastal,1989,120,1.829754049,,,,,,,
coastal,1989,121,2.196275065,,,,,,,
coastal,1989,122,0.8,,,,,,,
coastal,1989,123,0.2,,,,,,,
coastal,1989,124,0.2,,,,,,,
coastal,1989,125,0.178985379,,,,,,,
coastal,1989,127,0.993596231,,,,,,,
coastal,1989,128,0.8,,,,,,,
coastal,1989,129,0,,,,,,,
coastal,1989,130,0,,,,,,,
coastal,1989,131,0,,,,,,,
coastal,1989,132,0,,,,,,,
coastal,1989,133,1.825317118,,,,,,,
coastal,1989,136,0.813687522,,,,,,,
coastal,1989,137,2.896727742,,,,,,,
coastal,1989,138,0.922087709,,,,,,,
coastal,1989,139,1.26761004,,,,,,,
coastal,1989,140,0.856558197,,,,,,,
coastal,1989,141,1.390369491,,,,,,,
coastal,1989,142,1.330482938,,,,,,,
coastal,1989,144,0.99752003,,,,,,,
coastal,1989,145,0.744434233,,,,,,,
coastal,1989,146,0.68163765,,,,,,,
coastal,1989,147,0.8,,,,,,,
coastal,1989,154,1.26761004,,,,,,,
coastal,1989,157,0,,,,,,,
coastal,1989,158,0,,,,,,,
coastal,1989,159,-0.017171351,,,,,,,
coastal,1989,160,0.880440801,,,,,,,
coastal,1989,165,0.465929949,,,,,,,
coastal,1989,200,1.063272429,,,,,,,
coastal,1989,201,1,,,,,,,
coastal,1989,204,0.963345614,,,,,,,
coastal,1989,206,1.872493893,,,,,,,
coastal,1989,207,1.901771767,,,,,,,
coastal,1989,208,0.97579715,,,,,,,
coastal,1989,209,0.542447053,,,,,,,
coastal,1989,212,0.491228786,,,,,,,
coastal,1989,214,1,,,,,,,
coastal,1989,216,0,,,,,,,
coastal,1989,217,0.6,,,,,,,
coastal,1989,219,0.2,,,,,,,
coastal,1989,221,2.648543087,,,,,,,
coastal,1989,222,1.61151584,,,,,,,
coastal,1989,224,-0.03755804,,,,,,,
coastal,1989,225,0.970889067,,,,,,,
coastal,1989,231,0,,,,,,,
coastal,1989,232,0.4,,,,,,,
coastal,1989,233,0.6,,,,,,,
coastal,1989,234,0.6,,,,,,,
coastal,1989,235,1,,,,,,,
coastal,1989,236,0.4,,,,,,,
coastal,1989,238,0.305821404,,,,,,,
coastal,1990,1,1.131062206,1.783127865,0,-1.95106928,-0.902698353,0.090462352,0,72729
coastal,1990,2,2.2,1.668850613,0,-1.642422047,-0.51585487,0.080575038,0,37934
coastal,1990,6,1.637019676,1.491374479,0,-1.263656132,-2.288347366,0.163445463,0,550496
coastal,1990,16,0.736427144,1.531366461,0,-0.311071702,-0.393865743,0.013703742,0,2701
coastal,1990,17,1.992992699,1.567856859,0,-0.44833738,-0.172109227,0.026360111,0,450
coastal,1990,18,1.777842389,1.521315419,0,0,-0.463412949,0.017789887,0,269
coastal,1990,24,0.865008908,1.543895787,0,-0.337715936,-0.768776555,0.078780989,0,7384
coastal,1990,25,0.68009311,1.49121388,0,-0.561677636,-0.549828639,0.012159344,0,2340
coastal,1990,28,0.905259386,1.510701334,0,-0.669753971,-0.699340322,0.167124407,0,5802
coastal,1990,29,0.939691017,1.471737428,0,-0.359145936,-0.657941945,0.038907308,0,7888
coastal,1990,34,1.317174223,1.371318617,0,-1.066646487,-0.331626305,0.12222269,0,10264
coastal,1990,35,0.886427207,1.512546298,0,-3.269794882,-0.432060552,0.046486431,0,51925
coastal,1990,36,1.90785707,1.581261294,0,-0.34622432,-0.278704966,0.024726356,0,758
coastal,1990,37,1.667001814,1.524557438,0,-1.20520234,-0.217536195,0.034763056,0,3384
coastal,1990,38,1.448281122,1.393467957,0,-1.008174807,-0.347557343,0.068121081,0,14088
coastal,1990,44,0.675804448,1.402108079,0,-0.638085635,-0.355337176,0.066647717,0,1080
coastal,1990,45,0.934578443,1.396894371,0,-0.98239491,-0.326516773,0.08432846,0,9398
coastal,1990,46,0.967969492,1.510165299,0,-1.186578236,-0.333363079,0.066786127,0,5458
coastal,1990,47,1.745625333,1.472954966,0,-1.593777281,-0.407211695,0.034830251,0,3852
coastal,1990,48,2.640701067,1.416426483,0,-0.814931561,-0.369637668,0.121206702,0,5204
coastal,1990,49,0.922998377,1.366906786,0,-0.241404555,-0.159897686,0.01609247,0,776
coastal,1990,56,0.628890288,1.376721899,0,-1.936805357,-0.52615807,0.128899173,0,19291
coastal,1990,57,0.628890288,1.27158378,1,0,0,0.005736215,0,43
coastal,1990,59,0.480874942,1.465831504,0,-1.198313531,-0.142243089,0.017588149,0,1261
coastal,1990,62,0.884031476,1.373016101,0,0,-0.221582729,0.017518985,0,122
coastal,1990,68,2.52541634,1.263847331,0,-0.124328976,-0.271185732,0.017814597,0,508
coastal,1990,72,1.441796767,1.229177171,0,-0.434752639,-0.373801004,0.023617188,0,1175
coastal,1990,74,1.185996502,1.502775873,0,-3.845851822,-0.577611017,0.004170969,0,4487
coastal,1990,80,1.002586,1.47862993,0,-1.017984739,-0.185438102,0.021582552,0,2012
coastal,1990,82,0.844429351,1.397310437,0,-5.127859541,-0.167974617,0.000736791,0,1069
coastal,1990,83,0.8,1.544946812,0,-6.704863861,-0.383142498,0.000393109,0,7124
coastal,1990,84,0.899320411,1.526862283,0,0,-0.212600687,0.016399972,0,1591
coastal,1990,85,1.18188179,1.525246467,0,-0.657495427,-0.194191913,0.01192259,0,1538
coastal,1990,86,0.8,1.451026426,0,-0.922128226,-1.370407444,0.016700908,0,4650
coastal,1990,87,0.711633193,1.449751267,0,-1.482788864,-0.345947182,0.061150938,0,5275
coastal,1990,89,0.850714968,1.494380909,0,-0.916784435,-0.661322908,0.012209339,0,428
coastal,1990,90,0.8,1.446367886,0,-1.869719382,-0.386787353,0.061852367,0,5360
coastal,1990,92,1,1.512110802,0,-0.736169085,-0.213818244,0.04800389,0,1983
coastal,1990,93,2.123383557,1.443610043,0,-3.691860973,-0.457817536,0.030729033,0,100217
coastal,1990,95,0.740134785,1.299778869,0,-0.286774353,-0.46970618,0.066768821,0,2039
coastal,1990,96,0.934578443,1.492897291,0,-0.680121454,-0.289360315,0.057991899,0,4382
coastal,1990,101,-0.087089324,1.568789813,0,-1.353231628,-0.579115236,0.013572537,0,1182
coastal,1990,102,0,1.416549852,0,-1.509556805,-0.785021934,0.028918687,0,8246
coastal,1990,103,0,1.491917629,0,-0.955437412,-0.189930697,0.056666394,0,2531
coastal,1990,104,1.030678116,1.56621877,0,-0.63037941,-0.329800208,0.021883636,0,2755
coastal,1990,105,0.8,1.463655676,0,-1.184810139,-0.355023474,0.033148226,0,8023
coastal,1990,106,0.403200299,1.415669385,0,-1.891197189,-0.424676608,0.034069154,0,13017
coastal,1990,107,2.025986233,1.426630624,0,-1.636201044,-0.391314806,0.057196581,0,3010
coastal,1990,108,0.622937223,1.493354998,0,-2.764143758,-0.231472807,0.003046685,0,561
coastal,1990,109,1.498432258,1.46072943,0,-3.038660052,-0.203807732,0.006364099,0,2462
coastal,1990,110,0.40872938,1.551849006,0,-1.645131922,-0.453145595,0.01823369,0,3343
coastal,1990,111,1.55574333,1.44501055,0,-3.214802669,-0.308861431,0.064074683,0,24840
coastal,1990,113,0.058616531,1.567015894,0,-1.124537076,-0.697009484,0.015373252,0,2341
coastal,1990,114,0.537750034,1.419464947,0,-0.347368006,-0.340761064,0.085657971,0,9056
coastal,1990,119,1.906104383,1.439500296,0,-1.693275168,-1.218423653,0.062912132,0,1471
coastal,1990,120,1.874245358,1.487910666,0,-3.842641011,-0.231623791,0.033702369,0,29078
coastal,1990,121,2.320275175,1.493962616,0,-3.024659598,-0.44164026,0.094129157,0,68596
coastal,1990,122,0.6,1.617164572,0,-2.510054514,-0.416428162,0.041849157,0,10126
coastal,1990,123,0,1.497826385,0,-3.286418668,-0.70938742,0.023796508,0,27092
coastal,1990,124,0.2,1.490668128,0,-3.207486699,-0.493924687,0.01829132,0,26074
coastal,1990,125,0.07114889,1.767268972,0,-1.392698297,-0.479722533,0.017254381,0,1962
coastal,1990,127,1.059393805,1.505536683,0,-0.140280353,-0.371291291,0.037820537,0,619
coastal,1990,128,0.6,1.472200475,0,-2.407713939,-0.398836805,0.060823689,0,32419
coastal,1990,129,0,1.401851385,0,-2.073522297,-0.477264093,0.041343193,0,2740
coastal,1990,130,0,1.500010737,0,-2.023746207,-0.361939193,0.014992081,0,909
coastal,1990,131,0,1.513274715,0,-4.399762983,-0.470572407,0.014568367,0,43182
coastal,1990,132,0,1.502367675,0,-3.14508389,-0.499965093,0.147143153,0,49600
coastal,1990,133,2.102788763,1.652407874,0,-0.102054655,-0.8192172,0.113507641,0,1149
coastal,1990,136,0.758048966,1.49053674,0,-5.895507766,-0.578680588,0.011317369,0,123085
coastal,1990,137,3,1.440827845,0,0,-0.24953663,0,0,2479
coastal,1990,138,1.275475648,1.403452553,0,-1.649338102,-0.739976961,0.039540435,0,2271
coastal,1990,139,1.459387856,1.290037446,0,0,0,0.025002188,0,74
coastal,1990,140,0.84815919,1.505726799,0,-2.586857231,-0.600661552,0.056117064,0,15308
