,streams
1989,84.1465747890945
1990,80.92172964059003
1991,80.02627263496655
1992,81.97291833939676
1993,80.74319981413727
1994,79.54795219453533
1995,76.8816788490128
1996,74.4425224177177
1997,76.83990645717972
1998,78.68606138882848
1999,73.22534199495435
2000,64.86778211645057
2001,60.469272334166504
2002,54.95787179684875
2003,53.255655170893746
2004,60.210452857935216
2005,46.60310003677995
2006,45.97631207332381
2007,49.76015129986715
2008,40.96367377628478
2009,44.15213291896358
2010,44.7037488209755
2011,45.68292892976547
2012,35.684474579738676
2013,38.11219720219933
2014,25.075822745045176
2015,25.56399311181739
2016,30.094678859540405
2017,32.93351608898849
2018,28.83062769991954
2019,27.163686590930062
2020,20.813792008785118
