,IV,IV,IV
,coastal,lakes,streams
1990,8855.990821861003,-10537.728996093878,29180.848346522856
1991,-10466.14397994518,6338.3307672389665,9807.782447260432
1992,-34158.42135235391,8207.856252412714,-2912.8617654697837
1993,56900.73266757418,19413.09372823576,8507.154482156435
1994,-31307.808781165648,-41538.24749719222,-63.47905478707693
1995,17044.03612691446,26566.40608751882,25013.727156857105
1996,11306.473072294057,29243.386035437918,-18264.27068728531
1997,-9737.637763125309,-40168.0947684406,-912.9570186372196
1998,14469.56921860573,47491.38606220256,-1653.3075943651909
1999,-5802.819108138183,-2532.8223286483417,9827.572725748247
2000,12163.17055469352,4529.156768631043,11600.087437448217
2001,-1093.3616287169814,-1677.8938912921014,1226.4109117954715
2002,752.0908923455975,-16964.371266481437,7601.598365514817
2003,5036.539063119882,17291.250630550123,5788.595898771761
2004,-7254.668203998441,6924.588822670098,-10018.92959998101
2005,21822.987205768677,2122.6365509612046,9552.93779799206
2006,-17548.05984948518,-11210.042448334307,5674.914772136406
2007,8770.970437117927,7773.003153589311,-4875.706789055625
2008,-2528.2618141979115,6714.381376580808,4450.561184990828
2009,15050.894982589054,6478.891899395801,-4654.77699303485
2010,-5610.5249273976715,3199.021756223071,-2706.4508739810394
2011,-1213.9039740757148,-9220.439096057768,-668.9557152005207
2012,40567.795305338004,-1891.8444066006937,10395.181542050392
2013,-23505.33361567708,-10105.559377514555,-8107.316272938782
2014,54389.67519316223,-4808.3808950455805,79742.46642821505
2015,16993.145881785284,138290.51213905864,30680.903552343083
2016,-117130.06422194002,-39569.369656498464,7439.527395210289
2017,311807.6057158491,-28131.006983940566,17498.593047018032
2018,-109558.55600883307,-5821.539968259804,52601.26855099427
2019,-136736.56547278687,31533.182528520803,31557.962421591976
2020,-46491.88160260959,135869.66728157847,71744.2304291382
