wb,ov_typ,distr_id,length,Basis
1,FjLSa-T17,DK2,90.46235226806891,1
2,FjFSe1-T27,DK2,80.57503766313499,3
6,BVuDLSe-T20,DK2,163.44546256116,3
16,Fj3-T18,DK2,13.703742301782201,3
17,Fj2-T16,DK2,26.3601113311088,4
18,Fj2-T16,DK2,17.7898872946842,4
24,FjLSa-T17,DK2,78.78098888436921,2
25,Fj3-T18,DK2,12.1593442820985,2
28,BDLSeSa-T22,DK2,167.124406938339,3
29,BVuDLSe-T20,DK2,38.907308074859,2
34,B1-T9,DK2,122.222690456568,3
35,FjF1-T29,DK2,46.4864307541714,3
36,Fj3-T18,DK2,24.7263562706104,2
37,B1-T9,DK2,34.7630562886204,4
38,B1-T9,DK2,68.121080671328,4
44,ØD2-T12,DK2,66.6477173471988,2
45,BVuDLSe-T20,DK2,84.3284599689709,2
46,ØD2-T12,DK2,66.786127218972,2
47,FjLSa-T17,DK2,34.8302507704589,1
48,B2-T14,DK2,121.206702225151,4
49,FjSe-T24,DK2,16.0924696845394,1
56,ØD1-T5,DK3,128.89917274900301,1
57,ØD1-T5,DK3,5.73621505563471,1
59,Fj4-T25,DK1,17.5881486032326,1
62,FjVu4-T11,DK1,17.5189851354878,1
68,Fj2-T16,DK1,17.814597455059697,4
72,Fj2-T16,DK1,23.617188354992997,2
74,FjVuF-T38,DK1,4.17096861898617,1
80,BD-T13,DK1,21.5825524591898,2
82,FjVuF-T38,DK1,0.7367909266574689,1
83,FjVu3-T33,DK1,0.393108732750372,1
84,Fj3-T18,DK1,16.3999722231927,1
85,Fj3-T18,DK1,11.922590329405601,2
86,BVu-T6,DK1,16.700908318916802,1
87,BD-T13,DK1,61.1509381482666,1
89,FjVu1-T7,DK1,12.209338796248,1
90,BDLSeSa-T22,DK1,61.8523672448974,2
92,FjSa-T31,DK1,48.003890361753506,2
93,FjF2-T35,DK1,30.729033085067503,3
95,BVuDLSe-T20,DK1,66.7688209400955,1
96,BVuDLSe-T20,DK1,57.991899241941,2
101,BVuDLSe-T20,DK1,13.5725371775284,1
102,BVuDL-T23,DK1,28.918686758553797,1
103,BVuDL-T23,DK1,56.6663940457521,1
104,FjLSa-T17,DK1,21.8836360107595,2
105,FjLSa-T17,DK1,33.1482262388657,2
106,FjFLSe2-T36,DK1,34.06915430054401,0
107,NoSaT-T1,DK1,57.1965810749456,1
108,FjVu2-T8,DK1,3.0466849633245703,1
109,FjF2-T35,DK1,6.36409857793125,2
110,FjLSa-T17,DK1,18.2336901615225,1
111,NoSaT-T1,DK4,64.0746826157105,1
113,BVuDL-T23,DK1,15.3732518472636,0
114,BVuDL-T23,DK1,85.6579712714059,1
119,NoSaT-T1,DK1,62.9121315076011,1
120,NoSaT-T1,DK1,33.7023687794544,1
121,NoSaT-T1,DK1,94.1291566739431,1
122,BDLSeSa-T22,DK1,41.8491570059302,1
123,FjFSe2-T28,DK1,23.7965076227016,2
124,FjFSe2-T28,DK1,18.291319812558598,1
125,FjLSa-T17,DK1,17.2543812389608,0
127,B1-T9,DK1,37.820536688400495,2
128,Fj1-T10,DK1,60.8236887123076,1
129,Vf1-T15,DK1,41.3431926964461,0
130,Vf1-T15,DK1,14.9920813548565,0
131,Vf2-T26,DK1,14.568366769162399,0
132,VfF-T37,DK1,147.14315261005598,1
133,NoDSaT-T2,DK1,113.507640576218,2
136,FjFLSe1-T4,DK1,11.3173685646903,3
137,FjVuFLSe-T3,DK1,47.5056180026887,3
138,BDLSeSa-T22,DK1,39.540434614628,2
139,KVuDLSa-T21,DK1,25.0021884820497,4
140,BVuDLSe-T20,DK1,56.1170643782177,2
141,BDLSeSa-T22,DK1,41.498931655941696,3
142,BDLSeSa-T22,DK1,22.559917431177897,3
144,BDLSeSa-T22,DK1,12.916723775594601,2
145,BDLSeSa-T22,DK1,49.327177826538204,2
146,FjVu3-T33,DK1,10.8868871772805,2
147,BDLSeSa-T22,DK1,67.493124607455,2
154,KVuDLSa-T21,DK1,129.01766027308798,4
157,FjSeSa-T32,DK1,139.815506289032,0
158,FjFLSe2-T36,DK1,36.1891320319324,0
159,FjDSe-T30,DK1,40.722940331555506,0
160,Fj4-T25,DK1,56.2546804337083,2
165,FjLSa-T17,DK2,105.309328066353,2
200,KVuDLSa-T21,DK2,97.29483453116501,3
201,ØD2-T12,DK2,101.744076937756,2
204,BVuDLSe-T20,DK2,75.01654172887591,2
206,BDLSeSa-T22,DK2,155.271628419449,2
207,B2-T14,DK2,66.545367680082,4
208,BVu-T6,DK2,60.1068359462281,2
209,B2-T14,DK2,116.00900398214901,1
212,FjVu1-T7,DK1,15.7594073774294,1
214,BD-T13,DK1,241.72726207686,1
216,BVuDL-T23,DK1,185.298232444874,1
217,BD-T13,DK1,139.507951083125,1
219,BDLSeSa-T22,DK1,219.353552794644,1
221,NoDSaT-T2,DK1,228.051877021063,3
222,KVuDLSa-T21,DK1,88.0209661493178,4
224,BDLSeSa-T22,DK1,40.5683672891789,1
225,KVuDLSa-T21,DK1,91.94043019314469,2
231,BVuL-T39,DK1,64.5365701890683,1
232,FjSa1-T19,DK1,106.06167313702501,1
233,FjSa1-T19,DK1,288.35059161265997,2
234,FjLSa-T17,DK1,127.807022380007,0
235,FjSa-T31,DK1,194.508009381964,1
236,FjSa2-T34,DK1,144.077202742564,0
238,FjFLSe2-T36,DK1,21.0108877819789,0
