,Observed subset,All in basis analysis
North Sea,1.4285714285714286,1.4285714285714286
Kattegat,3.5,3.4
Belt Sea,1.8484848484848484,1.8974358974358974
Baltic Sea,2.0,1.6
Fjord,1.553191489361702,1.5625
North Sea fjord,0.25,0.25
Water exchange,1.5217391304347827,1.7333333333333334
Freshwater inflow,1.6428571428571428,1.6428571428571428
Deep,1.7941176470588236,1.8571428571428572
Stratified,1.605263157894737,1.7333333333333334
Sediment,1.6785714285714286,1.6774193548387097
Saline,1.6,1.7435897435897436
Tide,1.4285714285714286,1.4285714285714286
All,96.0,108.0
