,Observed subset,All in VP3
Baltic Sea,0.03125,0.046296296296296294
Belt Sea,0.34375,0.3611111111111111
Kattegat,0.020833333333333332,0.046296296296296294
Fjord,0.4895833333333333,0.4444444444444444
North Sea,0.07291666666666667,0.06481481481481481
North Sea fjord,0.041666666666666664,0.037037037037037035
Deep,0.3541666666666667,0.3888888888888889
Freshwater inflow,0.14583333333333334,0.12962962962962962
Saline,0.3645833333333333,0.3611111111111111
Sediment,0.2916666666666667,0.28703703703703703
Stratified,0.3958333333333333,0.4166666666666667
Tide,0.07291666666666667,0.06481481481481481
Water exchange,0.23958333333333334,0.2777777777777778
n,96.0,108.0
