,coastal,income,age,households,total
1990,2059.476722824388,2059.476722824388,2059.476722824388,2059.476722824388,2059.476722824388
1991,1946.5418623764776,2066.801985538172,2059.975000877946,2081.741911609023,1975.160421417474
1992,1980.088685831226,2069.556207713021,2059.975000877946,2102.6522631126727,2032.895187607995
1993,2008.0525218250764,2068.600848930806,2059.9491543891095,2119.5009724477186,2077.950643394333
1994,1986.813099964575,2146.6562059497837,2061.157828470144,2134.563892349136,2150.493474352968
1995,1925.993593994473,2174.4930179155394,2061.157828470144,2152.5586591920483,2131.7411738506075
1996,1932.0814026007408,2191.950081476982,2059.9491543891095,2169.5124261273645,2170.2855446875005
1997,1905.3351120288937,2219.069037262531,2061.157828470144,2186.432557654547,2184.387949062677
1998,1863.3454278318352,2261.185995384784,2061.157828470144,2202.7598318748883,2191.0294135625845
1999,1833.7682701108297,2270.623702380442,2061.1319819813075,2219.8438401398225,2181.8593359463202
2000,1786.4652512998546,2306.0741111888683,2061.1897142385624,2231.098345796693,2169.433248765858
2001,1742.5778428840185,2337.8390059884855,2061.1805325380456,2242.422624690635,2156.655400199135
2002,1701.219683646206,2340.7806808056944,2061.215560727399,2254.7871326868344,2117.4378834215518
2003,1605.6791535152759,2328.8180885393726,2061.758452091794,2265.948515682815,2004.30367562365
2004,1611.9242518141532,2370.7869643668337,2061.758452091794,2279.3077699962414,2060.933840759135
2005,1607.4117346995815,2412.6821233345813,2065.400676199705,2297.744547260403,2110.5632341866285
2006,1658.4526834292296,2473.780269529936,2066.1911802050126,2315.9831718906407,2251.0365198987124
2007,1592.4457708429352,2543.882802060859,2068.7466420562214,2330.9031708607977,2238.4742975360546
2008,1663.2309143434213,2483.6306582930756,2070.7400333869405,2346.704709001889,2292.8380153086714
2009,1654.0893160909916,2420.6145332180113,2070.7400333869405,2364.4649995638392,2237.641400319233
2010,1529.4370404968017,2482.6821526926283,2070.7400333869405,2375.5680879802267,2132.3269008313086
2011,1519.0733088382087,2442.536795745451,2078.6952048702183,2387.775063489544,2101.815652404689
2012,1479.4680977925702,2443.852848406618,2100.217260238822,2397.084252879564,2072.276971846628
2013,1490.8971793947564,2469.9996627889122,2107.1906602452814,2412.4093056084184,2135.892008469258
2014,1487.6038981602976,2502.5899145540634,2112.6055510682277,2425.696364127422,2177.453677898007
2015,1518.859686423531,2579.9884460989947,2127.0579804026975,2440.4479055654147,2322.879777664093
2016,1501.0481839477175,2615.0234391149056,2139.996978417476,2457.0679006170203,2356.4142599301
2017,1547.0110771108561,2652.2159692113164,2173.061136474068,2471.536702049813,2516.601584500157
2018,1503.2639131283981,2678.404454359625,2184.9111801966415,2488.997764184085,2497.8639966985706
2019,1481.5021514352402,2704.186128381486,2201.2186611801794,2506.458826318357,2518.9303914533198
2020,1622.9065942818538,2740.129663589326,2223.1965150690817,2523.9198884526286,2839.4294658737767
"g (million DKK, 2023 prices)",-436.57012854253435,680.6529407649377,163.7197922446935,464.4431656282404,779.9527430493886
g (%),-21.198109388865415,33.049800137167026,7.949582067631551,22.55151323056947,37.87140366314765
g yearly (%),-0.7909659273261269,0.9563888099450253,0.2553056827445914,0.6801736510060152,1.0762544194357275
