wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,0.35547880140862104,0.6553110303089135,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1865739269701172,1.4913340572118732,0.4971087966151459,0.7112773119123992,1.9927756262922334,0.5416391709152448,1.343297309396538,2.0,1.0,1.0,2.0,1.6272543958640642,1.0,1.1507566070162156
2,2.0,1.0,1.0,4.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
6,0.8153797590067271,1.1850983780901458,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0471545440303185,4.0,2.0,2.0,2.0,2.0,2.31092757058872,2.0885056613960256,3.0439749972694785,1.9036977108215993,2.2160142003492886,1.3958801148774618,1.759734682437347,2.788004857596299,3.0645584343808827,2.7001925993642235,2.8709019535639477,2.0765517791772883,1.4684703507869907,2.428124256062482
16,0.9475377976188899,0.36897118343121554,1.014145126896648,1.2793718953458526,0.7894914462423592,0.2301560678141662,1.07247751173582,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.9770583787896208,1.7486167778550932,1.4114846409024318,2.1947023950266358,1.087003370928196,1.7115134468361373,2.065847888111402,0.8611693728849286,2.304274585310487,1.7450847930313593,2.7130596929368043,3.1211853874868205,2.0,3.0,1.0,3.224595976556188,2.0,2.0,2.4453009501241842,1.2404576781606642
17,0.589126646267899,0.6900407904135929,2.7768525066691003,2.240350977405753,1.8857454136202498,2.371973808307231,2.3638402194904313,0.7955364072423118,2.4929297548564984,2.6979107504689823,1.9579313972784433,2.4607918442635457,2.621057103491291,2.2140090775305064,2.256133397160019,2.379354503410096,2.807161267986422,3.0609151543864606,3.0163253180426812,2.762482691549582,2.267643942485901,2.6100676478886715,3.21001653767201,3.2579115630211444,2.5778630778266574,4.0,3.719351386560434,2.9253858001902486,3.5535337665331954,4.0,4.0,4.0,3.274944459069099,4.0,2.0,2.0686968965847647,2.6913417179288572
18,0.7952046526959495,0.8892119455280015,3.0,1.0,1.0,3.0,3.0,1.0,4.0,3.0,3.0,2.0808376246545626,2.8378890343062886,2.469754304470934,1.3901317683951664,2.004125962638062,3.5187302137416827,3.223932334932095,2.726488322163177,2.3196065251838944,1.7626045745650463,2.2786679005753676,3.1602293748357493,3.7350578065486504,4.0,4.0,4.0,4.0,4.0,4.0,4.475795724876615,4.0,4.0,3.0,2.951518652051349,3.0642098704338663,3.0
24,0.030920386764434815,0.3250445380721873,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.48336676147855717,1.0,2.0383375248072126,1.0,0.8009289376480422,0.0
25,-0.3602430593924328,0.4004655478428177,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.3080198679593564,0.9834485828431037,1.1880797942973003,0.7544239557884802,1.6266847892897676,1.7244703034421807,1.4134094873337495,1.499596218225857,1.2475096770515475,0.7577679299881465,1.0760996424588538,1.3378810414110553,1.490870739196305,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.7303368643284811,2.0,1.1097563314800447,2.0,1.3682393000327209,1.0
28,0.4559116447647881,0.5262969323386397,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0772174830537737,1.0,1.0,1.0184901073451393,2.246712840308005,1.3766779505323599,1.751924791022959,2.37635029934108,0.6505785620481102,0.9485290987207237,0.565868549687027,2.287086334505915,1.2884111528694822,1.459238317204041,1.300863827260331,1.0
29,0.13551704864430825,0.6984550856114226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9698500749544127,1.0,1.0,0.9792714185752982,2.3487983093600917,1.4098828136601256,1.0656549141856166,1.5150605601106246,0.3981622821277533,1.0,1.0,1.0,1.0,1.245258298557464,0.241892769442758,1.0
