,n,Obs,No dummies,Vu,"Vu, B","Vu, B, K","Vu, B, K, No","Vu, B, K, No, Se","Vu, B, K, No, Se, Vf","Vu, B, K, No, Se, Vf, Ø","Vu, B, K, No, Se, Vf, Ø, Fj"
1989,59.0,0.9152542372881356,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9074074074074074,0.9074074074074074,0.9166666666666666,0.9166666666666666,0.9074074074074074
1990,58.0,0.8793103448275862,0.8981481481481481,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074
1991,61.0,0.9508196721311475,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037
1992,63.0,0.9206349206349206,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9444444444444444,0.9444444444444444
1993,61.0,0.8688524590163934,0.9166666666666666,0.9166666666666666,0.9259259259259259,0.9259259259259259,0.9166666666666666,0.9074074074074074,0.9166666666666666,0.9166666666666666,0.9166666666666666
1994,63.0,0.9365079365079365,0.9537037037037037,0.9629629629629629,0.9537037037037037,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9537037037037037,0.9537037037037037,0.9629629629629629
1995,60.0,0.9,0.9351851851851852,0.9259259259259259,0.9351851851851852,0.9259259259259259,0.9351851851851852,0.9351851851851852,0.9259259259259259,0.9259259259259259,0.9351851851851852
1996,61.0,0.8360655737704918,0.8796296296296297,0.8888888888888888,0.8796296296296297,0.8981481481481481,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
1997,60.0,0.8833333333333333,0.9259259259259259,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
1998,53.0,0.9056603773584906,0.9074074074074074,0.9259259259259259,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9166666666666666,0.9166666666666666,0.9259259259259259,0.9259259259259259
1999,56.0,0.8928571428571429,0.9351851851851852,0.9259259259259259,0.9166666666666666,0.9166666666666666,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.9074074074074074,0.9074074074074074
2000,55.0,0.8727272727272727,0.9074074074074074,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.9074074074074074,0.8981481481481481
