,n,Obs,No dummies,No,K,B,Ø,Fj,Vf,Vu,F,D,L,Se,Sa,T,"Vu, No","Vu, K","Vu, B","Vu, Ø","Vu, Fj","Vu, Vf","Vu, F","Vu, D","Vu, L","Vu, Se","Vu, Sa","Vu, T","Vu, B, No","Vu, B, K","Vu, B, Ø","Vu, B, Fj","Vu, B, Vf","Vu, B, F","Vu, B, D","Vu, B, L","Vu, B, Se","Vu, B, Sa","Vu, B, T","Vu, B, K, No","Vu, B, K, Ø","Vu, B, K, Fj","Vu, B, K, Vf","Vu, B, K, F","Vu, B, K, D","Vu, B, K, L","Vu, B, K, Se","Vu, B, K, Sa","Vu, B, K, T","Vu, B, K, No, Ø","Vu, B, K, No, Fj","Vu, B, K, No, Vf","Vu, B, K, No, F","Vu, B, K, No, D","Vu, B, K, No, L","Vu, B, K, No, Se","Vu, B, K, No, Sa","Vu, B, K, No, T","Vu, B, K, No, Se, Ø","Vu, B, K, No, Se, Fj","Vu, B, K, No, Se, Vf","Vu, B, K, No, Se, F","Vu, B, K, No, Se, D","Vu, B, K, No, Se, L","Vu, B, K, No, Se, Sa","Vu, B, K, No, Se, T","Vu, B, K, No, Se, Vf, Ø","Vu, B, K, No, Se, Vf, Fj","Vu, B, K, No, Se, Vf, F","Vu, B, K, No, Se, Vf, D","Vu, B, K, No, Se, Vf, L","Vu, B, K, No, Se, Vf, Sa","Vu, B, K, No, Se, Vf, T","Vu, B, K, No, Se, Vf, Ø, Fj","Vu, B, K, No, Se, Vf, Ø, F","Vu, B, K, No, Se, Vf, Ø, D","Vu, B, K, No, Se, Vf, Ø, L","Vu, B, K, No, Se, Vf, Ø, Sa","Vu, B, K, No, Se, Vf, Ø, T","Vu, B, K, No, Se, Vf, Ø, Fj, F","Vu, B, K, No, Se, Vf, Ø, Fj, D","Vu, B, K, No, Se, Vf, Ø, Fj, L","Vu, B, K, No, Se, Vf, Ø, Fj, Sa","Vu, B, K, No, Se, Vf, Ø, Fj, T"
1989,59.0,0.9152542372881356,0.9351851851851852,0.8888888888888888,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9259259259259259,0.9351851851851852,0.9351851851851852,0.9259259259259259,0.9259259259259259,0.9351851851851852,0.9351851851851852,0.9259259259259259,0.8888888888888888,0.9166666666666666,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9166666666666666,0.9074074074074074,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9259259259259259,0.9074074074074074,0.9074074074074074,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9259259259259259,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9166666666666666,0.9074074074074074,0.9074074074074074,0.9166666666666666,0.9074074074074074,0.8981481481481481,0.8888888888888888,0.9074074074074074,0.9166666666666666,0.9166666666666666,0.9074074074074074,0.8981481481481481,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.9166666666666666,0.9074074074074074,0.9166666666666666,0.9166666666666666,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.9074074074074074,0.9259259259259259,0.8981481481481481,0.9074074074074074,0.9074074074074074,0.8981481481481481,0.9074074074074074,0.8981481481481481,0.8796296296296297,0.8888888888888888,0.8981481481481481
1990,58.0,0.8793103448275862,0.8981481481481481,0.9074074074074074,0.8981481481481481,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.8888888888888888,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.8981481481481481,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.9074074074074074,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.9074074074074074,0.8981481481481481,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.8981481481481481,0.9074074074074074,0.8981481481481481,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.9074074074074074,0.8981481481481481,0.9074074074074074,0.8981481481481481,0.8703703703703703,0.9074074074074074,0.9074074074074074
1991,61.0,0.9508196721311475,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9537037037037037,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9444444444444444,0.9537037037037037,0.9537037037037037,0.9629629629629629,0.9537037037037037,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9537037037037037,0.9537037037037037,0.9629629629629629,0.9537037037037037,0.9629629629629629,0.9537037037037037,0.9629629629629629,0.9629629629629629,0.9537037037037037,0.9537037037037037,0.9444444444444444,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9629629629629629,0.9537037037037037,0.9537037037037037,0.9444444444444444,0.9537037037037037,0.9351851851851852,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9629629629629629,0.9537037037037037,0.9444444444444444,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9629629629629629,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9444444444444444,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9629629629629629,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9629629629629629,0.9444444444444444
1992,63.0,0.9206349206349206,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9444444444444444,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9444444444444444,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9444444444444444,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9444444444444444,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9444444444444444,0.9444444444444444,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9444444444444444,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9444444444444444,0.9537037037037037,0.9444444444444444,0.9444444444444444,0.9537037037037037,0.9444444444444444,0.9444444444444444
1993,61.0,0.8688524590163934,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9259259259259259,0.9166666666666666,0.9166666666666666,0.9074074074074074,0.9259259259259259,0.9166666666666666,0.9074074074074074,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9259259259259259,0.9259259259259259,0.9166666666666666,0.9259259259259259,0.9259259259259259,0.9166666666666666,0.9259259259259259,0.9166666666666666,0.9074074074074074,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9074074074074074,0.9166666666666666,0.9166666666666666,0.9074074074074074,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9074074074074074,0.9259259259259259,0.9166666666666666,0.9074074074074074,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9259259259259259,0.9259259259259259,0.9074074074074074,0.9166666666666666,0.9166666666666666,0.9074074074074074,0.9166666666666666,0.9166666666666666,0.9074074074074074,0.9166666666666666,0.9166666666666666,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9166666666666666,0.9166666666666666,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9166666666666666,0.9166666666666666,0.9074074074074074,0.9074074074074074,0.9166666666666666,0.9166666666666666
1994,63.0,0.9365079365079365,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9629629629629629,0.9537037037037037,0.9629629629629629,0.9537037037037037,0.9537037037037037,0.9629629629629629,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9629629629629629,0.9629629629629629,0.9537037037037037,0.9629629629629629,0.9629629629629629,0.9537037037037037,0.9537037037037037,0.9629629629629629,0.9629629629629629,0.9537037037037037,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9537037037037037,0.9629629629629629,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9629629629629629,0.9537037037037037,0.9537037037037037,0.9629629629629629,0.9629629629629629,0.9537037037037037,0.9629629629629629,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9629629629629629,0.9537037037037037,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9537037037037037,0.9537037037037037,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9537037037037037,0.9537037037037037,0.9629629629629629,0.9537037037037037,0.9629629629629629,0.9629629629629629,0.9537037037037037,0.9629629629629629,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9537037037037037,0.9629629629629629,0.9537037037037037,0.9537037037037037,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629
1995,60.0,0.9,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9444444444444444,0.9259259259259259,0.9351851851851852,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9351851851851852,0.9259259259259259,0.9259259259259259,0.9351851851851852,0.9351851851851852,0.9259259259259259,0.9259259259259259,0.9351851851851852,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9351851851851852,0.9351851851851852,0.9259259259259259,0.9351851851851852,0.9259259259259259,0.9351851851851852,0.9259259259259259,0.9351851851851852,0.9444444444444444,0.9259259259259259,0.9166666666666666,0.9351851851851852,0.9351851851851852,0.9259259259259259,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9259259259259259,0.9166666666666666,0.9351851851851852,0.9259259259259259,0.9259259259259259,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9444444444444444,0.9259259259259259,0.9166666666666666,0.9351851851851852,0.9259259259259259,0.9351851851851852,0.9259259259259259,0.9351851851851852,0.9259259259259259,0.9351851851851852,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9351851851851852,0.9351851851851852,0.9259259259259259,0.9351851851851852,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9351851851851852,0.9166666666666666,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9166666666666666,0.9444444444444444,0.9259259259259259,0.9259259259259259,0.9259259259259259
1996,61.0,0.8360655737704918,0.8796296296296297,0.8888888888888888,0.8888888888888888,0.8796296296296297,0.8796296296296297,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8796296296296297,0.8796296296296297,0.8796296296296297,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8796296296296297,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8981481481481481,0.8796296296296297,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8796296296296297,0.8981481481481481,0.8796296296296297,0.8888888888888888,0.8796296296296297,0.8888888888888888,0.8981481481481481,0.8796296296296297,0.8796296296296297,0.8888888888888888,0.8796296296296297,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8981481481481481,0.8796296296296297,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8796296296296297,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
1997,60.0,0.8833333333333333,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9166666666666666,0.9259259259259259,0.9166666666666666,0.9259259259259259,0.9166666666666666,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9166666666666666,0.9259259259259259,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9259259259259259,0.9259259259259259,0.9351851851851852,0.9351851851851852,0.9259259259259259,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9259259259259259,0.9259259259259259,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9259259259259259,0.9259259259259259,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9259259259259259,0.9259259259259259,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9259259259259259,0.9259259259259259,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9259259259259259,0.9166666666666666,0.9259259259259259,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9259259259259259,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9259259259259259,0.9166666666666666,0.9166666666666666
1998,53.0,0.9056603773584906,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9259259259259259,0.9074074074074074,0.9259259259259259,0.9074074074074074,0.9259259259259259,0.9074074074074074,0.9074074074074074,0.9166666666666666,0.8981481481481481,0.9259259259259259,0.9074074074074074,0.9166666666666666,0.9166666666666666,0.9351851851851852,0.9259259259259259,0.9351851851851852,0.9166666666666666,0.9259259259259259,0.9166666666666666,0.9166666666666666,0.9074074074074074,0.9351851851851852,0.9166666666666666,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9166666666666666,0.9351851851851852,0.9166666666666666,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9166666666666666,0.9351851851851852,0.9074074074074074,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9166666666666666,0.9351851851851852,0.9166666666666666,0.9351851851851852,0.9351851851851852,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8981481481481481,0.9166666666666666,0.9259259259259259,0.9166666666666666,0.9259259259259259,0.9166666666666666,0.9166666666666666,0.8981481481481481,0.9166666666666666,0.9351851851851852,0.9166666666666666,0.9259259259259259,0.9166666666666666,0.8981481481481481,0.9259259259259259,0.9351851851851852,0.9259259259259259,0.9259259259259259,0.8981481481481481,0.9259259259259259,0.9351851851851852,0.9259259259259259
1999,56.0,0.8928571428571429,0.9351851851851852,0.9074074074074074,0.9351851851851852,0.9166666666666666,0.9259259259259259,0.9166666666666666,0.9259259259259259,0.9259259259259259,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8888888888888888,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9166666666666666,0.9166666666666666,0.9259259259259259,0.9166666666666666,0.9259259259259259,0.9259259259259259,0.9166666666666666,0.9166666666666666,0.9074074074074074,0.8981481481481481,0.9074074074074074,0.8981481481481481,0.9166666666666666,0.9259259259259259,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.9259259259259259,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.8981481481481481,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.9074074074074074,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.9074074074074074,0.8888888888888888,0.8981481481481481,0.9074074074074074,0.8981481481481481,0.8981481481481481,0.9074074074074074,0.8796296296296297,0.8981481481481481,0.9074074074074074,0.8981481481481481,0.9259259259259259,0.8888888888888888,0.8981481481481481
