,n,Obs,No dummies,No,K,B,Ø,Fj,Vf,Vu,F,D,L,Se,Sa,T,DK2
1988,37,1,1,1,0.990740741,1,1,1,0.990740741,1,1,1,1,1,1,1,1
1989,59,0.915254237,0.916666667,0.888888889,0.916666667,0.925925926,0.916666667,0.916666667,0.916666667,0.925925926,0.916666667,0.925925926,0.935185185,0.925925926,0.916666667,0.888888889,0.916666667
1990,58,0.879310345,0.898148148,0.898148148,0.898148148,0.898148148,0.898148148,0.898148148,0.898148148,0.898148148,0.898148148,0.898148148,0.888888889,0.888888889,0.888888889,0.898148148,0.888888889
1991,61,0.950819672,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.944444444,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704
1992,63,0.920634921,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704
1993,61,0.868852459,0.916666667,0.907407407,0.916666667,0.916666667,0.916666667,0.907407407,0.907407407,0.907407407,0.907407407,0.916666667,0.916666667,0.907407407,0.907407407,0.907407407,0.916666667
1994,63,0.936507937,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704,0.953703704
1995,60,0.9,0.925925926,0.925925926,0.935185185,0.935185185,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.935185185,0.925925926,0.925925926,0.935185185,0.925925926,0.925925926
1996,61,0.836065574,0.87962963,0.888888889,0.888888889,0.888888889,0.888888889,0.898148148,0.87962963,0.898148148,0.87037037,0.898148148,0.888888889,0.87962963,0.87962963,0.888888889,0.888888889
1997,60,0.883333333,0.935185185,0.935185185,0.925925926,0.916666667,0.935185185,0.916666667,0.925925926,0.925925926,0.935185185,0.925925926,0.925925926,0.925925926,0.935185185,0.935185185,0.935185185
1998,53,0.905660377,0.916666667,0.916666667,0.907407407,0.935185185,0.907407407,0.925925926,0.907407407,0.916666667,0.898148148,0.907407407,0.916666667,0.907407407,0.925925926,0.916666667,0.916666667
1999,56,0.892857143,0.925925926,0.916666667,0.916666667,0.925925926,0.907407407,0.925925926,0.925925926,0.925925926,0.907407407,0.916666667,0.925925926,0.87962963,0.898148148,0.916666667,0.925925926
2000,55,0.872727273,0.898148148,0.888888889,0.898148148,0.898148148,0.898148148,0.888888889,0.898148148,0.888888889,0.898148148,0.898148148,0.898148148,0.898148148,0.888888889,0.888888889,0.898148148
