wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,0.6702632772391781,0.7526974579293836,0.802157966343507,1.1310622060617828,1.4,1.4,1.4,1.6,1.4,1.2,1.2,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0373147853940234,1.135581596836398,1.0350033561594272,0.9772588185419071,1.1758139438003536,1.0468269925893794,1.017219643026312,1.317797883703283,1.375542421320803,1.1769872960623566,1.4686594618793076,1.5254508791728127,1.3254508791728128,1.355602200576056,1.4445027507200698,1.259337000960093
2,1.3333333333333333,2.0,2.2,2.2,2.6,2.4,1.6,1.4,1.4,1.2,1.6,2.2,2.4,2.4,2.4,2.4,2.2,2.2,2.0,2.4,2.6,2.6,2.6,3.2,2.8,2.8,3.0,2.8,2.4,2.4,2.2,2.0,2.0,2.0,2.0,2.0,2.0
6,1.3334927123656242,1.5001195342742182,1.6000956274193747,1.637019675618029,1.8,1.8,1.8,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.009430908806064,2.4094309088060637,2.4094309088060637,2.4094309088060637,2.4094309088060637,2.4,2.0621855141177443,2.079886646396949,2.2886816458508448,2.2694211880151647,2.3126240280850228,2.1296145369427704,2.0638603411510354,2.012666313216399,2.244838457928256,2.341674137731243,2.63667850546854,2.7000419248165284,2.436135023454667,2.3088481877909866,2.211012084897677,1.9910487953422535
16,0.7768847026489177,0.9025065008231514,0.8799034899069931,0.7364271439460484,0.8771284096069693,0.6742993842276397,0.818425005158469,0.8605267159099974,0.8144955023471642,0.8,1.0,0.8,0.8,1.2,1.2,1.395411675757924,1.5451350313289427,1.627431959509429,1.6663724385147565,1.6837731127003956,1.6306641263096988,1.6941103483609605,1.58404729475746,1.6059617328142302,1.7375780172348627,1.9378872664549962,2.14895476633008,2.376720891753094,2.515865974690997,2.3668490160847253,2.469156272808602,2.2449191953112377,2.2449191953112377,2.1339793853360742,2.182070920968207,1.921439657071212,1.8952528760949494
17,1.3520066477835309,1.5740927301890864,1.636423266875319,1.9929926992831852,2.3277525850985534,1.9314893652131953,1.9820051207033444,2.144438188073091,2.0616297058673334,2.081020030821956,2.446124170071752,2.3903400346065538,2.301984563944761,2.3862691851710913,2.455543069915667,2.543514680094701,2.7039779281971357,2.8052477870750483,2.7829056748902095,2.743486950870659,2.773307227527769,2.821624476523462,2.784700553778877,3.131171765281697,3.3530285130160493,3.2961023655196966,3.3552268062221073,3.6396541906567754,3.6396541906567754,3.695783913344689,3.7656956451204593,3.8549888918138193,3.4549888918138194,3.0687282711307726,2.806996614716544,2.6900096536284055,2.253346204837874
18,1.5614721994079837,1.4211041495559877,1.3368833196447902,1.7778423891056,2.2,1.8,2.4,2.8,2.8,2.616167524930913,2.9837453317921705,2.677696192686357,2.3557225463653904,2.1565477388930026,2.4441262567104265,2.521334916835588,2.572681720374036,2.758576671731782,2.7102723941171787,2.462259931483916,2.4495193394646466,2.6512332363417417,2.987311931304963,3.4347910163919537,3.7790574362768803,3.94701156130973,4.0,4.0,4.095159144975323,4.095159144975323,4.095159144975323,3.895159144975323,3.6854628753855927,3.4031457044970432,3.203145704497043,3.003932130621304,3.005242840828405
24,0.45198830827887404,0.5889912312091555,0.6711929849673244,0.8650089076144376,1.0,0.7999999999999999,0.8,0.8,0.6,0.8,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.2,1.2,1.4,1.4,1.4,1.2966733522957115,1.2966733522957115,1.304340857257154,1.304340857257154,1.0645266447867623,0.967853292491051,0.9598166156138136,0.6003096458826805
25,0.3467408294834617,0.26005562211259625,0.408044497690077,0.6800931095685636,0.8,1.0,1.4,1.4,1.4,1.4616039735918713,1.258293690160492,1.095909649019952,1.0467944401776481,1.1721313980356016,1.2554214851321663,1.3414136660302955,1.403716950816007,1.5023340950686204,1.3285507232082963,1.198876591011631,1.183770901827092,1.1820258060211815,1.332523870610872,1.5809702846132427,1.765750356121472,1.898174147839261,2.0,1.8,1.6,1.3460673728656962,1.3460673728656962,1.1680186391617053,1.3680186391617053,1.4416664991682493,1.4955991263025532,1.3694989078781914,1.4560797666775738
28,0.6607361923678093,0.745552144275857,0.7964417154206856,0.9052593864677279,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8154434966107548,0.8154434966107548,1.0154434966107548,1.0191415180797825,1.2684840861413835,1.3283761796371008,1.4787611378416927,1.7540311977099088,1.6804488886505027,1.4208121403330467,1.25865026016398,1.3656825688605712,1.1480947395662515,1.3098266905974376,1.3802936363053593,1.467119926367954,1.2621283243334638,1.2533673814881243
29,0.6113240447519103,0.7084930335639327,0.7667944268511462,0.9396910171222845,1.0,1.0,1.0,1.0,1.0,1.0,0.7999999999999999,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,0.9939700149908826,0.9939700149908826,0.9939700149908826,0.9898242987059422,1.2595839605779606,1.347590508319103,1.3607214911562264,1.4637336031783514,1.3475117758888424,1.077752114016824,0.9957755512847989,0.9826445684476756,0.8796324564255507,1.049051659711493,0.8974302136000445,0.8974302136000445,0.8717877670000556,0.829050356000074
