wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,2.0,1.0,1.0,2.0,,1.0,
2,2.0,1.0,1.0,4.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
6,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,4.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,
16,,,,,,,,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,2.0,3.0,1.0,,2.0,2.0,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,4.0,4.0,,4.0,2.0,,
18,,,3.0,1.0,1.0,3.0,3.0,1.0,4.0,3.0,3.0,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,3.0,,,3.0
24,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,1.0,,1.0,,0.0
25,,,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,2.0,,2.0,,1.0
28,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,1.0
29,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,1.0
34,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,4.0,4.0,2.0,,1.0,4.0,4.0,,,2.0
35,,,1.0,1.0,,,,,,,,,,,,,,,,,0.0,,,,2.0,2.0,2.0,4.0,3.0,2.0,3.0,,4.0,,2.0,,2.0
36,,,,,,,,,,,,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,,3.0,,4.0,,,,2.0,3.0,2.0,,4.0,3.0,2.0,
37,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,3.0,4.0,3.0,2.0,,3.0,,3.0,,3.0
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,,2.0,1.0,,2.0,
47,,,2.0,2.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0
48,,,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,3.0,,2.0,3.0,3.0,3.0,3.0,2.0,3.0,,3.0,3.0,,2.0,
49,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,0.0,,1.0
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0.0,,0.0,1.0,0.0,1.0,,,,,,2.0,0.0,0.0,,,,,,1.0,,,,,,1.0,,,,1.0,0.0,1.0,,1.0,1.0,,
62,,,,1.0,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,1.0,2.0,2.0,,2.0,2.0,,
68,0.0,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,4.0,,,,,,3.0,3.0,3.0,4.0,3.0,3.0,3.0,,3.0,,3.0,,3.0
72,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,2.0,3.0,2.0,,3.0,2.0,3.0,
74,,,1.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,,0.0,,,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,,0.0,1.0,
80,,1.0,,,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,
82,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,0.0,,0.0,,1.0
83,,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,,,,,,0.0,1.0,,,,0.0,0.0,1.0,2.0,0.0,0.0,,1.0,1.0,1.0,,,0.0
84,1.0,,,,2.0,0.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,2.0,,1.0,,1.0,,1.0,2.0,1.0,,,1.0
85,2.0,,1.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,,1.0,0.0,,,,,1.0,,2.0,,1.0,,2.0,1.0,,1.0,,,2.0
86,0.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0
87,1.0,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,0.0
89,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,
90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,,2.0,,2.0
92,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
93,1.0,1.0,2.0,4.0,1.0,,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,2.0,,4.0,2.0,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,0.0,0.0,1.0,,0.0,0.0,,
102,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,0.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,0.0,1.0,0.0,,0.0,,1.0,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,
106,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
107,,,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,,,,,,,,,,,2.0,2.0,1.0,2.0,,2.0,
108,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,1.0,1.0,,,1.0,,0.0
109,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,4.0,3.0,2.0,4.0,1.0,,,2.0,1.0,1.0,,1.0
110,,,,,,,,,,,,,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,1.0,
111,,,,,,,,1.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0
113,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
114,0.0,,,,,,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
119,,,,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0
120,,,,2.0,,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,,2.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,,3.0,,2.0,,
121,,,,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,,,3.0,2.0,3.0,,
122,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
123,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0
124,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,0.0,,,1.0,1.0,1.0,,
125,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,1.0
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
