wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,5.0,4.0,6.0,3.0,3.0,4.0,7.0,3.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,,,,,,,,3.0,4.0,5.0,3.0,,5.0,
2,4.0,10.0,6.0,2.0,3.0,4.0,3.0,13.0,12.0,4.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,6.0,2.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0
6,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
16,,,,,,,,52.0,2.0,4.0,9.0,4.0,6.0,4.0,5.0,2.0,3.0,,,,,,,,,,,,,2.0,1.0,3.0,,2.0,2.0,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,2.0,,
18,,,2.0,6.0,4.0,2.0,2.0,4.0,1.0,2.0,2.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,,,2.0
24,,,3.0,2.0,2.0,4.0,4.0,8.0,4.0,3.0,6.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,,2.0,,3.0,,5.0
25,,,7.0,10.0,5.0,6.0,4.0,3.0,2.0,5.0,5.0,,,,,,,,,,,,,,3.0,3.0,2.0,2.0,2.0,6.0,4.0,,3.0,,3.0,,5.0
28,,,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,1.0
29,,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,1.0
34,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,0.0,0.0,1.0,,2.0,0.0,0.0,,,1.0
35,,,11.0,10.0,,,,,,,,,,,,,,,,,18.0,,,,7.0,5.0,5.0,3.0,4.0,6.0,4.0,,3.0,,5.0,,5.0
36,,,,,,,,,,,,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,,2.0,,1.0,,,,3.0,2.0,3.0,,1.0,2.0,3.0,
37,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,0.0,1.0,2.0,,1.0,,1.0,,1.0
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,,1.0,2.0,,1.0,
47,,,3.0,2.0,2.0,2.0,1.0,2.0,8.0,14.0,5.0,3.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,12.0,4.0,2.0,1.0,6.0,4.0,2.0,3.0,3.0,5.0,7.0,2.0,4.0,3.0,2.0,3.0,4.0,5.0
48,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,,2.0,
49,,,6.0,,,,,,,,,,,,,,,,,,,,2.0,,31.0,5.0,5.0,3.0,3.0,5.0,4.0,,3.0,,7.0,,6.0
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,18.0,,15.0,12.0,17.0,10.0,,,,,,5.0,22.0,48.0,,,,,,7.0,,,,,,7.0,,,,9.0,15.0,11.0,,7.0,9.0,,
62,,,,3.0,,,,,,,,,,5.0,,,,,,,,,2.0,,,,,,,5.0,2.0,2.0,,2.0,2.0,,
68,6.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,0.0,,,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,,1.0,,1.0
72,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,2.0,1.0,2.0,,1.0,2.0,1.0,
74,,,21.0,6.0,15.0,28.0,8.0,23.0,18.0,18.0,18.0,,24.0,,,,,,,,22.0,,,,,,,12.0,,,22.0,18.0,19.0,,26.0,13.0,
80,,3.0,,,3.0,,,,,,,3.0,,,3.0,,,,3.0,,,,,,3.0,2.0,2.0,2.0,3.0,2.0,3.0,,2.0,3.0,,3.0,
82,,,,,,29.0,,,,,,,45.0,,,,,,,,,,,,,,,27.0,,,24.0,25.0,36.0,,37.0,,29.0
83,,22.0,8.0,6.0,8.0,18.0,4.0,12.0,13.0,3.0,20.0,19.0,18.0,5.0,,,,,,21.0,9.0,,,,16.0,16.0,8.0,6.0,15.0,14.0,,10.0,13.0,13.0,,,20.0
84,6.0,,,,3.0,11.0,,,,,,,,,,6.0,7.0,,5.0,7.0,,,,,,2.0,,4.0,,4.0,,6.0,3.0,5.0,,,5.0
85,4.0,,6.0,4.0,3.0,27.0,4.0,7.0,6.0,2.0,3.0,4.0,4.0,3.0,6.0,3.0,7.0,,5.0,13.0,,,,,5.0,,3.0,,5.0,,3.0,6.0,,6.0,,,3.0
86,4.0,3.0,3.0,3.0,3.0,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,2.0,3.0,2.0,2.0,,,2.0
87,4.0,,4.0,3.0,3.0,5.0,4.0,7.0,3.0,5.0,6.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,,,,,4.0,3.0,3.0,3.0,4.0,4.0,,4.0,4.0,3.0,,,5.0
89,,,,,4.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,3.0,3.0,2.0,2.0,,3.0,
90,2.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,5.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,,2.0,2.0,2.0,1.0,2.0,2.0,,2.0,2.0,,1.0,,1.0
92,7.0,9.0,3.0,6.0,6.0,7.0,5.0,5.0,4.0,5.0,6.0,4.0,6.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0
93,12.0,10.0,8.0,4.0,11.0,,6.0,6.0,7.0,14.0,12.0,7.0,5.0,6.0,6.0,4.0,5.0,7.0,6.0,6.0,6.0,5.0,5.0,,,,,,,6.0,5.0,7.0,,4.0,7.0,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,7.0,7.0,6.0,6.0,4.0,,4.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,3.0,3.0,2.0,,,,,,,,,,,,,3.0,3.0,2.0,,4.0,3.0,,
102,,7.0,5.0,6.0,5.0,6.0,5.0,6.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0,,,3.0,2.0,2.0,3.0,3.0,3.0,,,3.0,3.0,3.0,,
103,10.0,5.0,5.0,4.0,6.0,7.0,7.0,9.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,,,,,,,,,,3.0,2.0,3.0,,4.0,,2.0,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,11.0,5.0,7.0,4.0,4.0,6.0,5.0,11.0,2.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,2.0,4.0,3.0,4.0,,,,,4.0,3.0,2.0,2.0,3.0,3.0,,,3.0,5.0,4.0,,
106,,,,,,,,,,,,,,,,,,,,,22.0,,,,34.0,24.0,26.0,30.0,33.0,31.0,33.0,,31.0,,33.0,,35.0
107,,,,,8.0,17.0,11.0,13.0,9.0,10.0,10.0,5.0,12.0,8.0,6.0,6.0,11.0,19.0,5.0,5.0,,,,,,,,,,,7.0,9.0,11.0,8.0,,10.0,
108,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,12.0,6.0,5.0,,,7.0,,12.0
109,,,,,,,,,,,,,,,,,,,,,,,5.0,,14.0,4.0,5.0,6.0,4.0,11.0,,,6.0,10.0,12.0,,11.0
110,,,,,,,,,,,,,5.0,4.0,9.0,5.0,3.0,5.0,5.0,4.0,,,,4.0,,,,,,,4.0,4.0,6.0,4.0,,5.0,
111,,,,,,,,11.0,6.0,9.0,15.0,7.0,11.0,11.0,6.0,9.0,7.0,5.0,6.0,8.0,6.0,11.0,11.0,5.0,6.0,6.0,7.0,5.0,4.0,8.0,3.0,4.0,5.0,6.0,8.0,7.0,6.0
113,16.0,,,,,,6.0,17.0,7.0,10.0,7.0,,7.0,7.0,9.0,9.0,6.0,12.0,6.0,5.0,3.0,,3.0,,,,,,,5.0,4.0,4.0,4.0,5.0,4.0,,
114,4.0,,,,,,,,,,,,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0
