wb,ov_typ,distr_id,til_oko_fy,Shape_Length,length
1,LWTYPE13,DK1,Høj økologisk tilstand,3341.9008288725736,3.3419008288725736
3,LWTYPE5,DK1,Ringe økologisk tilstand,2190.990712354715,2.190990712354715
5,LWTYPE10,DK1,Ringe økologisk tilstand,1205.263791348121,1.205263791348121
8,LWTYPE5,DK1,God økologisk tilstand,4008.518922528524,4.008518922528524
9,LWTYPE13,DK1,Høj økologisk tilstand,1919.9589819718578,1.9199589819718579
11,LWTYPE5,DK1,Ringe økologisk tilstand,3074.700883202796,3.0747008832027958
12,LWTYPE13,DK1,Moderat økologisk tilstand,1014.6373173137899,1.01463731731379
14,LWTYPE10,DK1,Moderat økologisk tilstand,11105.676489077927,11.105676489077927
16,LWTYPE15,DK1,Høj økologisk tilstand,1732.7026315822977,1.7327026315822978
17,LWTYPE13,DK1,Ukendt,846.8648723489958,0.8468648723489959
18,LWTYPE5,DK1,Moderat økologisk tilstand,1541.919641503095,1.541919641503095
19,LWTYPE5,DK1,Moderat økologisk tilstand,1678.2680913020868,1.6782680913020867
20,LWTYPE5,DK1,God økologisk tilstand,2463.1802456938094,2.4631802456938092
21,LWTYPE9,DK1,Høj økologisk tilstand,3691.1372353243523,3.6911372353243523
23,LWTYPE13,DK1,Dårlig økologisk tilstand,3410.19657416243,3.41019657416243
24,LWTYPE13,DK1,Høj økologisk tilstand,1953.5859033234344,1.9535859033234344
26,LWTYPE10,DK1,God økologisk tilstand,9853.18626346014,9.85318626346014
27,LWTYPE9,DK1,Ukendt,1255.1258127060153,1.2551258127060152
28,LWTYPE13,DK1,God økologisk tilstand,2375.1196442935366,2.3751196442935365
29,LWTYPE9,DK1,Høj økologisk tilstand,1326.8419109984932,1.3268419109984932
30,LWTYPE5,DK1,Moderat økologisk tilstand,2017.1677614385806,2.0171677614385803
32,LWTYPE9,DK1,Høj økologisk tilstand,2037.2561622430078,2.0372561622430077
33,LWTYPE13,DK1,God økologisk tilstand,1232.6330907198821,1.2326330907198821
34,LWTYPE9,DK1,Dårlig økologisk tilstand,2085.372548465443,2.085372548465443
35,LWTYPE15,DK1,Dårlig økologisk tilstand,5572.976864676904,5.572976864676904
36,LWTYPE9,DK1,Moderat økologisk tilstand,6999.6109871473855,6.999610987147386
37,LWTYPE9,DK1,Dårlig økologisk tilstand,19254.361806728237,19.254361806728237
38,LWTYPE9,DK1,Dårlig økologisk tilstand,14741.490451372229,14.74149045137223
39,LWTYPE5,DK1,Moderat økologisk tilstand,1287.9674969527439,1.287967496952744
41,LWTYPE9,DK1,Moderat økologisk tilstand,4230.489380274045,4.2304893802740455
42,LWTYPE5,DK1,God økologisk tilstand,1957.85287783015,1.95785287783015
43,LWTYPE9,DK1,Ringe økologisk tilstand,3013.985408121544,3.013985408121544
44,LWTYPE10,DK1,God økologisk tilstand,2324.433455128937,2.324433455128937
46,LWTYPE13,DK1,God økologisk tilstand,4735.828353804966,4.735828353804966
47,LWTYPE5,DK1,Ukendt,937.6298327033293,0.9376298327033292
48,LWTYPE5,DK1,Ringe økologisk tilstand,921.6471276380414,0.9216471276380415
49,LWTYPE1,DK1,Høj økologisk tilstand,3611.752034323596,3.611752034323596
50,LWTYPE10,DK1,Ringe økologisk tilstand,2861.2594957968736,2.8612594957968738
51,LWTYPE10,DK1,Ringe økologisk tilstand,5103.119486358964,5.103119486358964
52,LWTYPE9,DK1,Ringe økologisk tilstand,1304.5421951101978,1.3045421951101979
