,n,Alkalinity,Brown,Saline,Deep,DK2
1988,3.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,33.333333333333336
1989,5.0,80.0,20.0,20.0,40.0,0.0
1990,3.0,100.0,33.333333333333336,33.333333333333336,0.0,33.333333333333336
1991,3.0,66.66666666666667,33.333333333333336,0.0,33.333333333333336,33.333333333333336
1992,5.0,100.0,20.0,0.0,20.0,20.0
1993,5.0,80.0,40.0,40.0,0.0,40.0
1994,8.0,62.5,25.0,12.5,25.0,0.0
1995,2.0,100.0,0.0,50.0,0.0,0.0
1996,2.0,100.0,50.0,0.0,0.0,50.0
1997,3.0,66.66666666666667,0.0,66.66666666666667,33.333333333333336,0.0
1998,10.0,70.0,30.0,60.0,40.0,0.0
1999,6.0,83.33333333333333,50.0,0.0,16.666666666666668,83.33333333333333
2000,8.0,75.0,50.0,37.5,12.5,62.5
2001,11.0,90.9090909090909,18.181818181818183,54.54545454545455,0.0,45.45454545454545
2002,7.0,85.71428571428571,42.857142857142854,14.285714285714286,0.0,14.285714285714286
2003,6.0,83.33333333333333,66.66666666666667,33.333333333333336,0.0,66.66666666666667
2004,16.0,68.75,37.5,18.75,18.75,37.5
2005,21.0,61.904761904761905,38.095238095238095,23.80952380952381,33.333333333333336,9.523809523809524
2006,15.0,73.33333333333333,40.0,20.0,20.0,53.333333333333336
2007,24.0,83.33333333333333,45.833333333333336,58.333333333333336,8.333333333333334,8.333333333333334
2008,32.0,81.25,46.875,9.375,18.75,34.375
2009,29.0,79.3103448275862,24.137931034482758,31.03448275862069,20.689655172413794,34.48275862068966
2010,29.0,96.55172413793103,37.93103448275862,20.689655172413794,6.896551724137931,41.37931034482759
2011,41.0,90.2439024390244,43.90243902439025,31.70731707317073,12.195121951219512,21.951219512195124
2012,43.0,69.76744186046511,37.2093023255814,18.6046511627907,23.25581395348837,9.30232558139535
2013,45.0,93.33333333333333,48.888888888888886,35.55555555555556,2.2222222222222223,17.77777777777778
2014,43.0,90.69767441860465,37.2093023255814,25.58139534883721,16.27906976744186,23.25581395348837
2015,43.0,86.04651162790698,48.83720930232558,16.27906976744186,13.953488372093023,37.2093023255814
2016,63.0,90.47619047619048,33.333333333333336,19.047619047619047,20.634920634920636,28.571428571428573
2017,72.0,86.11111111111111,48.611111111111114,30.555555555555557,11.11111111111111,25.0
2018,78.0,79.48717948717949,60.256410256410255,17.94871794871795,8.974358974358974,19.23076923076923
2019,69.0,75.3623188405797,49.27536231884058,31.884057971014492,10.144927536231885,23.18840579710145
2020,71.0,74.64788732394366,59.15492957746479,30.985915492957748,11.267605633802816,21.12676056338028
2021,36.0,77.77777777777777,44.44444444444444,22.22222222222222,8.333333333333334,38.888888888888886
2022,37.0,83.78378378378379,40.54054054054054,13.513513513513514,13.513513513513514,24.324324324324323
2023,100.0,76.0,46.0,28.0,15.0,23.0
Obs of n,425.0,80.70588235294117,46.588235294117645,27.294117647058822,13.411764705882353,23.764705882352942
Obs of all,986.0,34.78701825557809,20.081135902636916,11.764705882352942,5.780933062880324,10.24340770791075
All VP3,986.0,77.38336713995943,30.223123732251523,18.255578093306287,15.314401622718053,24.746450304259636
