wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,2.780331379560172,2.050567662184271,2.0901617035070297,0.8997612416174441,2.2329775759885555,2.2845470912883563,1.5854137931466719,1.1350507909562095,1.500461220970616,1.5598801228594965,1.5607561423232736,2.527912071625675,2.1935400543266503,2.9336173632471194,2.2586563670547655,1.2475475528162736,2.4267492147722507,1.5442939391609674,2.3902433047123823,2.0369202372516995,2.3284241367048724,1.7846302350646113,2.1238835682953923,2.5576809981527076,3.33694649832165,4.0,2.851142880925032,3.9697076892473184,2.1563998457543985,3.8252094322812535,3.9047950666318285,3.9550517676906805,3.0948114418931922,3.2405147087872024,2.0153300473050284,3.1153334021148167,4.0
3,2.110232517575162,1.5427534204435036,1.3887498468398436,0.8606098607530672,1.709180733629792,1.4691380196232497,1.5095539650355612,0.9861615236987737,1.5103019626198515,1.3462630883104794,0.8253408733543806,1.6148851689229247,1.4874185728255966,1.5120158858652921,1.6092939640786295,1.2601516547623817,1.3306652958164777,1.759726338959545,1.9629729315098954,1.434066272936441,1.6045289101645697,1.7249432317431683,2.1859200815386632,1.5396077297353052,1.336321757630257,2.0,1.226248896032228,1.1873631178658322,2.089807612972232,1.334395146837665,1.0227436835737216,1.0,1.3823276577887258,1.7923378608408065,2.0154385397588723,2.1123353382376697,1.5740739483688104
5,0.5552695113111854,1.0183770549068896,1.1939453417801664,0.816483042662906,1.286193092689215,1.2269561876445696,1.3905454942741065,1.0777957849092576,1.4988814012762912,1.4587083714182159,1.1019831698444689,1.0128983330779544,1.2759919479985928,1.424885275622973,1.904530373866944,1.2862967019901799,0.676035693533132,1.715615248838212,1.7383107615236455,1.6359149045347703,1.6991579194200472,1.7397028448875176,2.246452437358915,2.382933102364831,1.60051872891421,1.608299338244704,1.3100747339631553,1.5583932451037832,2.0287631733933447,1.7356916441617962,2.0,0.7339432633412559,-1.2884933574678827,0.0,2.0774251004206676,0.6310973249602432,1.4210222918545101
8,2.8333551601339835,1.9607167202062736,2.036909734051138,0.9376165482809924,2.0131591783613363,1.9566878494861495,1.586689874174792,1.0586782429344401,1.5625046674538905,1.360003071506208,1.3341263455921366,2.2072646512438823,1.9000362652296587,2.1270750427422307,2.0593477962614752,1.2762040194139512,1.893873269492122,1.7480868891459131,2.2042388641773947,1.7132341035282925,2.2076030988372226,1.742792144127833,2.1645129426631886,2.2059508469653233,2.533094100598566,3.0,2.3031865909405287,2.8351934527728453,2.1178982144117926,3.022866500354538,2.8223053848890465,2.904138499048902,2.4034267621870757,2.6284802621860983,2.0331886102805474,2.8678789473553072,3.0
9,2.439349973335027,2.162986744181266,2.0027310481125427,0.9892097716389436,2.1419873751335743,2.232961208803605,1.5492879049953467,1.0865755231766423,1.492287361051066,1.570954231545434,1.6100672537153349,2.355446247158998,2.2643990820207627,2.9068925125552276,2.1926084885885686,1.2640070777023755,2.4357287996556387,1.7809741312117957,2.3947109228552605,2.0255658482198253,1.7556502807549128,1.7586898731340455,2.1967602085666833,2.835697750861276,3.371796614272606,3.0278990358974287,2.677730176864493,3.5193976992824574,2.152724298523256,3.7285448371335743,3.9102760173725293,4.0,2.9074670707281225,3.1553002655089593,2.019525070934336,2.4559850305824265,4.0
11,2.0374173983384636,1.5165691644183228,1.3576854777991911,0.8257167753992771,1.694219704838957,1.4504243775555619,1.5087967283693073,0.9557919926897864,1.5020155920941431,1.3326906445415565,0.9358299845224609,1.6246032547013751,1.4854788500758058,1.4550660289009123,1.5735224955268086,1.2662705240819871,1.292756545022737,1.7590363488235674,1.9588903455224218,1.3820515401085616,1.7078127069687632,1.723660191093245,2.185286595452565,1.6341467418445834,1.3429692564233715,1.7969709694597769,1.2012339655797017,1.1336701582010438,2.0919871030306667,1.3110102878519814,1.0388392332472955,0.9759387304609146,1.3526777760654385,1.7497299573840905,2.0285477560221037,2.0348838116455426,1.5787678809970052
12,2.3304271261486305,1.4777914858128758,1.1689947837863262,0.6426875766774103,2.0063458396704172,1.533017395560675,1.4109129193471945,0.9839764974945666,1.5391062742102153,1.4562298024908964,1.0527159987111547,1.9769287531363098,2.0632735393180983,2.1962191381996448,1.5197292667817806,1.267567740502633,1.5700273162870655,0.0,2.13357709343662,2.030448161765957,1.5510418867410642,1.7623986332575612,2.309988559971865,2.0,2.0110004811418545,2.879718422477645,1.915619241473454,1.9741358937333207,2.152048399409661,2.0,1.7478604352068015,1.8117229865344417,3.0,1.9951724133275803,2.1219675763202486,2.1652789961725976,3.0
14,4.495828061632269,2.8697792498503505,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.34832763873939,3.0,3.0271900567080383,4.0,4.366138640857381,4.0,1.4868653185238565,4.0,3.2456202123719766
16,3.533506276918059,2.1737917683091705,2.10125840837377,1.173472027714812,2.902492781115177,2.4549870505576736,1.6271733697436845,0.6304733984434767,1.4235549412060604,1.5013974699118116,2.10816881918793,2.258965232495445,2.502181338492999,2.8940213222132165,2.532081741332725,1.2818730340160318,3.136058540555524,2.04691700655278,4.0,2.7125373881989656,2.079260707381123,1.700662568865937,4.0,1.790231851032913,3.7763190538972555,3.4483353268277313,2.663307320934825,4.518890297322425,4.0,3.660586830167258,4.417522443858344,4.3213760734414866,1.9548536640311465,3.294172746629961,4.0,3.144397891228846,3.6977098702073574
17,1.593779083082743,1.497665122331784,1.1274362855887157,0.741449334675945,1.8682512843083168,1.551713035726845,1.4778748663253571,0.9134884976984621,1.3976003649488749,1.5161871724620353,1.2702953308244647,1.752339503066647,1.6770510719304301,1.914047438705504,1.6442231364863211,1.252165726662339,1.6037781270692353,1.643974783969255,2.0806194875483186,1.5224047161175802,1.660154860072324,1.7445239419768654,2.1558741212664785,2.051109113880191,1.8558625401062887,1.8084029615879489,1.4187815500331569,1.6941886745802694,2.1266474178698713,1.6954635857432623,1.751705196830709,1.5956798544209412,1.643590511595324,2.004487686958912,2.017939764255081,1.7549382540231626,2.0307331706821756
