,n,Obs,No dummies,alkalinity,brown,saline,deep,DK2
1988,77.0,0.8571428571428571,0.962474645030426,0.9614604462474645,0.9574036511156186,0.960446247464503,0.9594320486815415,0.9594320486815415
1989,106.0,0.8113207547169812,0.9645030425963489,0.962474645030426,0.9634888438133874,0.9513184584178499,0.962474645030426,0.9655172413793104
1990,113.0,0.8495575221238938,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9756592292089249,0.9827586206896551,0.9827586206896551
1991,103.0,0.8058252427184466,0.9797160243407708,0.9797160243407708,0.9797160243407708,0.9797160243407708,0.9797160243407708,0.9797160243407708
1992,95.0,0.8421052631578947,0.9847870182555781,0.9847870182555781,0.9847870182555781,0.9847870182555781,0.9746450304259635,0.9827586206896551
1993,105.0,0.7238095238095238,0.9350912778904665,0.9300202839756593,0.9269776876267748,0.9411764705882353,0.9269776876267748,0.9421906693711968
1994,113.0,0.8495575221238938,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551
1995,113.0,0.7876106194690266,0.9756592292089249,0.9756592292089249,0.9756592292089249,0.9756592292089249,0.9756592292089249,0.9756592292089249
1996,100.0,0.79,0.9675456389452333,0.9675456389452333,0.9645030425963489,0.9695740365111561,0.9705882352941176,0.9787018255578094
1997,123.0,0.8130081300813008,0.9756592292089249,0.9756592292089249,0.9756592292089249,0.9726166328600405,0.9766734279918864,0.9746450304259635
1998,126.0,0.746031746031746,0.9533468559837728,0.9543610547667343,0.9533468559837728,0.9574036511156186,0.9411764705882353,0.9533468559837728
1999,137.0,0.8175182481751825,0.9574036511156186,0.9574036511156186,0.9574036511156186,0.9584178498985801,0.9594320486815415,0.9553752535496958
2000,127.0,0.7716535433070866,0.896551724137931,0.8975659229208925,0.8955375253549696,0.9006085192697769,0.9056795131845842,0.8803245436105477
2001,129.0,0.813953488372093,0.9685598377281948,0.9705882352941176,0.9726166328600405,0.9563894523326572,0.9705882352941176,0.9584178498985801
2002,127.0,0.8188976377952756,0.9766734279918864,0.9766734279918864,0.9766734279918864,0.9766734279918864,0.9766734279918864,0.9766734279918864
2003,120.0,0.8,0.962474645030426,0.9634888438133874,0.9705882352941176,0.9523326572008114,0.9695740365111561,0.949290060851927
2004,134.0,0.7313432835820896,0.9584178498985801,0.9574036511156186,0.9584178498985801,0.9584178498985801,0.960446247464503,0.9584178498985801
2005,142.0,0.6690140845070423,0.9320486815415822,0.9330628803245437,0.9300202839756593,0.934077079107505,0.9269776876267748,0.9279918864097363
2006,126.0,0.753968253968254,0.9675456389452333,0.9675456389452333,0.9685598377281948,0.9685598377281948,0.9685598377281948,0.9665314401622718
2007,129.0,0.7131782945736435,0.9614604462474645,0.9614604462474645,0.9614604462474645,0.9543610547667343,0.9614604462474645,0.9614604462474645
2008,127.0,0.6850393700787402,0.9594320486815415,0.9584178498985801,0.9594320486815415,0.9594320486815415,0.9594320486815415,0.922920892494929
2009,133.0,0.5864661654135338,0.9117647058823529,0.9148073022312373,0.9188640973630832,0.9117647058823529,0.9168356997971603,0.8985801217038539
2010,102.0,0.6372549019607843,0.7870182555780934,0.8377281947261663,0.783975659229209,0.7413793103448276,0.7535496957403651,0.808316430020284
2011,134.0,0.6791044776119403,0.7647058823529411,0.7697768762677485,0.7535496957403651,0.755578093306288,0.7606490872210954,0.7657200811359026
2012,133.0,0.6165413533834586,0.8286004056795132,0.8397565922920892,0.7860040567951319,0.7210953346855984,0.7829614604462475,0.8326572008113591
2013,139.0,0.7841726618705036,0.8539553752535497,0.8519269776876268,0.8610547667342799,0.8407707910750507,0.8529411764705882,0.8559837728194726
2014,141.0,0.6879432624113475,0.7221095334685599,0.7210953346855984,0.7231237322515213,0.7210953346855984,0.7251521298174443,0.7231237322515213
2015,128.0,0.6328125,0.9523326572008114,0.9523326572008114,0.9513184584178499,0.9513184584178499,0.9523326572008114,0.9513184584178499
2016,159.0,0.6477987421383647,0.7363083164300203,0.7352941176470589,0.7373225152129818,0.7373225152129818,0.7363083164300203,0.7373225152129818
2017,166.0,0.6325301204819277,0.7200811359026369,0.7221095334685599,0.718052738336714,0.7190669371196755,0.7200811359026369,0.7221095334685599
2018,161.0,0.7329192546583851,0.7241379310344828,0.7251521298174443,0.7251521298174443,0.7251521298174443,0.72920892494929,0.7261663286004056
2019,152.0,0.6644736842105263,0.8022312373225152,0.7981744421906694,0.7941176470588235,0.7971602434077079,0.7971602434077079,0.7920892494929006
2020,152.0,0.6118421052631579,0.7647058823529411,0.7657200811359026,0.757606490872211,0.7606490872210954,0.7535496957403651,0.757606490872211
2021,112.0,0.6339285714285714,0.9310344827586207,0.936105476673428,0.936105476673428,0.9381338742393509,0.936105476673428,0.9198782961460447
2022,114.0,0.7017543859649122,0.7799188640973631,0.7799188640973631,0.7545638945233266,0.7748478701825557,0.7626774847870182,0.7657200811359026
2023,217.0,0.5714285714285714,0.6947261663286004,0.6947261663286004,0.6947261663286004,0.6926977687626775,0.6937119675456389,0.6947261663286004
Total,4615.0,0.7204767063921993,0.8815264186146681,0.8831414450189983,0.8792252971723303,0.8755141866960854,0.8786073281630805,0.8788334626262805
