,n,Obs,No dummies,Saline,"Saline, Brown"
1989,5.0,0.4,0.9929078014184397,0.9787234042553191,0.9739952718676123
1990,3.0,0.6666666666666666,0.9976359338061466,0.9929078014184397,0.9952718676122931
1991,3.0,0.0,0.9929078014184397,0.9929078014184397,0.9929078014184397
1992,5.0,0.8,0.9976359338061466,0.9976359338061466,0.9976359338061466
1993,4.0,0.75,0.9645390070921985,0.9716312056737588,0.9716312056737588
1994,8.0,0.625,0.9929078014184397,0.9929078014184397,0.9929078014184397
1995,2.0,1.0,1.0,1.0,1.0
1996,2.0,0.5,0.9952718676122931,0.9976359338061466,0.9976359338061466
1997,3.0,1.0,1.0,1.0,1.0
1998,10.0,0.6,0.9858156028368794,0.9881796690307328,0.9881796690307328
1999,6.0,0.8333333333333334,0.9881796690307328,0.9881796690307328,0.9763593380614657
2000,8.0,0.625,0.8628841607565012,0.8250591016548463,0.8439716312056738
2001,11.0,0.8181818181818182,0.9787234042553191,0.9810874704491725,0.9716312056737588
2002,7.0,0.7142857142857143,0.9952718676122931,0.9952718676122931,0.9952718676122931
2003,5.0,0.4,0.9810874704491725,0.9692671394799054,0.966903073286052
2004,16.0,0.4375,0.9739952718676123,0.9763593380614657,0.9739952718676123
2005,21.0,0.42857142857142855,0.9621749408983451,0.9645390070921985,0.9598108747044918
2006,15.0,0.5333333333333333,0.983451536643026,0.983451536643026,0.983451536643026
2007,24.0,0.625,0.9787234042553191,0.9574468085106383,0.9716312056737588
2008,32.0,0.625,0.9716312056737588,0.9716312056737588,0.9716312056737588
2009,29.0,0.4482758620689655,0.9408983451536643,0.9408983451536643,0.9432624113475178
2010,28.0,0.5,0.6950354609929078,0.5981087470449172,0.6004728132387707
2011,41.0,0.5853658536585366,0.6572104018912529,0.6335697399527187,0.6193853427895981
2012,43.0,0.4186046511627907,0.7966903073286052,0.5862884160756501,0.5981087470449172
2013,45.0,0.7555555555555555,0.789598108747045,0.7825059101654847,0.7943262411347518
2014,43.0,0.6046511627906976,0.5650118203309693,0.5626477541371159,0.5602836879432624
2015,43.0,0.5581395348837209,0.9550827423167849,0.9550827423167849,0.9550827423167849
2016,61.0,0.5409836065573771,0.5768321513002365,0.5791962174940898,0.5815602836879432
2017,72.0,0.5416666666666666,0.5650118203309693,0.5650118203309693,0.5673758865248227
2018,78.0,0.6923076923076923,0.5650118203309693,0.5650118203309693,0.5650118203309693
2019,69.0,0.6231884057971014,0.7565011820330969,0.7470449172576832,0.75177304964539
2020,71.0,0.6338028169014085,0.6501182033096927,0.6548463356973995,0.6501182033096927
Total,813.0,0.5904059040590406,0.7531484534703503,0.7357916132352812,0.7369576532644759
