,n,Obs,No dummies,Alkalinity,Brown,Saline,Deep,DK2,"Saline, Alkalinity","Saline, Brown","Saline, Deep","Saline, DK2","Saline, Brown, Alkalinity","Saline, Brown, Deep","Saline, Brown, DK2"
1989,5.0,0.4,0.9929078014184397,0.9905437352245863,0.9881796690307328,0.9787234042553191,0.9858156028368794,0.9905437352245863,0.9810874704491725,0.9739952718676123,0.9739952718676123,0.9881796690307328,0.9739952718676123,0.9787234042553191,0.9763593380614657
1990,3.0,0.6666666666666666,0.9976359338061466,0.9976359338061466,0.9976359338061466,0.9929078014184397,0.9976359338061466,0.9976359338061466,0.9952718676122931,0.9952718676122931,0.9929078014184397,0.9976359338061466,0.9976359338061466,0.9976359338061466,0.9976359338061466
1991,3.0,0.0,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9763593380614657,0.9929078014184397,0.9929078014184397
1992,5.0,0.8,0.9976359338061466,0.9976359338061466,0.9976359338061466,0.9976359338061466,0.9905437352245863,0.9929078014184397,0.9976359338061466,0.9976359338061466,0.9905437352245863,0.9976359338061466,0.9929078014184397,0.9858156028368794,0.983451536643026
1993,4.0,0.75,0.9645390070921985,0.9550827423167849,0.9479905437352246,0.9716312056737588,0.9550827423167849,0.966903073286052,0.9621749408983451,0.9716312056737588,0.9550827423167849,0.9716312056737588,0.9976359338061466,0.9527186761229315,0.9456264775413712
1994,8.0,0.625,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929078014184397
1995,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9976359338061466,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1996,2.0,0.5,0.9952718676122931,0.9952718676122931,0.9976359338061466,0.9976359338061466,0.9976359338061466,0.9976359338061466,0.9976359338061466,0.9976359338061466,0.9976359338061466,0.9976359338061466,0.9976359338061466,0.9976359338061466,0.9976359338061466
1997,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9976359338061466,1.0,1.0
1998,10.0,0.6,0.9858156028368794,0.9881796690307328,0.9810874704491725,0.9881796690307328,0.9881796690307328,0.9905437352245863,0.9881796690307328,0.9881796690307328,0.9881796690307328,0.983451536643026,0.9621749408983451,0.9858156028368794,0.9858156028368794
1999,6.0,0.8333333333333334,0.9881796690307328,0.9881796690307328,0.9881796690307328,0.9881796690307328,0.9716312056737588,0.9881796690307328,0.983451536643026,0.9763593380614657,0.9763593380614657,0.9881796690307328,0.9858156028368794,0.9881796690307328,0.9858156028368794
2000,8.0,0.625,0.8628841607565012,0.9290780141843972,0.8959810874704491,0.8250591016548463,0.9125295508274232,0.8628841607565012,0.8817966903073287,0.8439716312056738,0.8841607565011821,0.8274231678486997,0.8605200945626478,0.8888888888888888,0.8605200945626478
2001,11.0,0.8181818181818182,0.9787234042553191,0.9905437352245863,0.9905437352245863,0.9810874704491725,0.9929078014184397,0.9787234042553191,0.9810874704491725,0.9716312056737588,0.9929078014184397,0.9479905437352246,0.9621749408983451,0.9905437352245863,0.9905437352245863
2002,7.0,0.7142857142857143,0.9952718676122931,0.9952718676122931,0.9952718676122931,0.9952718676122931,0.9952718676122931,0.9952718676122931,0.9952718676122931,0.9952718676122931,0.9952718676122931,0.9952718676122931,0.9952718676122931,0.9952718676122931,0.9952718676122931
2003,5.0,0.4,0.9810874704491725,0.9929078014184397,0.9929078014184397,0.9692671394799054,0.9929078014184397,0.9432624113475178,0.9196217494089834,0.966903073286052,0.9929078014184397,0.9598108747044918,0.9125295508274232,0.9929078014184397,0.983451536643026
2004,16.0,0.4375,0.9739952718676123,0.9739952718676123,0.9739952718676123,0.9763593380614657,0.9739952718676123,0.9739952718676123,0.9739952718676123,0.9739952718676123,0.9763593380614657,0.9763593380614657,0.9739952718676123,0.9739952718676123,0.9763593380614657
2005,21.0,0.42857142857142855,0.9621749408983451,0.9598108747044918,0.9574468085106383,0.9645390070921985,0.9574468085106383,0.9574468085106383,0.9645390070921985,0.9598108747044918,0.9598108747044918,0.9574468085106383,0.950354609929078,0.9408983451536643,0.9456264775413712
2006,15.0,0.5333333333333333,0.983451536643026,0.983451536643026,0.983451536643026,0.983451536643026,0.983451536643026,0.983451536643026,0.9598108747044918,0.983451536643026,0.983451536643026,0.983451536643026,0.9550827423167849,0.983451536643026,0.983451536643026
2007,24.0,0.625,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9574468085106383,0.9787234042553191,0.9787234042553191,0.9550827423167849,0.9716312056737588,0.9787234042553191,0.9787234042553191,0.9621749408983451,0.9787234042553191,0.9787234042553191
2008,32.0,0.625,0.9716312056737588,0.9716312056737588,0.9716312056737588,0.9716312056737588,0.9716312056737588,0.9716312056737588,0.9716312056737588,0.9716312056737588,0.9716312056737588,0.9716312056737588,0.9716312056737588,0.9716312056737588,0.9716312056737588
2009,29.0,0.4482758620689655,0.9408983451536643,0.9408983451536643,0.9479905437352246,0.9408983451536643,0.9479905437352246,0.9196217494089834,0.9385342789598109,0.9432624113475178,0.9432624113475178,0.91725768321513,0.9479905437352246,0.9479905437352246,0.9267139479905437
2010,28.0,0.5,0.6950354609929078,0.7163120567375887,0.6572104018912529,0.5981087470449172,0.6524822695035462,0.7328605200945626,0.7588652482269503,0.6004728132387707,0.6122931442080378,0.6690307328605201,0.7588652482269503,0.6122931442080378,0.6382978723404256
