wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,2.3070202484171576,1.9552054967172292,2.0107599125714946,1.9116030549171312,1.8185722811096112,1.6275500985994475,1.747690094470082,1.61307060384427,1.4683124140512536,1.656812069747054,1.8685099224211423,2.1551411508764433,2.2948963997154967,2.232254681814097,2.212022110443412,2.0821728874102754,1.9734980757033278,1.9291508497427146,2.1453261665204346,2.0169023705789066,2.1328202964057916,2.1663078350938565,2.4263130873078467,2.760628259966872,2.973930789138956,3.3430956133293415,3.2628393828496796,3.3604919696416005,3.3414509829679657,3.562232760321096,3.3872535108502704,3.6040764834568315,3.2421006064615865,3.084208273558184,3.093197920020048,3.092794539551762,3.0435544831399484
3,1.6805785949528367,1.4755864114028943,1.5223052758482738,1.3940863762578912,1.3874464851763029,1.3069288205480887,1.4368672409214454,1.364283711857583,1.2355242826038093,1.256590523381282,1.3568419332066466,1.3571847178557348,1.4097908930093648,1.4967530492909649,1.4399090746696754,1.494370627896465,1.584562037025386,1.549516498796948,1.6183919498773858,1.697247537062724,1.7824862855785475,1.6978132452236294,1.6782643421623926,1.7573585601294788,1.6576196929872906,1.4579083002527244,1.5679482769001098,1.5675629547415915,1.3721116914563356,1.3268619122498901,1.365854820234469,1.3063608698081837,1.4425695483924252,1.6604878793252147,1.775302668998977,1.8735464218015399,1.9006159421217843
5,0.9225306359994138,0.8960187376652868,0.9740536086700725,1.1083909439367492,1.1828246318101925,1.1595947204360109,1.296074392158688,1.330577447904488,1.305582844344468,1.2300534121052376,1.2696926447231047,1.254893419592441,1.3440578200821864,1.380920526511329,1.3135479986023644,1.4014726587702881,1.4641577559504229,1.410434662083988,1.4930069055699615,1.7057403358408387,1.8119077735449793,1.9408322417132162,1.9337530065891042,1.9155812903540355,1.829655668169163,1.6920438297181366,1.6212098439238396,1.6482444269733567,1.7265845593244158,1.611358265200036,1.0419809446857027,0.6362283100070338,0.7045750012588081,0.4307944662508567,0.5682102719535076,1.0323861793088551,1.3765149057451402
8,2.2769938714637985,1.9421495406680969,1.9563514682067449,1.7810180060771779,1.7062126368708816,1.510566338647542,1.6355439624821215,1.5049127411110959,1.3804004403322936,1.5045153957461115,1.6727870002051553,1.7857010752628235,1.9255700202138768,1.9139855549782396,1.8513072786278877,1.8209174034111384,1.8363501676981713,1.7671274291515346,1.953407245036189,1.923191019963331,2.0064762306667863,2.006818627224372,2.1707906266384267,2.329270006870982,2.4413488962335212,2.5754849982554524,2.557874471744747,2.655828951695941,2.6202900286737503,2.740480410295425,2.654127072178271,2.756243481733132,2.558307903718334,2.5674226162115863,2.586594916401806,2.6323869549554884,2.633689185878618
9,2.2016892552096117,1.8985693843169447,1.9472529824802707,1.9059752295739862,1.7832354617368025,1.6000043567496225,1.7006198746320471,1.586413245914419,1.4618344548967648,1.623066123329495,1.8586308350983192,2.141551865399151,2.2658827168077784,2.196670681605186,2.212727192104514,2.116042201942721,2.013605884002728,1.9801973559289792,2.0785259965394864,1.9431182112351677,2.026275426706145,2.1144727923073487,2.383718945517905,2.638168696546408,2.8219767572924974,3.086504255435652,2.9499095649680482,3.021259209540242,3.197734605835262,3.462188570462364,3.3398024447514962,3.540317638148637,3.1985136849087894,2.9076554875507687,2.9076554875507687,2.9077025917564305,2.825170033838921
11,1.637224013518659,1.4343472039888137,1.4863217041588423,1.368923100002262,1.367368612792459,1.286989915770578,1.4222496791095511,1.349943867050071,1.2470249884434508,1.2701862937098647,1.3761236651870683,1.3667337525484222,1.4149001227454725,1.480988230657378,1.4146188887216504,1.4693303884712026,1.5700952517955045,1.5318010607118548,1.62010949728921,1.7062902265033117,1.7915402758291112,1.7265915550935436,1.7187750983565055,1.7366067508547083,1.6321215057519995,1.4217982183016953,1.513366290538912,1.506974496824634,1.355348149582138,1.3102891025583805,1.3540906261312595,1.285639197001944,1.4291466906359684,1.628355606315618,1.748921436422836,1.8479823515121854,1.8807331495548836
12,1.6590711319159441,1.4049752431063107,1.5252493624191321,1.365767416301541,1.3523917030084047,1.3153880457500526,1.4946717852566138,1.3846485778207096,1.2885882984508055,1.4017914652086287,1.617650873573335,1.7490734463712208,1.7617733392293977,1.8047436875876932,1.7233634002178444,1.3107086923542248,1.2981802834016196,1.400324062398455,1.457018891646141,1.4954931550402404,1.9574908670346134,1.9307754483472894,1.926885912222469,2.192621219369785,2.2232653410129637,2.1560948077652546,2.186504487647187,2.184304391418816,1.9579327939646471,1.937153542976845,2.142326364230181,2.1109511670137646,2.135344682277814,2.2188283944709735,2.4564837971640854,2.3206047464551065,2.4290821908309486
14,3.7885357704942066,3.841401827870655,3.873121462296524,3.77395584997007,4.0,4.0,3.8,3.8,3.6,3.4,3.4,3.6,3.6,3.6,3.4,3.2,3.2,3.0,3.0,3.2,3.2,3.0,3.0,3.2,3.2,3.2,3.0696655277478784,3.0696655277478784,2.875103539089486,3.0751035390894854,3.3483312672609613,3.6786657395130837,3.376038803217855,3.5706007918762475,3.4197248343506432,3.1831213827239586,2.9108285102986113
16,2.602852151200333,2.245507120328953,2.376904252486198,2.1612004072141207,2.0518767275010235,1.7577197255149648,1.8077363082132145,1.5275172459725415,1.4581535996985926,1.5845119722489447,1.9588535602588493,2.2529468364602807,2.459083690744463,2.2938245337100835,2.4692431953220995,2.3781903289340556,2.599386064491412,2.63547719386466,2.794954728537679,2.507875534199761,2.898492132889205,2.456538503095788,2.6692948362354456,2.9431097601247673,3.1356387105385446,3.23941677000303,3.6813703997964473,3.658223955050448,3.8520613784565705,4.183675128957903,3.6708678022996466,3.5297023516256387,3.5975849855921878,3.342960075066288,3.2182268344194624,3.5340701270165416,3.614035920478735
17,1.406293497001081,1.240082456419797,1.3657162219975008,1.3573030125263212,1.353344961325036,1.310555403746985,1.441785609801571,1.371372787432315,1.315089246451839,1.3699821738000968,1.5226946886464905,1.6259841033978162,1.6515912962026733,1.6479653753702483,1.6182531001707658,1.6116378425785307,1.6449522523470939,1.6205885682733456,1.7021863949553429,1.7303355579368684,1.8327154253963134,1.8268133506626878,1.8935049154604293,1.9231545357635547,1.8580060573748127,1.765668968037571,1.780776628835507,1.748696837962902,1.7373572850114538,1.7727369458890105,1.7626173132920215,1.7381853671098297,1.8026806028121936,1.8033272142506842,1.890337877502931,1.9520247189798328,1.9345370629868064
