,n,No dummies,Saline,"Saline, Brown","Saline, Brown, Alkalinity",? dummies
1989,106,0.5,0.547169811,0.556603774,0.528301887,0.028301887
1990,113,0.389380531,0.398230088,0.371681416,0.362831858,-0.026548673
1991,103,0.310679612,0.32038835,0.32038835,0.233009709,-0.077669903
1992,95,0.389473684,0.431578947,0.4,0.431578947,0.042105263
1993,105,0.466666667,0.476190476,0.419047619,0.304761905,-0.161904762
1994,113,0.221238938,0.221238938,0.221238938,0.247787611,0.026548673
1995,113,0.309734513,0.283185841,0.274336283,0.292035398,-0.017699115
1996,100,0.4,0.38,0.45,0.37,-0.03
1997,123,0.349593496,0.390243902,0.398373984,0.43902439,0.089430894
1998,126,0.373015873,0.380952381,0.380952381,0.412698413,0.03968254
1999,137,0.379562044,0.386861314,0.357664234,0.372262774,-0.00729927
2000,127,0.346456693,0.338582677,0.37007874,0.362204724,0.015748031
2001,129,0.403100775,0.410852713,0.387596899,0.418604651,0.015503876
2002,127,0.322834646,0.307086614,0.322834646,0.307086614,-0.015748032
2003,120,0.358333333,0.4,0.391666667,0.425,0.066666667
2004,134,0.298507463,0.298507463,0.305970149,0.313432836,0.014925373
2005,142,0.309859155,0.330985915,0.338028169,0.352112676,0.042253521
2006,126,0.26984127,0.285714286,0.333333333,0.388888889,0.119047619
2007,129,0.263565891,0.286821705,0.279069767,0.271317829,0.007751938
2008,127,0.275590551,0.267716535,0.25984252,0.31496063,0.039370079
2009,133,0.263157895,0.293233083,0.278195489,0.285714286,0.022556391
2010,102,0.480392157,0.441176471,0.480392157,0.470588235,-0.009803922
2011,134,0.462686567,0.5,0.47761194,0.47761194,0.014925373
2012,133,0.22556391,0.443609023,0.45112782,0.428571429,0.203007519
2013,139,0.510791367,0.517985612,0.532374101,0.517985612,0.007194245
2014,141,0.503546099,0.517730496,0.510638298,0.581560284,0.078014185
2015,128,0.3203125,0.328125,0.328125,0.3203125,0
2016,159,0.742138365,0.704402516,0.72327044,0.72327044,-0.018867925
2017,166,0.740963855,0.728915663,0.734939759,0.722891566,-0.018072289
2018,161,0.701863354,0.708074534,0.714285714,0.708074534,0.00621118
2019,152,0.256578947,0.263157895,0.282894737,0.276315789,0.019736842
2020,152,0.342105263,0.348684211,0.361842105,0.342105263,0
Total,4095,0.397557998,0.411477411,0.414163614,0.415140415,0.017582417
