,n,No dummies,Saline,"Saline, Brown"
1989,5.0,0.2,0.2,0.2
1990,3.0,0.0,0.0,0.0
1991,3.0,0.0,0.0,0.0
1992,5.0,0.2,0.2,0.0
1993,4.0,0.25,0.25,0.25
1994,8.0,0.0,0.0,0.0
1995,2.0,0.0,0.0,0.0
1996,2.0,0.0,0.0,0.0
1997,3.0,0.0,0.0,0.6666666666666666
1998,10.0,0.2,0.2,0.2
1999,6.0,0.0,0.0,0.0
2000,8.0,0.0,0.125,0.125
2001,11.0,0.2727272727272727,0.2727272727272727,0.2727272727272727
2002,7.0,0.2857142857142857,0.2857142857142857,0.2857142857142857
2003,5.0,0.4,0.2,0.4
2004,16.0,0.125,0.125,0.125
2005,21.0,0.2857142857142857,0.2857142857142857,0.2857142857142857
2006,15.0,0.2,0.26666666666666666,0.26666666666666666
2007,24.0,0.20833333333333334,0.20833333333333334,0.25
2008,32.0,0.21875,0.21875,0.21875
2009,29.0,0.10344827586206896,0.13793103448275862,0.13793103448275862
2010,28.0,0.42857142857142855,0.42857142857142855,0.4642857142857143
2011,41.0,0.5121951219512195,0.5121951219512195,0.5121951219512195
2012,43.0,0.23255813953488372,0.6744186046511628,0.6744186046511628
2013,45.0,0.4666666666666667,0.4666666666666667,0.4
2014,43.0,0.6511627906976745,0.6511627906976745,0.6511627906976745
2015,43.0,0.18604651162790697,0.18604651162790697,0.18604651162790697
2016,61.0,0.9016393442622951,0.8688524590163934,0.9016393442622951
2017,72.0,0.9027777777777778,0.8888888888888888,0.8888888888888888
2018,78.0,0.9358974358974359,0.9358974358974359,0.9230769230769231
2019,69.0,0.2028985507246377,0.18840579710144928,0.2318840579710145
2020,71.0,0.30985915492957744,0.30985915492957744,0.323943661971831
Total,813.0,0.45141451414514144,0.47232472324723246,0.4797047970479705
