,n,No dummies,Alkalinity,Brown,Saline,Deep,DK2,"Saline, Alkalinity","Saline, Brown","Saline, Deep","Saline, DK2","Saline, Brown, Alkalinity","Saline, Brown, Deep","Saline, Brown, DK2"
1989,5.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1990,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,5.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.4,0.4,0.2
1993,4.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1994,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666
1998,10.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1999,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,8.0,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0,0.0
2001,11.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727
2002,7.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
2003,5.0,0.4,0.4,0.2,0.2,0.2,0.6,0.6,0.4,0.2,0.6,0.6,0.2,0.2
2004,16.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2005,21.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.3333333333333333
2006,15.0,0.2,0.2,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.2,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.2,0.26666666666666666,0.26666666666666666,0.13333333333333333
2007,24.0,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.25,0.25,0.20833333333333334,0.20833333333333334,0.25,0.20833333333333334,0.25
2008,32.0,0.21875,0.21875,0.21875,0.21875,0.21875,0.21875,0.21875,0.21875,0.21875,0.21875,0.21875,0.21875,0.21875
2009,29.0,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.13793103448275862,0.10344827586206896,0.10344827586206896,0.13793103448275862,0.13793103448275862,0.10344827586206896,0.10344827586206896,0.13793103448275862,0.10344827586206896,0.10344827586206896
2010,28.0,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.5,0.5,0.4642857142857143,0.4642857142857143,0.42857142857142855
2011,41.0,0.5121951219512195,0.4878048780487805,0.4878048780487805,0.5121951219512195,0.4634146341463415,0.4878048780487805,0.5365853658536586,0.5121951219512195,0.5121951219512195,0.5121951219512195,0.5121951219512195,0.4878048780487805,0.5365853658536586
2012,43.0,0.23255813953488372,0.2558139534883721,0.2558139534883721,0.6744186046511628,0.23255813953488372,0.23255813953488372,0.5581395348837209,0.6744186046511628,0.23255813953488372,0.3953488372093023,0.6046511627906976,0.3023255813953488,0.5581395348837209
2013,45.0,0.4666666666666667,0.4666666666666667,0.37777777777777777,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4,0.4666666666666667,0.4444444444444444,0.4,0.4222222222222222,0.4
2014,43.0,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.6744186046511628,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.6976744186046512,0.627906976744186,0.627906976744186
2015,43.0,0.18604651162790697,0.18604651162790697,0.18604651162790697,0.18604651162790697,0.18604651162790697,0.18604651162790697,0.18604651162790697,0.18604651162790697,0.18604651162790697,0.18604651162790697,0.18604651162790697,0.18604651162790697,0.18604651162790697
2016,61.0,0.9016393442622951,0.8688524590163934,0.9016393442622951,0.8688524590163934,0.9016393442622951,0.8688524590163934,0.8524590163934426,0.9016393442622951,0.8852459016393442,0.8524590163934426,0.8688524590163934,0.9016393442622951,0.9016393442622951
2017,72.0,0.9027777777777778,0.875,0.9027777777777778,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8611111111111112,0.875,0.875,0.8472222222222222,0.875
2018,78.0,0.9358974358974359,0.9358974358974359,0.9358974358974359,0.9358974358974359,0.9358974358974359,0.9358974358974359,0.9358974358974359,0.9230769230769231,0.9102564102564102,0.9230769230769231,0.9358974358974359,0.9230769230769231,0.9230769230769231
2019,69.0,0.2028985507246377,0.2318840579710145,0.2463768115942029,0.18840579710144928,0.2463768115942029,0.30434782608695654,0.2028985507246377,0.2318840579710145,0.2318840579710145,0.2608695652173913,0.2318840579710145,0.2463768115942029,0.2608695652173913
2020,71.0,0.30985915492957744,0.29577464788732394,0.30985915492957744,0.30985915492957744,0.29577464788732394,0.30985915492957744,0.30985915492957744,0.323943661971831,0.29577464788732394,0.30985915492957744,0.30985915492957744,0.323943661971831,0.323943661971831
Total,813.0,0.45141451414514144,0.45141451414514144,0.45018450184501846,0.47232472324723246,0.4489544895448955,0.46002460024600245,0.47232472324723246,0.4797047970479705,0.44772447724477243,0.46248462484624847,0.47724477244772445,0.45264452644526443,0.4698646986469865
