wb,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0
3,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.0
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,2.0,,,3.0,,,,3.0
14,,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,,3.0,,4.0,,4.0,,4.0,
16,,,,,,,,,,,,,,,,,,4.0,,,,4.0,,,,,,4.0,,,,,,4.0,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,1.0,,,,
19,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,2.0,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,3.0,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,3.0,,
23,,,,,,,,,,,,,,,,,0.0,,,1.0,,,1.0,,,,,,0.0,,,,,,1.0,
24,,,,,,,,,,,,,,,,,,4.0,,,3.0,,,,4.0,,,,,,4.0,,,,,
26,,,3.0,,,,,,,,2.0,,,,3.0,,,,,,,2.0,,,4.0,,3.0,,,,2.0,,3.0,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,,3.0,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,,4.0
30,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,1.0
32,,4.0,,,,,2.0,,,,,2.0,,,,,,,,,,4.0,,4.0,,,4.0,,,,,,,,,4.0
33,,,,,3.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,,,
34,,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,
