wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,4.0
3,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,48.0,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,112.0,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,7.0
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,2.0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,111.0,,,,,,26.0,,,,,,29.0,,,23.0,,,,19.0
14,,,6.0,5.0,5.0,6.0,5.0,6.0,9.0,6.0,10.0,8.0,5.0,6.0,5.0,8.0,14.0,11.0,6.0,10.0,7.0,10.0,7.0,9.0,7.0,4.0,8.0,9.0,,7.0,,6.0,,6.0,,6.0,
16,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,,,,,,3.0,,,,,,11.0,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,15.0,,,29.0,,,,
19,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,71.0,,,,,,14.0,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,11.0,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,16.0,,
23,,,,,,,,,,,,,,,,,,156.0,,,86.0,,,63.0,,,,,,206.0,,,,,,86.0,
24,,,,,,,,,,,,,,,,,,,5.0,,,13.0,,,,3.0,,,,,,8.0,,,,,
26,11.0,,,7.0,,,,,,,,12.0,,,,9.0,,,,,,,13.0,,,4.0,,7.0,,,,19.0,,7.0,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,12.0,,17.0,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,3.0,,,,,,5.0
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,32.0,,,27.0
32,,,8.0,,,,,45.0,,,,,35.0,,,,,,,,,,7.0,,9.0,,,7.0,,,,,,,,,9.0
33,,,,,,23.0,,,,,,,,,,,,,,,,,,,19.0,,,,,,14.0,,,,,,
34,193.0,,,258.0,,,100.0,,,310.0,,175.0,,,131.0,,,,,,,157.0,,,,,,185.0,,,,,294.0,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,124.0,,,,,
36,,,,,,,,,72.0,,,,,50.0,,,,32.0,,,16.0,,,10.0,,,,,,21.0,,,,,,10.0,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.0,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,,,
