wb,ov_typ,distr_id,na_kun_stm,length,Basis
1,RW2,DK2,Stærkt modificeret,3.01099580831084,1.0
2,RW1,DK1,Naturlig,1.6192725651291213,2.0
3,RW2,DK1,Naturlig,17.343906422230702,4.0
4,RW2,DK1,Naturlig,9.70983447133878,4.0
5,RW2,DK1,Naturlig,10.959302536806398,3.0
7,RW1,DK1,Naturlig,3.040429019716058,3.0
10,RW1,DK1,Stærkt modificeret,1.3644713291149326,
14,RW2,DK1,Kunstig,1.0927885326789253,
15,RW1,DK1,Naturlig,2.5864231394394883,
16,RW1,DK1,Naturlig,14.07985988450508,4.0
19,RW2,DK1,Naturlig,12.930022888500238,4.0
20,RW2,DK1,Naturlig,15.311239145497453,3.0
21,RW2,DK1,Naturlig,20.037834364565807,3.0
24,RW2,DK1,Naturlig,12.264096109843853,4.0
25,RW2,DK3,Naturlig,14.04175250946162,3.0
26,RW1,DK1,Naturlig,2.5963666573464206,
27,RW2,DK1,Naturlig,12.562802535260046,3.0
30,RW1,DK1,Naturlig,0.16660271972732155,
32,RW2,DK1,Naturlig,11.807403180864329,4.0
34,RW2,DK1,Naturlig,16.807014742297884,3.0
36,RW1,DK1,Naturlig,0.2866676930413073,
37,RW1,DK1,Stærkt modificeret,1.0929407678797842,
38,RW3,DK1,Naturlig,33.173584927877386,4.0
40,RW1,DK1,Naturlig,21.571789869787146,3.0
43,RW1,DK1,Kunstig,1.2689047032550689,3.0
45,RW2,DK1,Naturlig,22.723506977699575,3.0
48,RW2,DK1,Stærkt modificeret,1.307392274984995,
51,RW3,DK1,Naturlig,51.63768897281084,2.0
52,RW1,DK1,Naturlig,0.2591281426499488,3.0
53,RW1,DK1,Naturlig,21.2017256967018,3.0
56,RW2,DK1,Naturlig,18.226633520317872,2.0
58,RW2,DK1,Naturlig,17.633406893485105,2.0
59,RW1,DK1,Naturlig,16.72901286606399,3.0
60,RW2,DK1,Naturlig,14.189692704964436,4.0
63,RW2,DK1,Naturlig,17.517902336395586,4.0
65,RW2,DK1,Naturlig,15.68454452197226,3.0
66,RW2,DK1,Naturlig,20.19629596825522,4.0
68,RW2,DK1,Naturlig,11.443551676778856,3.0
69,RW2,DK3,Naturlig,20.4436169869344,3.0
72,RW3,DK1,Naturlig,19.893414012116832,4.0
81,RW1,DK1,Naturlig,0.04865669210642965,3.0
86,RW1,DK1,Stærkt modificeret,1.3789960940240176,
87,RW2,DK1,Naturlig,23.83098600682132,3.0
89,RW1,DK1,Naturlig,13.761244843043063,2.0
93,RW1,DK2,Naturlig,12.628244642623136,2.0
96,RW2,DK1,Naturlig,21.345370043174714,2.0
99,RW3,DK1,Naturlig,25.89767096255886,4.0
100,RW2,DK2,Naturlig,11.504082490819282,2.0
102,RW2,DK1,Naturlig,24.345332364586586,3.0
103,RW2,DK1,Naturlig,15.655280733066757,2.0
105,RW2,DK1,Naturlig,15.141268485840857,3.0
107,RW1,DK1,Naturlig,0.25009322296822495,
109,RW1,DK2,Naturlig,0.2953548176809324,3.0
110,RW1,DK1,Naturlig,15.118235325351446,4.0
113,RW1,DK1,Kunstig,0.5011938580776051,3.0
115,RW1,DK1,Naturlig,17.757030607878782,3.0
117,RW3,DK1,Naturlig,13.505779392823209,4.0
118,RW4,DK2,Naturlig,1.1764969162919787,
120,RW2,DK1,Stærkt modificeret,50.57457052033738,3.0
121,RW2,DK1,Naturlig,14.58383457671122,4.0
122,RW1,DK1,Naturlig,24.827328095704452,3.0
123,RW2,DK1,Naturlig,29.671250898515723,1.0
126,RW1,DK1,Naturlig,21.965088670711392,2.0
128,RW2,DK2,Stærkt modificeret,9.19475468275342,3.0
133,RW2,DK1,Naturlig,18.242329774209487,3.0
135,RW1,DK1,Stærkt modificeret,0.3050750776283248,
136,RW2,DK1,Naturlig,15.918344168102923,3.0
137,RW1,DK1,Stærkt modificeret,1.4501635599352931,
138,RW2,DK1,Naturlig,19.70755555364506,3.0
139,RW2,DK1,Naturlig,6.65315567125287,3.0
140,RW3,DK1,Naturlig,24.593571824519262,3.0
141,RW2,DK1,Naturlig,31.036839185887796,3.0
145,RW1,DK1,Naturlig,0.813289627729046,
146,RW1,DK1,Naturlig,0.24489959272523112,3.0
149,RW2,DK1,Naturlig,13.254928272834281,3.0
150,RW1,DK1,Naturlig,25.560242665053647,3.0
151,RW1,DK1,Naturlig,12.882341130249168,4.0
152,RW1,DK1,Naturlig,11.943047285621331,2.0
159,RW2,DK1,Naturlig,20.272424661179432,3.0
161,RW1,DK1,Naturlig,0.505459117844017,
163,RW2,DK1,Naturlig,18.288213900048117,4.0
165,RW2,DK1,Naturlig,13.02119725112468,3.0
167,RW2,DK1,Naturlig,28.07603646158538,4.0
168,RW1,DK1,Naturlig,0.05952828805324745,3.0
172,RW3,DK1,Naturlig,30.738790993756723,4.0
173,RW2,DK2,Naturlig,19.886381979331553,3.0
175,RW2,DK1,Naturlig,36.438945753216736,2.0
177,RW1,DK3,Naturlig,15.925644405298577,3.0
179,RW3,DK1,Naturlig,33.568025743214704,4.0
182,RW1,DK1,Naturlig,0.21434832705099968,
185,RW3,DK1,Naturlig,28.88046977079344,3.0
186,RW1,DK1,Naturlig,0.34547694127666123,4.0
188,RW2,DK1,Naturlig,23.374116177535008,3.0
192,RW2,DK1,Naturlig,17.742731496676896,3.0
195,RW2,DK2,Naturlig,25.76491427232407,2.0
197,RW1,DK1,Naturlig,0.5015295709658621,3.0
198,RW2,DK1,Stærkt modificeret,2.3345668122731533,
199,RW2,DK2,Naturlig,13.877658136876063,2.0
200,RW2,DK1,Naturlig,12.884133525619578,3.0
201,RW2,DK1,Naturlig,20.96702874463296,4.0
202,RW2,DK1,Naturlig,9.027625493279995,3.0
203,RW1,DK1,Naturlig,0.40153120311630447,3.0
207,RW2,DK1,Naturlig,26.624581016963937,3.0
208,RW2,DK4,Naturlig,29.445657241603357,3.0
