wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,2.2773782065757007,1.5988337455058819,1.4739419688409687,1.7809805272361827,1.5854145508627928,1.288796060024044,1.2344245652967896,1.0956276121606976,1.1974175070075077,1.0,1.062748907545446,0.9983641524990805,1.1557848662455932,1.0,1.1222193558025353,1.0,1.1354321529088356,0.9866377555794941,1.0,1.0842025028641018,1.2107398052634029,1.1194981981288668,1.1364025378682543,1.05051772599381,1.0,0.8918293627682647,0.8860151758507833,0.8248734249138447,1.0,0.9765269057795702,0.7238204328255575,0.8466377802526317,1.0,1.0564514310308013,1.3794687383665396,1.213475479704222,1.9571475742227522
2,2.2916598909050103,2.097027816968616,2.0405553436976454,2.060467791084915,2.0339231620087777,1.9203233953584835,1.8909450741782319,1.9258331295331317,1.9181198947473703,1.8368071650412645,1.7920145604546889,1.909616259380381,2.01530677638916,2.077710104539203,2.0,2.1999847508148953,2.13826612343739,1.9687334992006669,2.146476001304059,2.146444044072945,2.1328930393203844,2.1570466479047683,2.1024034982696653,2.096534185621387,2.110835168764936,2.1793438712179842,2.1301040757675267,2.1095609960079162,2.1674326153462005,2.118544285883986,2.0,2.144743598109212,2.2987918838700643,2.2913498541295994,2.3679539573011565,2.0,2.488666023678419
3,2.3001214810710047,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.070724113469989,3.3172884301026166,3.4087259513529578,3.2406334864134543,2.7359189656205984,3.2425953970606063,3.0,4.0,3.7345778178052385,4.0,3.0,4.0,3.1752514519400363,3.3478033240760183,3.2379809375379756,3.5552468178972525,2.890185453999805
4,3.0,3.0,2.48398177161396,2.0,2.0,3.0,3.0,3.0,3.310276883246999,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.3939236669503146,4.067039107966682,3.630574948456333,3.474075206522137,3.5793910230458486,3.6702673933350134,3.4894838842832847,3.7431177404235854,3.5264331692276354,4.002442321301885,4.0,3.947289930708031,3.8115659062484086,3.8759435216569615,3.656487556482226,3.8750824995356576,4.0,3.5138067771318964,3.9648809304000743,3.141506395431295
5,2.3965121955561517,2.5537878373739105,1.879451447266888,2.169472504591274,2.5610067611967366,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.02141481084901,3.375553894499742,3.386123077357581
7,2.334827251063393,2.316899234706902,2.259657784656359,2.1407608463786407,2.145361074539263,2.1961775559256616,2.206645983751698,2.2781559238917026,2.2842651246403847,2.284632849621566,2.229395733625296,2.2560364610536228,2.3029811018582826,2.415869141419509,2.4118057175380514,2.495559643976888,2.505998906265946,2.4868645871638364,2.5262447519755256,2.601573555371486,2.6121366905217798,2.680965907361487,2.640841713363229,2.7313117009245538,2.66494853104588,2.7985553691578193,3.0,2.9677378661293066,2.98283855831108,2.9492309840384623,2.9232789357350777,2.979144638520374,2.9374126973440124,2.967799654174385,2.8056888752615583,2.901071795562064,2.901617525620302
10,2.3134194211565564,2.122061275932918,2.096733862201931,2.113175029116309,2.1090184307396327,1.9945284688379523,2.0352816725925615,1.9691000786300066,2.0108187885876028,1.9956685420695948,1.9571502530841478,1.996213310183255,2.0581119474647647,2.171829354852211,2.180144403978801,2.234701803262423,2.111719093931921,2.239225501662588,2.206598068324368,2.191761777442924,2.2872022156930107,2.2333321379945037,2.1830345647429885,2.290398260592685,2.201121918139151,2.3315171607997947,2.28173119216914,2.386292065400591,2.398759864174977,2.46497326799732,2.361033709301924,2.460021377177835,2.398410392049002,2.3694007556607843,2.494127938514885,2.4400893357974276,2.5312199946457934
14,2.3185868659371516,2.0552530888991267,1.998016389737507,2.0078691871776977,2.047470437357281,1.9087215573164649,1.969124371110511,1.906293767774585,2.023418981488799,1.930577200997007,1.9760305639331364,1.9904215975339312,2.044969184711178,2.1237250664226095,2.16679535379847,2.1771570216754643,2.0904494519748127,2.168691285901204,2.1909103314568945,2.208168020018901,2.2006179311543175,2.2111530958927528,2.20124666627692,2.2125899448206816,2.1435530179418265,2.2693706823801723,2.225743381628824,2.3424957223309466,2.354650425406483,2.4449382602029006,2.336515182331529,2.402563775643525,2.324170416075877,2.3751101949885935,2.4856772346132283,2.494160844427995,2.587561232145745
15,2.3048152835497384,2.1781882806404766,2.178292697410099,2.1763215194632,2.1389999279394334,2.1288656986591654,2.116320686596594,2.137608932696409,2.173483595977004,2.162095850648406,2.091127193457048,2.1435046750169287,2.223877463102289,2.32518122279672,2.3486187819089466,2.4053588652215687,2.406477694096411,2.3618249771503486,2.424686077185509,2.451901240834337,2.4620140583332777,2.5116511804511212,2.471495705773078,2.508129046348838,2.4676457463671255,2.5826553936209518,2.5580594823130838,2.66630170870736,2.6808025736273393,2.6553024251070036,2.655591394849476,2.6818457200116868,2.743299736868687,2.769066045774352,2.6478382168285526,2.6571020807895955,2.7914779654223696
16,2.2858144250906833,2.865731805534274,2.4193002690171754,2.521467784557796,2.4177556239976123,2.6543406879109916,2.6767503637394583,2.6119870293969285,2.679233957142589,2.789636869756521,2.7587231262225167,2.7224475705437046,2.758376237520473,2.824019786941979,3.080307129399486,2.9809981299298336,2.9386780566654274,4.0,3.4482605246818743,3.357759024142304,3.498058149146326,3.4165759624093868,3.3396937590467513,3.0,4.0,3.6680452782861135,3.633841475795009,3.7744855210647774,3.8430565781527335,3.7995299525202464,4.0,3.80351621730145,3.8122971651363318,3.6394684049296373,3.552139153863439,3.7068988200929915,3.2363427373297298
19,2.235375421157524,2.5062360173865628,2.43433214686415,2.502663505622349,1.8819035539538564,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.048060900496939,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.772641084317894,4.0,3.976039585792222,3.433738357876217,3.3579204134865748,4.0,3.4125571938365447,3.4281309837989347
20,2.0820609274746134,2.420151698596719,2.2814418044475935,2.3003047978764317,2.3996743564689864,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.81141048783856,3.4345466662999833,3.1444140320732674
21,1.2055365860536535,2.920532668340279,2.370254975282047,1.4412967358917133,2.0361930575121097,2.0,2.0,3.0,3.0,2.1819047585763585,3.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.1366335970419073,2.0,2.5365136837544195,2.5212687371525497,3.0,2.907608022227082,2.9754584460789317,3.0,2.9828391360210347,2.8062032605152085,3.0,2.8443980073167907,3.5447288807313853,3.156449701068894,2.753697096582637,3.0845855722187387,4.0
24,2.049610028773499,2.0114768235619565,2.48575350951578,2.2222968545617943,2.2870127662426576,2.306941726167093,2.445309238621726,2.451864025379578,2.5742753156560205,2.7012092273685653,2.80206829806931,3.0,2.0,2.0,3.0,3.0,3.0,2.8332312928607166,3.0,3.093330670173607,2.9921964403768193,3.088023697473938,3.1951593407141035,3.0,3.0,3.200536028283958,3.3607604076980095,3.5811869917268897,3.7083528017387763,3.7979796580867538,4.0,3.7494857978453666,3.4214520232844765,3.721891610764594,3.1941800711462234,3.498356363054551,4.0
25,2.329156119990134,2.2335937670514543,2.187760936649117,2.1835111122731847,2.210719636464351,2.224123832543249,2.354116329366853,2.3468360584218857,2.405629728995013,2.3945901456601746,2.0,2.5534337208430538,3.0,2.6639412324311653,2.7824414301272284,3.0,3.0,2.7410769939195205,2.871352834041396,2.896118811095569,2.800314655616342,2.920058331822937,2.8304151673156763,2.8459459478569222,2.8620387705678496,3.0,3.0,3.1269725045093058,3.038749648339099,3.0570281782305857,2.9550912611798816,3.0540520490363363,3.071611346135556,3.0,3.0553228464443007,3.0659459122392043,3.0788380756813343
26,2.3048152835497384,2.1781882806404766,2.178292697410099,2.1763215194632,2.1389999279394334,2.1288656986591654,2.116320686596594,2.137608932696409,2.173483595977004,2.162095850648406,2.091127193457048,2.1435046750169287,2.223877463102289,2.32518122279672,2.3486187819089466,2.4053588652215687,2.406477694096411,2.3618249771503486,2.424686077185509,2.451901240834337,2.4620140583332777,2.5116511804511212,2.471495705773078,2.508129046348838,2.4676457463671255,2.5826553936209518,2.5580594823130838,2.66630170870736,2.6808025736273393,2.6553024251070036,2.655591394849476,2.6818457200116868,2.743299736868687,2.769066045774352,2.6478382168285526,2.6571020807895955,2.7914779654223696
27,2.338032690775179,1.9733730957656022,2.1292195052297846,2.249780776589442,2.240426759455037,2.1567986473067116,2.118903399542422,2.129696818915349,2.236827722347943,2.2676327027545113,2.2592541534441484,2.205469690544369,2.2747800846085173,2.3478878033835238,2.4819650029967804,2.360623971636569,2.4852752782564522,2.3951785844508606,2.4241265017459206,2.5443344572431332,2.4194825673726044,2.621636929750027,3.0,2.6134180378376293,2.0,3.0,2.6192562137619717,2.9769016251586766,2.929612851206805,2.961770681291843,2.967047500570941,3.0,2.609352252259288,2.938860629276249,2.7955246979223274,2.851951010340013,2.986932343176948
30,2.3048152835497384,2.1781882806404766,2.178292697410099,2.1763215194632,2.1389999279394334,2.1288656986591654,2.116320686596594,2.137608932696409,2.173483595977004,2.162095850648406,2.091127193457048,2.1435046750169287,2.223877463102289,2.32518122279672,2.3486187819089466,2.4053588652215687,2.406477694096411,2.3618249771503486,2.424686077185509,2.451901240834337,2.4620140583332777,2.5116511804511212,2.471495705773078,2.508129046348838,2.4676457463671255,2.5826553936209518,2.5580594823130838,2.66630170870736,2.6808025736273393,2.6553024251070036,2.655591394849476,2.6818457200116868,2.743299736868687,2.769066045774352,2.6478382168285526,2.6571020807895955,2.7914779654223696
32,2.3183455613430133,2.6023358303601754,2.487109817106884,2.5102764845036742,2.5907333721907664,2.688262610460125,2.877375576020083,3.071165125727063,3.141653387137204,3.2215823442638793,4.0,2.955359859500949,2.952593331509947,2.915322324485972,3.378178716764772,3.013046367430439,4.0,3.333449924403496,3.34812444822791,3.5163217675784377,3.294884501115149,3.476525756719481,3.832081322434692,3.7006833425748873,3.3592479012028633,3.576069271120529,3.6401702637206625,4.0,3.757740368340059,3.760538709322227,3.8743349971213954,3.942112736575389,3.414902933724352,3.651439266789801,4.0,3.745410311605692,3.443782256380237
34,2.2457618117333977,2.806640206152128,2.1394714106269745,1.7351131010439964,2.9639414739322762,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.192255696857403,3.124151403251865,2.999232838596627,3.0,3.0989651821909234,4.0,3.465865815240072,2.6240544823809016,3.2419681953970887,2.8785336112125823
36,2.328345617246649,2.206666762844538,2.2304025237048584,2.169890614625934,2.1804714306277937,2.155333684397931,2.0960488897202083,2.147680636346763,2.1736604460434386,2.150401929290055,2.0979368463058012,2.145516268939927,2.2262763431073918,2.337110297362922,2.3899457852632366,2.4034324183752194,2.4002259054174857,2.3633733889603263,2.4448533039610325,2.4488981553406504,2.4593098173192267,2.5122064744993633,2.466325267251145,2.5332222047373953,2.445164889753741,2.581465123706634,2.5562942678813414,2.67743354992483,2.7153476482582306,2.6734318429722146,2.659422879065459,2.6810642936865676,2.7561883818671276,3.0,2.625161247508742,2.719014801063569,2.8583057006996415
37,2.3134194211565564,2.122061275932918,2.096733862201931,2.113175029116309,2.1090184307396327,1.9945284688379523,2.0352816725925615,1.9691000786300066,2.0108187885876028,1.9956685420695948,1.9571502530841478,1.996213310183255,2.0581119474647647,2.171829354852211,2.180144403978801,2.234701803262423,2.111719093931921,2.239225501662588,2.206598068324368,2.191761777442924,2.2872022156930107,2.2333321379945037,2.1830345647429885,2.290398260592685,2.201121918139151,2.3315171607997947,2.28173119216914,2.386292065400591,2.398759864174977,2.46497326799732,2.361033709301924,2.460021377177835,2.398410392049002,2.3694007556607843,2.494127938514885,2.4400893357974276,2.5312199946457934
38,2.3061393051968335,2.553334179978485,2.799300006889187,3.8821159772823974,3.31305087687549,3.0,3.353977044981863,3.815525080836508,4.0,3.4733380806190226,3.430686323058005,3.299712536876732,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
40,2.3030887076194566,2.1614494673498736,2.568708237788172,2.5533109747734075,2.1099911382904786,2.0949688810969853,2.071456935606797,2.0029299515647523,2.3072369492665317,2.234879756756669,2.168781131334338,2.233233993732351,2.3188446301362404,2.4265993629531772,2.2960277975642143,2.413315112969613,2.4384695811785697,2.2700448746087147,2.5998331939670543,2.5490539565569303,2.0,3.0,2.5566773408851207,2.5871110416976997,2.5705825754679523,2.755731743074284,2.7275971227903995,2.8894086757717776,3.0,2.9478902944562373,3.0,3.0066124390524607,2.9478097617832364,2.948849039784257,2.76397655859937,2.862448021562198,3.005731224999083
43,2.3128338512695326,2.211080635253996,1.8817420506047564,2.361320254716169,2.165062453068299,2.011606360379691,2.020156970171805,2.013194110481635,1.9371857338661371,1.9643486714360918,1.9360321445320796,1.996881368706016,2.2420480717204416,2.270747650311634,2.2864816166506685,2.346946821041975,2.1912250554108788,2.2440487421683883,2.2213338525135846,2.2954211226591177,2.309349765190687,2.268656145173576,2.252150730107645,2.345519166272954,2.218152726975319,2.381129854804703,2.4590913320076666,2.556909230369074,2.5442037831759805,2.649529423673699,2.0,2.722177625705111,2.15448311766754,2.2550120511021063,2.4776296146764603,2.4375364017905277,2.3952465973529526
45,2.091990134576691,1.7476753675564254,1.3071424781398835,2.3918319037083795,2.3688507286211946,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.6337216061077457,3.0,3.1644616433424027
48,2.3185868659371516,2.0552530888991267,1.998016389737507,2.0078691871776977,2.047470437357281,1.9087215573164649,1.969124371110511,1.906293767774585,2.023418981488799,1.930577200997007,1.9760305639331364,1.9904215975339312,2.044969184711178,2.1237250664226095,2.16679535379847,2.1771570216754643,2.0904494519748127,2.168691285901204,2.1909103314568945,2.208168020018901,2.2006179311543175,2.2111530958927528,2.20124666627692,2.2125899448206816,2.1435530179418265,2.2693706823801723,2.225743381628824,2.3424957223309466,2.354650425406483,2.4449382602029006,2.336515182331529,2.402563775643525,2.324170416075877,2.3751101949885935,2.4856772346132283,2.494160844427995,2.587561232145745
51,2.3978478674444594,1.9993648963689132,1.3863855398571467,2.489403947390997,2.012886323147027,2.0593271893297818,1.5698661930287532,1.6559992079807984,2.0228252126652713,2.059491336628355,1.7386808250342263,1.7777830699959631,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.267598970267593,3.0,3.2134549679152493
52,2.275201729732804,2.392069071053097,0.9607375940484557,3.2216569252282654,2.1926894885055512,1.9697399013134707,1.769964649038899,2.05624769089836,1.5604182984004282,1.649368594041249,1.659686999638236,1.8574273870552735,2.8333876354349403,2.4946261668264462,2.5715625040256427,2.6864661837150496,2.4614480368159484,2.0148930179134936,2.128981382165289,2.543784406542848,2.150870652042091,2.190231652213247,2.2948738068453842,2.1963119584579722,2.0710881089216997,2.24223687466605,2.7644394277635413,2.6267629796728063,2.535686856514239,2.6632247068790997,0.0,3.0058174619845808,1.0128628974511575,1.6320219575598642,2.0350978501143997,2.062240159032015,1.8581956688062378
53,2.317326217338547,2.3753593789965723,2.2933871085761512,2.312389510604845,2.1540750220953813,2.2307046346349892,2.2191367805807936,2.27433650103616,2.189710700370604,2.2644394495960185,2.1743829702363566,2.226927619788932,2.3174331957534164,2.402361228878121,2.49098099894033,2.5440166865808624,2.5103355552772726,2.5687932162642113,2.5802722833145744,2.659474738452321,3.0,2.8872864479129077,2.7901515786219093,2.833662687031012,3.0,3.0,2.851462614979127,3.0,3.0164995532064225,3.0,2.9394300369533495,2.957748400198607,3.0151598327081532,2.9422670605517496,3.0078622915872346,2.9242995420267732,2.9035824321237267
56,2.4008402824512327,1.6782706910516865,1.8577078013458914,2.1685773671404913,2.0013192779032645,2.009671826167459,1.9463479737246594,1.534398536428526,1.5685319076371194,1.7071868170493616,1.905779307080131,1.8680791528605036,2.0,2.0,2.0,2.0,2.0,2.0,2.14354365361368,2.0,1.9002106525351898,1.9794864390007083,2.0,1.817717431628438,1.7167198782213546,2.0,2.039285563656364,2.2892075844726296,2.0,2.077781685852087,2.11054884775928,1.720669184897016,2.2357373211151192,2.497212016933915,1.0,2.421069727355672,3.0248405884786123
58,2.2779097266993498,1.5458385088863054,1.7574496617996513,1.378292975687494,1.4369782005456706,1.0,1.0,1.0,1.0,1.0396866935858213,0.8948484999796555,1.0,1.0,2.0,1.0,1.3828522629904203,1.0,1.2214189706717633,1.2587728556410553,1.4566755633179476,1.3300476989763563,1.6162248283595622,1.4365711782777932,1.5904193283966208,1.0,1.7945105658974327,1.7927391727320767,2.0543154163299047,2.0649798536440613,2.111675525602821,2.0,1.948675151823327,1.8179939379658392,2.113884131800603,1.481799678272206,1.8286362961887797,2.0782322649166316
59,2.30641525535784,2.2382217276750733,2.226314392419153,2.216376299569306,2.19954150117366,2.1971505136785545,2.1912655566054395,2.2183142784863747,2.2469513954688303,2.2666103794341694,2.1847203421370622,2.223924099860315,2.296233445309227,2.3916010584739142,2.4126405744577326,2.4669513763637436,2.4974672353332217,2.4655967024843335,2.526826441841717,2.5692037356675783,2.5823429959445328,2.6611477819145306,2.6305890509862477,2.6912618220020867,2.6160900266614107,2.761981081170207,2.7628669280954057,2.9348768512329517,2.9462255286426284,2.937600621380633,2.9420953233671066,3.0,2.9150136842528576,2.948863823341803,2.832186661465509,2.840112237407027,2.877621447378201
60,1.9529546558362836,2.461069685874598,2.8054558339182543,2.746177272809821,2.371357315470839,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.8771467737989376,3.4520396304561523,4.0,3.845846893191733,3.684404863427968,3.0,3.230922583075552,3.6479747305308905,4.053947967522655,3.642342186439784,3.9358143939314276,4.0,4.0177025777193975,3.505491913419158,3.7686623579464182,3.7103303823481744,4.029347023424332,4.0
63,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.2892070830386464,4.0,3.3487423382240222
65,2.327752280266486,2.202633302330028,2.2472776928696283,2.285751758337059,2.2201232621671414,2.1574503856562615,2.1362581648586643,2.090656811375908,2.138483517436647,2.2299256247378594,2.1019275657622103,2.2708770686228297,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.218577223769067,2.2869971030705862,2.501345399974754,2.554468373147901,2.5789094009910123,2.501127806082579,3.0,2.7111327405563515,2.9105140150131508,2.8703051294489867,2.9931587293642474,2.894840791747918,3.0,2.616803465188069,2.8260662918892834,2.7598391955525523,2.923752900755069,3.063798612285266
66,2.25139665142353,2.9792748401860685,2.7682445643962086,2.5318982592401134,2.048390164026521,2.6869526975592883,3.0,2.6226556361826425,2.580184684061088,2.876715442502899,3.0,2.736788105743618,2.426678361832227,2.3891276924991853,2.4808076403676367,2.6471552928275965,3.0260036844875486,3.205820053732424,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.070230389596804,3.7713089647834614,3.0870144349693596
68,2.3126396542143874,2.2557365630019284,2.2514964310777135,2.410343862651015,2.38041864854412,2.398746782397346,2.51323565011701,2.5409073783633573,2.5027318493640607,2.567302840311882,2.5400266021285294,2.637813243161612,3.0,3.0,3.0,3.0,3.0,2.8400648789238545,2.934973494641614,2.9669564313027106,3.0,2.981944453921588,2.9218725399144105,2.858903341532571,2.8564480539290997,2.944961532455027,2.878649719417794,3.0,2.9899679221082707,2.994153221443697,2.9716247297089984,2.991237868772025,3.084470269251115,3.0,3.014325566401655,3.0854557847176736,3.063552883968397
69,2.227791073427912,2.7595210636654564,2.2010969808538543,3.452225661692982,2.474006499070696,2.104859194562575,2.417633750415513,2.4524317198522567,3.1799785311255846,2.7588755080815446,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.08874685219864,3.0,3.107465222530649,3.0,4.0,4.0,3.1909071198646815
72,2.4329436241331774,2.396873271815636,2.3831365496832477,2.0830321701109527,2.2930077158219735,2.367604935987469,2.430371612519087,2.4817621174494064,2.5179372511179494,2.636487652140289,2.4930420476257904,2.481418016944432,2.4607529170613613,2.655701607714948,2.6779958173232146,2.564479293495179,2.8338702898927934,2.7904553034384776,2.9361425735290716,3.0043887185143348,2.9518125588467576,3.13619855505168,3.159778615731999,3.1964928442496294,3.0265855314964796,3.2714487441996436,3.3702567635353375,4.0,3.7487960289952227,3.7462202513496736,4.0,3.581872220862259,3.438088453162926,3.6368601975132364,3.1313843764136875,3.5186321479911165,3.2980271284740343
81,2.334827251063393,2.316899234706902,2.259657784656359,2.1407608463786407,2.145361074539263,2.1961775559256616,2.206645983751698,2.2781559238917026,2.2842651246403847,2.284632849621566,2.229395733625296,2.2560364610536228,2.3029811018582826,2.415869141419509,2.4118057175380514,2.495559643976888,2.505998906265946,2.4868645871638364,2.5262447519755256,2.601573555371486,2.6121366905217798,2.680965907361487,2.640841713363229,2.7313117009245538,2.66494853104588,2.7985553691578193,3.0,2.9677378661293066,2.98283855831108,2.9492309840384623,2.9232789357350777,2.979144638520374,2.9374126973440124,2.967799654174385,2.8056888752615583,2.901071795562064,2.901617525620302
