,n,Obs,No dummies,Typology,Typ & natural
1988,633.0,0.6066350710900474,0.8244069819483814,0.8184395046993883,0.8188870654930628
1989,591.0,0.6091370558375635,0.8764732209458451,0.8705057436968522,0.8690138743846039
1990,644.0,0.5714285714285714,0.8566313590929434,0.8532000596747725,0.8497687602566015
1991,593.0,0.6020236087689713,0.8408175443831121,0.8326122631657467,0.8354468148590184
1992,970.0,0.6247422680412371,0.8435029091451589,0.8344025063404445,0.8323138893032971
1993,1127.0,0.6202307009760426,0.8209756825302104,0.8166492615246904,0.8184395046993883
1994,1252.0,0.639776357827476,0.8123228405191705,0.8124720274503954,0.8130687751752946
1995,1329.0,0.6215199398043642,0.8047143070267044,0.8135163359689691,0.8075488587199762
1996,1290.0,0.6139534883720931,0.7966582127405639,0.7951663434283157,0.7962106519468894
1997,1289.0,0.6159813809154383,0.8117260927942712,0.8138147098314188,0.8156049530061167
1998,1394.0,0.6154949784791965,0.7933761002536178,0.7905415485603461,0.7924809786662689
1999,1700.0,0.6211764705882353,0.7453379083992242,0.7442935998806505,0.7435476652245263
2000,2206.0,0.5779691749773346,0.6356855139489781,0.6155452782336267,0.614500969715053
2001,2155.0,0.562877030162413,0.582127405639266,0.5857078919886618,0.5928688646874534
2002,2248.0,0.5458185053380783,0.5469192898702073,0.4897806952110995,0.5139489780695211
2003,2079.0,0.5271765271765272,0.461285991347158,0.48157541399373416,0.4957481724600925
2004,1806.0,0.5753045404208195,0.5824257795017157,0.5809339101894674,0.5824257795017157
2005,1600.0,0.518125,0.4398030732507832,0.4499477845740713,0.47918842309413695
2006,1506.0,0.5059760956175299,0.427271371027898,0.44233925108160527,0.4679994032522751
2007,1173.0,0.5038363171355499,0.4509920930926451,0.46770102938982544,0.4879904520364016
2008,990.0,0.4767676767676768,0.40190959271967774,0.40981650007459347,0.4360733999701626
2009,1014.0,0.45857988165680474,0.4077278830374459,0.4192152767417574,0.4456213635685514
2010,1167.0,0.4438731790916881,0.4208563329852305,0.4251827539907504,0.44696404594957484
2011,1385.0,0.5184115523465704,0.42294495002237803,0.428912427271371,0.4569595703416381
2012,1265.0,0.4679841897233202,0.37908399224227957,0.38848276890944355,0.4138445472176637
2013,1367.0,0.45574250182882226,0.37908399224227957,0.38818439504699387,0.4148888557362375
2014,1626.0,0.34071340713407133,0.354020587796509,0.359988065045502,0.3653587945695957
2015,1144.0,0.38986013986013984,0.3576010741459048,0.36759659853796806,0.3705803371624646
2016,1225.0,0.3689795918367347,0.3622258690138744,0.3667014769506191,0.36759659853796806
2017,1708.0,0.4385245901639344,0.36207668208264954,0.36625391615694464,0.37162464568103837
2018,1949.0,0.418163160595177,0.3534238400716097,0.36625391615694464,0.36401611218857227
2019,1363.0,0.39985326485693323,0.3027002834551693,0.2988214232433239,0.3067283305982396
2020,1350.0,0.3037037037037037,0.26256899895569147,0.27211696255408024,0.2771893182157243
2021,774.0,0.541343669250646,0.3195584066835745,0.33179173504401016,0.33328360435625837
2022,952.0,0.5861344537815126,0.31508279874682976,0.31970759361479933,0.3219453975831717
2023,339.0,0.35693215339233036,0.0917499627032672,0.08593167238549904,0.09756825302103536
Total,,0.5167044467512658,0.5319063210243279,0.5329036133619619,0.5421010921277926
