,n,Obs,No dummies,Small,Medium,Large,Soft bottom,Natural,DK2,"Soft bottom, Small","Soft bottom, Medium","Soft bottom, Large","Soft bottom, Natural","Soft bottom, DK2","Soft bottom, Natural, Small","Soft bottom, Natural, Medium","Soft bottom, Natural, Large","Soft bottom, Natural, DK2","Soft bottom, Natural, Large, Small","Soft bottom, Natural, Large, Medium","Soft bottom, Natural, Large, DK2"
1989,6.0,0.3333333333333333,0.9723196881091618,0.9680311890838208,0.9703703703703704,0.9715399610136451,0.9715399610136451,0.9715399610136451,0.971150097465887,0.9680311890838208,0.9692007797270956,0.9715399610136451,0.9715399610136451,0.9719298245614036,0.9688109161793372,0.9703703703703704,0.9707602339181286,0.971150097465887,0.968421052631579,0.9692007797270956,0.9715399610136451
1990,4.0,0.0,0.9766081871345028,0.9649122807017544,0.956335282651072,0.9715399610136451,0.9719298245614036,0.979337231968811,0.9715399610136451,0.9633528265107212,0.9571150097465888,0.971150097465887,0.979337231968811,0.967251461988304,0.9653021442495128,0.9660818713450292,0.9789473684210528,0.9723196881091618,0.9766081871345028,0.9773879142300196,0.978167641325536
1991,8.0,0.375,0.9750487329434698,0.97270955165692,0.9723196881091618,0.975438596491228,0.9758284600389864,0.979337231968811,0.975438596491228,0.9730994152046784,0.9723196881091618,0.975438596491228,0.9789473684210528,0.975438596491228,0.9762183235867448,0.9762183235867448,0.9797270955165692,0.9785575048732944,0.9762183235867448,0.9762183235867448,0.978167641325536
1992,14.0,0.5,0.9859649122807016,0.9676413255360624,0.9680311890838208,0.98635477582846,0.9859649122807016,0.9851851851851852,0.9805068226120858,0.9688109161793372,0.9688109161793372,0.9859649122807016,0.9851851851851852,0.9816764132553606,0.9668615984405458,0.9664717348927876,0.9859649122807016,0.9797270955165692,0.9820662768031188,0.9820662768031188,0.9840155945419105
1993,14.0,0.5,0.9734892787524366,0.9738791423001948,0.9730994152046784,0.971150097465887,0.9738791423001948,0.9734892787524366,0.971150097465887,0.9734892787524366,0.97270955165692,0.9723196881091618,0.9738791423001948,0.97270955165692,0.9730994152046784,0.9742690058479532,0.9719298245614036,0.9730994152046784,0.97270955165692,0.97270955165692,0.9653021442495128
1994,12.0,0.5833333333333334,0.9348927875243664,0.9216374269005848,0.9329434697855752,0.967251461988304,0.935672514619883,0.9489278752436648,0.925925925925926,0.9278752436647172,0.9282651072124756,0.9516569200779728,0.9407407407407408,0.928654970760234,0.927485380116959,0.945029239766082,0.953606237816764,0.945029239766082,0.9547758284600388,0.955945419103314,0.952046783625731
1995,10.0,0.6,0.9309941520467836,0.942300194931774,0.9364522417153996,0.9333333333333332,0.9247563352826512,0.9430799220272904,0.9325536062378168,0.9325536062378168,0.9321637426900584,0.923196881091618,0.9337231968810916,0.931384015594542,0.9403508771929824,0.9419103313840156,0.9333333333333332,0.9407407407407408,0.9407407407407408,0.941130604288499,0.942690058479532
1996,17.0,0.5294117647058824,0.9056530214424952,0.901364522417154,0.9037037037037036,0.9048732943469786,0.9083820662768032,0.9083820662768032,0.9009746588693958,0.901364522417154,0.9037037037037036,0.904093567251462,0.9083820662768032,0.8998050682261208,0.9029239766081872,0.9033138401559454,0.901364522417154,0.9025341130604289,0.8974658869395712,0.8982456140350877,0.8974658869395712
1997,26.0,0.6923076923076923,0.9321637426900584,0.9469785575048733,0.9524366471734892,0.9489278752436648,0.9298245614035088,0.93411306042885,0.9251461988304094,0.9469785575048733,0.9473684210526316,0.9458089668615984,0.93411306042885,0.9247563352826512,0.9500974658869396,0.9543859649122808,0.94775828460039,0.9298245614035088,0.9547758284600388,0.9547758284600388,0.9454191033138402
1998,16.0,0.6875,0.9454191033138402,0.9458089668615984,0.9485380116959063,0.945029239766082,0.949317738791423,0.9352826510721248,0.927485380116959,0.9497076023391812,0.9485380116959063,0.9309941520467836,0.9352826510721248,0.927485380116959,0.938401559454191,0.9403508771929824,0.93411306042885,0.9306042884990252,0.938401559454191,0.9399610136452242,0.9317738791423
1999,9.0,0.7777777777777778,0.9157894736842104,0.9056530214424952,0.9060428849902534,0.9130604288499026,0.9091617933723196,0.9130604288499026,0.9083820662768032,0.9056530214424952,0.901364522417154,0.9083820662768032,0.9072124756335282,0.90682261208577,0.9087719298245616,0.9056530214424952,0.9115009746588694,0.9060428849902534,0.9060428849902534,0.9056530214424952,0.9118908382066276
2000,38.0,0.4473684210526316,0.8401559454191033,0.8339181286549707,0.8401559454191033,0.8405458089668616,0.839766081871345,0.8448343079922027,0.8382066276803118,0.8323586744639376,0.8389863547758285,0.8405458089668616,0.8401559454191033,0.8378167641325536,0.8335282651072125,0.839766081871345,0.8401559454191033,0.839766081871345,0.8335282651072125,0.8382066276803118,0.8389863547758285
2001,135.0,0.5481481481481482,0.797270955165692,0.7929824561403509,0.7996101364522417,0.797270955165692,0.7964912280701755,0.7988304093567251,0.7976608187134503,0.7925925925925926,0.7937621832358674,0.7964912280701755,0.789083820662768,0.7968810916179337,0.7894736842105263,0.7914230019493177,0.7902534113060429,0.7968810916179337,0.789083820662768,0.8007797270955166,0.7898635477582846
2002,153.0,0.5163398692810458,0.7949317738791423,0.7680311890838206,0.7840155945419103,0.802729044834308,0.7953216374269005,0.7941520467836257,0.7769980506822612,0.7719298245614035,0.7789473684210526,0.7980506822612086,0.7937621832358674,0.7769980506822612,0.7454191033138402,0.7676413255360623,0.7961013645224172,0.7625730994152047,0.7672514619883041,0.7692007797270956,0.7762183235867446
2003,114.0,0.6578947368421053,0.6927875243664717,0.6787524366471734,0.6920077972709552,0.6846003898635478,0.6865497076023391,0.6701754385964912,0.7423001949317739,0.6775828460038986,0.6807017543859649,0.6853801169590643,0.6682261208576998,0.741130604288499,0.6627680311890838,0.6705653021442495,0.6697855750487329,0.6791423001949318,0.661598440545809,0.6693957115009747,0.6787524366471734
2004,34.0,0.6764705882352942,0.7859649122807018,0.7056530214424951,0.7294346978557504,0.7925925925925926,0.7871345029239766,0.7773879142300195,0.7337231968810917,0.7177387914230019,0.7434697855750487,0.8035087719298246,0.7859649122807018,0.7115009746588694,0.7200779727095517,0.7337231968810917,0.7910331384015594,0.7079922027290448,0.7216374269005847,0.7477582846003898,0.7333333333333333
2005,30.0,0.6,0.5621832358674463,0.541130604288499,0.5953216374269006,0.5360623781676414,0.5360623781676414,0.5458089668615984,0.5138401559454191,0.5345029239766081,0.5458089668615984,0.5107212475633528,0.5200779727095517,0.5134502923976608,0.5189083820662768,0.5200779727095517,0.5185185185185185,0.5165692007797271,0.5212475633528265,0.5200779727095517,0.5111111111111111
2006,77.0,0.5324675324675324,0.464327485380117,0.471345029239766,0.4705653021442495,0.4771929824561403,0.4635477582846004,0.482261208576998,0.4647173489278752,0.4709551656920078,0.4693957115009746,0.4752436647173489,0.4818713450292398,0.46588693957115,0.4853801169590643,0.4853801169590643,0.4955165692007797,0.4807017543859649,0.501364522417154,0.5009746588693957,0.5048732943469786
2007,228.0,0.5175438596491229,0.5001949317738792,0.4990253411306042,0.4935672514619883,0.5083820662768032,0.4974658869395711,0.501364522417154,0.498635477582846,0.4947368421052631,0.495906432748538,0.5060428849902534,0.5021442495126706,0.498635477582846,0.4994152046783626,0.4998050682261208,0.5103313840155945,0.50682261208577,0.5025341130604288,0.5009746588693957,0.5142300194931774
2008,84.0,0.5,0.4541910331384015,0.4538011695906432,0.4627680311890838,0.4538011695906432,0.4526315789473684,0.471345029239766,0.450682261208577,0.4514619883040935,0.4541910331384015,0.4526315789473684,0.4678362573099415,0.4475633528265107,0.4709551656920078,0.4709551656920078,0.4678362573099415,0.4623781676413255,0.4701754385964912,0.4701754385964912,0.4627680311890838
2009,124.0,0.5806451612903226,0.4522417153996101,0.4604288499025341,0.4584795321637427,0.4561403508771929,0.4526315789473684,0.4705653021442495,0.4576998050682261,0.4576998050682261,0.4549707602339181,0.453411306042885,0.4725146198830409,0.4557504873294347,0.4740740740740741,0.4748538011695906,0.4740740740740741,0.4736842105263157,0.4775828460038986,0.4748538011695906,0.4732943469785575
2010,259.0,0.4942084942084942,0.4467836257309941,0.445224171539961,0.4467836257309941,0.4471734892787524,0.4467836257309941,0.4592592592592592,0.4385964912280701,0.4456140350877193,0.4460038986354775,0.4471734892787524,0.4576998050682261,0.4409356725146199,0.453411306042885,0.4576998050682261,0.4569200779727095,0.450682261208577,0.4561403508771929,0.4576998050682261,0.450682261208577
