,n,No dummies,Soft bottom,"Soft bottom, Natural","Soft bottom, Natural, Large",? dummies
1989,591,0.673434856,0.668358714,0.663282572,0.661590525,-0.011844331
1990,644,0.635093168,0.638198758,0.638198758,0.631987578,-0.00310559
1991,593,0.715008432,0.713322091,0.715008432,0.713322091,-0.001686341
1992,970,0.660824742,0.66185567,0.665979381,0.66185567,0.001030928
1993,1127,0.666370896,0.667258208,0.664596273,0.66282165,-0.003549246
1994,1252,0.666134185,0.663738019,0.662140575,0.685303514,0.019169329
1995,1329,0.683972912,0.683220467,0.681715576,0.688487585,0.004514673
1996,1290,0.663565891,0.663565891,0.670542636,0.644186047,-0.019379844
1997,1289,0.705973623,0.709852599,0.705197828,0.695888285,-0.010085338
1998,1394,0.701578192,0.702295552,0.704447633,0.703730273,0.002152081
1999,1700,0.737058824,0.734117647,0.735294118,0.737647059,0.000588235
2000,2206,0.71532185,0.717588395,0.71486854,0.716681777,0.001359927
2001,2155,0.730394432,0.728538283,0.7225058,0.725290023,-0.005104409
2002,2248,0.723309609,0.721975089,0.724199288,0.724644128,0.001334519
2003,2079,0.744107744,0.743626744,0.751803752,0.750841751,0.006734007
2004,1806,0.711517165,0.710409745,0.710409745,0.718161683,0.006644518
2005,1600,0.74125,0.74125,0.745,0.751875,0.010625
2006,1506,0.75564409,0.75564409,0.761620186,0.754316069,-0.001328021
2007,1173,0.701619778,0.697357204,0.699914749,0.700767263,-0.000852515
2008,990,0.75959596,0.763636364,0.765656566,0.767676768,0.008080808
2009,1014,0.741617357,0.743589744,0.74260355,0.741617357,0
2010,1167,0.754070266,0.755784062,0.754070266,0.76092545,0.006855184
2011,1385,0.722021661,0.722021661,0.713357401,0.715523466,-0.006498195
2012,1265,0.738339921,0.74229249,0.750988142,0.753359684,0.015019763
2013,1367,0.795171909,0.795171909,0.798829554,0.800292612,0.005120703
2014,1625,0.879384615,0.889846154,0.889846154,0.888,0.008615385
2015,1144,0.858391608,0.866258741,0.875,0.870629371,0.012237763
2016,1225,0.900408163,0.902857143,0.90122449,0.900408163,0
2017,1707,0.889865261,0.893380199,0.895137668,0.893966022,0.004100761
2018,1949,0.894817855,0.900974859,0.902001026,0.901487943,0.006670088
2019,1363,0.713132795,0.71753485,0.72267058,0.72267058,0.009537785
2020,1349,0.782802076,0.782060786,0.789473684,0.787249815,0.004447739
Total,44502,0.748955103,0.75012359,0.751404431,0.751606669,0.002651566
