,n,No dummies,Soft bottom,"Soft bottom, Natural","Soft bottom, Natural, Large"
1989,6.0,0.5,0.5,0.5,0.5
1990,4.0,0.0,0.0,0.0,0.0
1991,8.0,0.375,0.375,0.375,0.375
1992,14.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
1993,14.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715
1994,12.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
1995,10.0,0.5,0.4,0.5,0.6
1996,17.0,0.35294117647058826,0.35294117647058826,0.4117647058823529,0.4117647058823529
1997,26.0,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692
1998,16.0,0.4375,0.5,0.4375,0.4375
1999,9.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
2000,38.0,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316
2001,135.0,0.5851851851851851,0.5925925925925926,0.5555555555555556,0.562962962962963
2002,153.0,0.5228758169934641,0.5228758169934641,0.5686274509803921,0.5686274509803921
2003,114.0,0.5701754385964912,0.5789473684210527,0.6052631578947368,0.6140350877192983
2004,34.0,0.47058823529411764,0.4411764705882353,0.4411764705882353,0.4411764705882353
2005,30.0,0.5333333333333333,0.5,0.5333333333333333,0.5333333333333333
2006,77.0,0.6493506493506493,0.6493506493506493,0.6623376623376623,0.6493506493506493
2007,228.0,0.631578947368421,0.631578947368421,0.6403508771929824,0.6359649122807017
2008,84.0,0.6904761904761905,0.7023809523809523,0.7261904761904762,0.7261904761904762
2009,124.0,0.6532258064516129,0.6532258064516129,0.6532258064516129,0.6532258064516129
2010,259.0,0.7104247104247104,0.722007722007722,0.7335907335907336,0.7335907335907336
2011,231.0,0.6623376623376623,0.6623376623376623,0.6536796536796536,0.658008658008658
2012,231.0,0.7272727272727273,0.7272727272727273,0.7489177489177489,0.7489177489177489
2013,261.0,0.8390804597701149,0.8314176245210728,0.8352490421455939,0.8314176245210728
2014,551.0,0.9019963702359347,0.925589836660617,0.9219600725952813,0.9201451905626135
2015,186.0,0.9032258064516129,0.9354838709677419,0.9408602150537635,0.9408602150537635
2016,227.0,0.973568281938326,0.973568281938326,0.973568281938326,0.973568281938326
2017,581.0,0.9001721170395869,0.9070567986230637,0.9070567986230637,0.9070567986230637
2018,542.0,0.9114391143911439,0.9298892988929889,0.9280442804428044,0.9317343173431735
2019,250.0,0.696,0.7,0.704,0.704
2020,393.0,0.7811704834605598,0.7837150127226463,0.7888040712468194,0.7888040712468194
Total,4865.0,0.7736896197327852,0.781294964028777,0.7854059609455293,0.7858170606372045
