,n,No dummies,Small,Medium,Large,Soft bottom,Natural,DK2,"Soft bottom, Small","Soft bottom, Medium","Soft bottom, Large","Soft bottom, Natural","Soft bottom, DK2","Soft bottom, Natural, Small","Soft bottom, Natural, Medium","Soft bottom, Natural, Large","Soft bottom, Natural, DK2","Soft bottom, Natural, Large, Small","Soft bottom, Natural, Large, Medium","Soft bottom, Natural, Large, DK2"
1989,6.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1990,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,8.0,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
1992,14.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
1993,14.0,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715
1994,12.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
1995,10.0,0.5,0.5,0.5,0.5,0.4,0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.5,0.6
1996,17.0,0.35294117647058826,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.35294117647058826,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.35294117647058826,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.35294117647058826,0.35294117647058826,0.35294117647058826
1997,26.0,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.3076923076923077,0.2692307692307692,0.2692307692307692,0.2692307692307692
1998,16.0,0.4375,0.4375,0.5,0.4375,0.5,0.4375,0.4375,0.5,0.5,0.4375,0.4375,0.4375,0.5,0.5,0.4375,0.4375,0.4375,0.5,0.4375
1999,9.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
2000,38.0,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.47368421052631576,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316
2001,135.0,0.5851851851851851,0.5925925925925926,0.5851851851851851,0.5925925925925926,0.5925925925925926,0.5703703703703704,0.5925925925925926,0.5925925925925926,0.5851851851851851,0.5925925925925926,0.5555555555555556,0.5925925925925926,0.5481481481481482,0.5407407407407407,0.562962962962963,0.562962962962963,0.5481481481481482,0.5703703703703704,0.5777777777777777
2002,153.0,0.5228758169934641,0.5555555555555556,0.5620915032679739,0.5228758169934641,0.5228758169934641,0.5686274509803921,0.5555555555555556,0.5620915032679739,0.5620915032679739,0.5228758169934641,0.5686274509803921,0.5555555555555556,0.5555555555555556,0.5620915032679739,0.5686274509803921,0.5620915032679739,0.5620915032679739,0.5620915032679739,0.5555555555555556
2003,114.0,0.5701754385964912,0.5614035087719298,0.5701754385964912,0.5614035087719298,0.5789473684210527,0.6140350877192983,0.5614035087719298,0.5789473684210527,0.5701754385964912,0.5614035087719298,0.6052631578947368,0.5614035087719298,0.6052631578947368,0.6052631578947368,0.6140350877192983,0.5964912280701754,0.5964912280701754,0.6140350877192983,0.5877192982456141
2004,34.0,0.47058823529411764,0.47058823529411764,0.5,0.47058823529411764,0.4411764705882353,0.4411764705882353,0.5,0.4411764705882353,0.47058823529411764,0.47058823529411764,0.4411764705882353,0.5,0.4117647058823529,0.4411764705882353,0.4411764705882353,0.4117647058823529,0.4117647058823529,0.4411764705882353,0.4411764705882353
2005,30.0,0.5333333333333333,0.5,0.5,0.5,0.5,0.5,0.5333333333333333,0.5,0.5,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5,0.5333333333333333
2006,77.0,0.6493506493506493,0.6493506493506493,0.6493506493506493,0.6363636363636364,0.6493506493506493,0.6623376623376623,0.6623376623376623,0.6493506493506493,0.6493506493506493,0.6363636363636364,0.6623376623376623,0.6623376623376623,0.6623376623376623,0.6623376623376623,0.6493506493506493,0.6883116883116883,0.6623376623376623,0.6623376623376623,0.6753246753246753
