wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,,,,,,,,1.0,,,,1.0,,1.0,,,1.0,,,,,,1.0,,,,1.0,,,,1.0,,,,
2,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,2.0,
3,,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,,,,,,,3.0,4.0,,4.0,3.0,4.0,,,,,
4,3.0,3.0,,2.0,2.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,4.0,,,,,,4.0,,,
5,,,,,,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,4.0,,,,,,3.0,4.0,,,,,,4.0,,,,,,
19,,,,,,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,,4.0,,,,4.0,,
20,,,,,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,,,
21,,,,,,2.0,2.0,3.0,3.0,,3.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,,2.0,,,3.0,,,3.0,,,3.0,,,,,,4.0
24,,,,,,,,,,,,3.0,2.0,2.0,3.0,3.0,3.0,,3.0,,,,,3.0,3.0,,,,,,4.0,,,,,,4.0
25,,,,,,,,,,,2.0,,3.0,,,3.0,3.0,,,,,,,,,3.0,3.0,,,,,,,3.0,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,3.0,,,,,,3.0,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,4.0,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,4.0,,
34,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,3.0,,4.0,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,3.0,,,4.0,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
40,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,3.0,,3.0,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
45,,,,,,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,,3.0,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,,3.0,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
53,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,3.0,,3.0,,3.0,,,,,,,
56,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,,,2.0,,,2.0,,,,,,1.0,,
58,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,,1.0,,,,,,,,1.0,,,,,,2.0,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
60,,,,,,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,,,4.0,,,3.0,,,,,,4.0,,,,,,4.0
63,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,,4.0,
65,,,,,,,,,,,,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,3.0,,,,,,3.0,,,,,
66,,,,,,,3.0,,,,3.0,,,,,,,,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,,,
68,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,,,,3.0,,,,,,,3.0,,,,,,3.0,,,
69,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,,3.0,,3.0,4.0,4.0,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,4.0,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
93,,,,,,2.0,2.0,,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,3.0,,2.0,,,2.0,2.0,,,2.0,,,2.0,1.0,,,,
96,,,,,,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,
99,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,,,3.0,,4.0,,,,4.0,,4.0,,,,4.0,,4.0,
100,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,,2.0,,,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,,2.0,,2.0,2.0,,,
102,2.0,3.0,2.0,3.0,,,3.0,2.0,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,,,3.0,,,3.0,,,,,,3.0,,,4.0,,
103,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,2.0,,,,3.0,
105,,,,,,3.0,3.0,3.0,,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,,4.0,3.0
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
110,,,,,,,,,,,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
113,,,,,,,,,,,,3.0,,,,2.0,,,,3.0,,,,,,,,,,,3.0,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
117,,,,,,,,,3.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,,3.0,3.0,,,,,,,,,4.0,,,,,,,
