g_del_cd,g_len,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
a10031,1.5202238607336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a10005,0.18279488185562,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,
a10020,0.49642428610818,,,,,,,,,,,,,,,,2.0,,3.0,,,2.0,,3.0,,,,,
a10015,0.42114092393045,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
a10028,0.54640744675166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a10017,1.2932218165845,,,,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,,
a10006,1.5054984115258,,,,,2.0,,,,2.0,,2.0,,,2.0,,,,,,,,,,,,,,2.0
a10008,0.80963820740326,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
o10392_x,8.6719525958555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10439_y,4.8549215970487,,,,,,,,4.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,
o8730_b,5.4796499751382,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,,,,,,4.0,5.0,,,,,
o8560_y,4.1046802138275,,,3.0,,3.0,,,3.0,,,3.0,,3.0,,,,,4.0,4.0,,3.0,4.0,,,4.0,,,4.0
o7863,7.028299011318,,,,,,,,,,,,,5.0,,,4.0,,,4.0,5.0,,,,,,5.0,,
o10374,5.8763796998367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10501_x,6.4650117696478,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,4.0,,,,,5.0,,,,
o8677,7.6542304357041,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,,,,5.0,5.0,,,,,,4.0
o8408_x2,10.018976215456,,3.0,4.0,,,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,,3.0,,,4.0,,,4.0,,,4.0,,
ode_1.15_636,0.11620516445998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o3779_y,6.7269728129735,,,,,,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,,,,,,4.0,,,,,,,,,4.0
o8290_f,6.1320356535667,,,,,,,4.0,3.0,3.0,4.0,4.0,4.0,,4.0,,,,,,4.0,,4.0,,,,5.0,,
o8235,7.0208918391661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rib_1.10.03317,1.2981679616295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ros_2.4_12260,0.11321902799604,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t270,0.073031127016407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t36,0.17138939953763,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10468,5.9037119986578,,,,,,5.0,,,,,,5.0,,,,,,,,,,,5.0,,,,,
o8857,8.4032839590155,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,,,,,4.0,,,,,,,5.0
o8314_x,8.6602146672022,,,,,,,,,,,4.0,,,,,,,4.0,,,,,,,,,,
t276,0.1067538542163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ode_1.12_137,0.54647043095501,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10547a,15.141306557732,4.0,,,5.0,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
o8813,6.281399741177,,,,,,,,3.0,,,,,,,,,,,,3.0,4.0,,,,,,4.0,
rib_1.10.00382,0.2645286652602,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o6575,11.018197058471,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
o8654,11.361754779036,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,,5.0,5.0
aal1.3.0247,0.014934844226463,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o3162,0.65644855223982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o6029,0.60356034849013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8853_a2,6.774249953183,3.0,3.0,3.0,3.0,,,4.0,,,,4.0,,,4.0,,,4.0,4.0,,4.0,,,,,,4.0,,
o9041,25.82461629492,,,,,,,,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,,4.0,5.0
t323,0.12973722218004,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
o10504_b,9.3222037070741,,,,,,,,,3.0,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,5.0,
o8954_c,8.7276216765564,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,2.0,,3.0,,,,,,3.0,,,,
ode_1.13_664,0.14102451502453,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8945,8.3992674282589,2.0,2.0,2.0,2.0,,,2.0,2.0,3.0,2.0,,3.0,,,,,,,,3.0,,,,,,3.0,,
o7809_a,8.3645024661863,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,
ros_2.4_01040,0.13728721071615,,,,,2.0,,2.0,,3.0,3.0,3.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,
o10449_a,8.7589512075128,,,,,,,,4.0,5.0,5.0,4.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,
o8905_l,7.8422645968041,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,4.0,
o10454,10.098140846396,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,,,,,,,,,,,,,5.0
rib_1.10.03320,0.40583399794753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8952,5.7179728166777,,,,,,,,4.0,4.0,4.0,4.0,4.0,,,,4.0,,,,,,,4.0,,,,,
o8200_c,10.208031455001,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,,4.0,
ode_1.15_173,0.21486678352487,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8021_b,10.600844375157,,,,,,,,,,,,,,,,4.0,,,,4.0,,,,,,,,
o10464,7.0948454007087,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,,,5.0,,,4.0,,,,,,5.0,,
aal1.3.0208,0.16285339600149,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
o9002_a,9.9467055013382,3.0,3.0,3.0,3.0,,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,,,,,,,,3.0,,,,,,
ode_1.15_23,0.11541756720143,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,
1.5.f-1985-020,0.037680718102369,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,
ode_1.13_518,0.17774067935568,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8459_c,0.20546607392286,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,
t231,0.02196902370002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nyk_2.6_3288,0.16344706717739,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ode_1.12_357,0.11421283894977,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,
o2198,0.68949805845093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8545,11.91549503593,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,,,,3.0,,,4.0,,,,,,
ode_1.12_977,0.1236893943876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o7767,6.880623493597,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
ode_1.13_1188,0.026824858820785,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5438_x,6.3141345690092,3.0,2.0,,,,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,,3.0,,,,,,,,,,3.0,
1.7.b-0695-030,0.12916917273221,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0
o8117_x,10.67195733067,,3.0,3.0,3.0,2.0,2.0,,,,3.0,,,3.0,,,,,,,,,3.0,,,,,,3.0
ode_1.15_325,0.12923308222069,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
o10542,12.948843153805,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,,,4.0,,5.0,,,,5.0,,5.0,,,
o8590_i,5.7520400912392,2.0,2.0,3.0,3.0,3.0,3.0,,3.0,,,3.0,,3.0,,,3.0,3.0,3.0,,3.0,,,3.0,,,3.0,,
o8563,12.172665957483,,,,,,,,,,,,,4.0,4.0,4.0,4.0,5.0,4.0,,,4.0,,,,,,4.0,
o8974,8.0979828771407,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.0,
1.7.b-0021-010,0.023800578566773,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8749_a,7.5706390111641,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
o10427_m,0.16671909095288,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,
t316,0.11820788857944,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t29,0.15360747955376,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
o10281,7.5591082627985,5.0,4.0,4.0,5.0,,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
ode_1.14_257,0.1474921082173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ode_1.13_157,0.2015722069387,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rib_1.10.03345,0.2173830481512,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8871,11.26596106512,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,,3.0,4.0
o9037,6.7501507509606,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,,3.0,4.0,,,,,,,,,5.0,,,
o9269,0.58824844886005,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0
o1540_b,25.287285461788,,,,,,,,3.0,2.0,4.0,3.0,3.0,,,,,,,3.0,4.0,,,,,,,3.0,
o8622_a,7.2919172186947,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,,,,,,,,,,5.0,,
o8041,12.413661795929,,,,,,,,,,,,,,,,4.0,,,4.0,4.0,,,,,,,4.0,
o8901,14.835620706646,,,,,,,,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,,3.0,3.0
t93,0.37123872838513,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
ode_1.14_173,0.10478382746903,,,,,,,,,,,,,,,,,,,,,,,,,,,,
