wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,,,,,,,,2.0,,,,3.0,,2.0,,,2.0,,,,,,3.0,,,,3.0,,,,3.0,,,,
2,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,4.0,,,,,4.0,
3,,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,,,,,,,6.0,7.0,,7.0,6.0,7.0,,,,,
4,5.0,5.0,,4.0,4.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,,,,,,,,,,,7.0,,,,,,7.0,,,
5,,,,,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,7.0,,,,,,5.0,7.0,,,,,,7.0,,,,,,
19,,,,,,4.0,4.0,4.0,6.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,,7.0,7.0,6.0,5.0,6.0,7.0,6.0,7.0,,7.0,,,,7.0,,
20,,,,,,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,,,
